target,MAE_skill_P1,MAE_skill_P2,MAE_skill_P3,RMSE_skill_P1,RMSE_skill_P2,RMSE_skill_P3
Average voltage,0.4547280512807794,0.4850786845219716,0.5994433107988695,0.4044921456856662,0.4384564003978471,0.5669908186351481
Gravimetric capacity,0.2940212455726564,0.6895895768496629,0.6668612819201133,0.2017224536804217,0.5680953288244092,0.5673267462100644
Volumetric capacity,0.3274310069612862,0.7326248770023835,0.7021223514464664,0.2388244347289654,0.6464221266360404,0.6294466905013091
Gravimetric energy,0.3325318884112348,0.6047153708001048,0.6167703609956683,0.2671494137775815,0.547691552755988,0.5611020274999126
Volumetric energy,0.3321977212378685,0.6052848925539267,0.621976368623965,0.2724659772764762,0.5604914742120573,0.5789534467592958
Maximum volume change,0.1595690257092598,0.2024014136895668,0.2558287564267906,0.000367313711488,0.028316418543297,0.1059293099387039
Charged-state stability,0.1581947146557644,0.2273576892222121,0.3288772041449003,0.0474632418962063,0.1034923917735127,0.2428500619299328
Discharged-state stability,0.1320180196457769,0.2027575515368959,0.2737733538637497,0.0316386325100036,0.0684716649435531,0.1904385556276211
Worst endpoint stability,0.1074790044414624,0.1968220409625641,0.2843001462334609,0.0382045542594018,0.1111007195747353,0.2473068975735435
