split_name,reporting_name,target,stage,n_folds,n_test_records_sum,macro_et_mae,macro_et_rmse,median_et_mae,median_et_rmse,macro_dummy_mae,macro_dummy_rmse,fraction_folds_et_better_dummy_mae,fraction_folds_et_better_dummy_rmse,macro_mae_skill_vs_dummy,macro_rmse_skill_vs_dummy,passes_10pct_macro_point_both
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P1,75,2038,0.5454144681290564,0.6685541018779806,0.5201719225152756,0.663329336666455,0.7628346977185363,0.893578676738989,0.7866666666666666,0.7733333333333333,0.2850161774755841,0.2518240203338439,True
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P2,75,2038,0.5110823481303558,0.627907262628337,0.4877474132689296,0.6016631151837243,0.7628346977185363,0.893578676738989,0.8533333333333334,0.88,0.3300221533460841,0.2973117208662463,True
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P3,75,2038,0.3967060703857475,0.4911715363211356,0.3456095677881798,0.4068392268554252,0.7628346977185363,0.893578676738989,0.9466666666666668,0.9733333333333334,0.4799580150559427,0.450332075835103,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P1,75,2038,45.769794979728566,57.13768736914426,45.73788904315581,54.505508850847455,58.35260247343302,70.84896241964705,0.8,0.7866666666666666,0.2156340413340296,0.193528240671885,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P2,75,2038,17.400537400029478,23.859139961875982,12.979735344078223,18.54810294477324,58.35260247343302,70.84896241964705,1.0,1.0,0.7018035758053524,0.6632393877477643,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P3,75,2038,20.06618129708252,27.14867824166198,15.919018779157698,21.047818799222625,58.35260247343302,70.84896241964705,1.0,1.0,0.6561219132219798,0.6168090919827867,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P1,75,2038,162.02974387934142,202.5597914598938,152.35724233715018,190.2641328979048,217.88456890142572,262.71051181395177,0.8,0.8,0.2563505314015785,0.228961985337899,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P2,75,2038,54.7664053746788,76.55651927772648,38.07157864412636,56.88625097232185,217.88456890142572,262.71051181395177,1.0,1.0,0.7486448643388971,0.7085898133686297,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P3,75,2038,64.01090806984084,86.96164494082375,53.98581761903368,71.92420979158621,217.88456890142572,262.71051181395177,1.0,1.0,0.7062164227940331,0.6689830020870696,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P1,75,2038,161.12925816729302,202.7293449703213,149.01246303766797,185.94501082574945,218.25693047414427,261.36241551155547,0.84,0.84,0.2617450551638673,0.224336274312715,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P2,75,2038,95.12270690531348,119.98364281052874,83.47273432811183,101.59786739917332,218.25693047414427,261.36241551155547,0.9866666666666668,0.9733333333333334,0.5641709672235029,0.5409300048911434,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P3,75,2038,92.85545290087184,118.63719942815466,79.20273371870518,99.03759719545506,218.25693047414427,261.36241551155547,0.9866666666666668,0.9866666666666668,0.5745589718541746,0.5460816384178642,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_vol,P1,75,2038,573.8991647913871,713.0923821332867,520.4510385790275,651.2916444261366,774.1352570105515,927.205825071678,0.8533333333333334,0.84,0.2586577609091317,0.2309233151353843,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_vol,P2,75,2038,324.6333651049132,407.5038242799744,282.4858502238086,367.6549070413228,774.1352570105515,927.205825071678,0.9866666666666668,0.9866666666666668,0.5806503292996401,0.5605033820311988,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_vol,P3,75,2038,315.8319693545355,396.5799643056704,272.0132738441123,336.0442600423369,774.1352570105515,927.205825071678,0.9866666666666668,0.9866666666666668,0.5920196548414915,0.5722848653641571,True
leave_chemical_system_out,host-chemical-system-held-out validation,max_delta_volume,P1,75,2038,0.0343902085272545,0.0465723696399909,0.0285467140841763,0.0376584824269343,0.0425811776305689,0.0547349123276782,0.8133333333333334,0.7733333333333333,0.1923612628654522,0.149128633637359,True
