record_index,working_ion,electrode_uid,framework_uid,chemical_system_uid,host_chemsys_no_working_ion,coarse_family,battery_formula,formula_charge,formula_discharge,framework_formula,id_charge,id_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,stability_worst,chemsys,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets,fracA_charge,fracA_discharge,num_steps,max_voltage_step,summary_worst_energy_above_hull,charge_summary_energy_above_hull,discharge_summary_energy_above_hull,charge_summary_formula_pretty,discharge_summary_formula_pretty,case_voltage_window_pass,case_capacity_pass,case_energy_pass,case_volume_pass,case_stability_pass,case_physics_plausible,case_screen_pass
Na_000010,Na,el_7c42e79f3855713d,Na|MnBAsO7,As-B-Mn-O,As-B-Mn-O,transition_metal_oxide_like,Na2-3MnBAsO7,Na2MnBAsO7,Na3MnBAsO7,MnBAsO7,mp-aaabrwue,mp-aaabrwev,3.503137209051718,83.3286750888558,261.2734159836843,291.9117822847518,915.2766252684924,0.026737093069887,0.055802305694511,0.016846963616046,0.055802305694511,As-B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0599768016666786,0.0599768016666786,0.0168469636160768,Na2MnBAsO7,Na3MnBAsO7,True,True,True,True,True,True,True
Na_000011,Na,el_6f4e549fa8fd7f9d,Na|Bi2As(CO4)4,As-Bi-C-O,As-Bi-C-O,organic_or_carbon_like,Na4-6Bi2As(CO4)4,Na4Bi2As(CO4)4,Na6Bi2As(CO4)4,Bi2As(CO4)4,mp-aaabrtqt,mp-aaabrtzd,2.711236846551731,57.3383115695079,225.5883966274749,155.45774304631323,611.6235730909364,0.047897787208361,0.085156742600306,0.096437781673856,0.096437781673856,As-Bi-C-O,True,True,True,True,True,True,True,True,True,True,True,True,0.148148148148148,0.206896551724137,2.0,1.6611376699999871,0.096509579583337,0.0851567426003132,0.096509579583337,Na4Bi2As(CO4)4,Na6Bi2As(CO4)4,True,True,True,True,True,True,True
Na_000012,Na,el_83dddee346157f3a,Na|CoAsCO7,As-C-Co-O,As-C-Co-O,transition_metal_oxide_like,Na1-3CoAsCO7,NaCoAsCO7,Na3CoAsCO7,CoAsCO7,mp-aaabryge,mp-aaabrztp,3.7624218903017272,164.00839402719313,538.4066921817041,617.0687718811425,2025.713124549388,0.077376141519508,0.043617186377407,0.0,0.043617186377407,As-C-Co-O,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,0.6857252124999881,0.043617186377407,0.043617186377407,0.0,NaCoAsCO7,Na3CoAsCO7,True,True,True,True,True,True,True
Na_000013,Na,el_82dfdd233dcc5066,Na|Co2As(CO4)4,As-C-Co-O,As-C-Co-O,transition_metal_oxide_like,Na5-6Co2As(CO4)4,Na5Co2As(CO4)4,Na6Co2As(CO4)4,Co2As(CO4)4,mp-aaabsjmq,mp-aaabrxgx,3.391257161551724,42.223028152597394,128.91253560230456,143.189146604896,437.175559575107,0.026514896243523,0.066989499747025,0.064529107709769,0.066989499747025,As-C-Co-O,True,True,True,True,True,True,True,True,True,True,True,True,0.178571428571428,0.206896551724137,1.0,0.0,0.0669894997470255,0.0669894997470255,0.0645291077097693,Na5Co2As(CO4)4,Na6Co2As(CO4)4,True,False,False,True,True,True,False
Na_000014,Na,el_657d438f8732b4d6,Na|FeAsCO7,As-C-Fe-O,As-C-Fe-O,transition_metal_oxide_like,Na1-3FeAsCO7,NaFeAsCO7,Na3FeAsCO7,FeAsCO7,mp-aaabrwgz,mp-aaabrwtk,3.469605169051721,165.5728782903828,529.9547916039072,574.4725143710837,1838.733884312644,0.007168509450685,0.044741147196979,0.0,0.044741147196979,As-C-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.23076923076923,2.0,1.841020130000004,0.0486946898863625,0.0486946898863625,0.0,NaFeAsCO7,Na3FeAsCO7,True,True,True,True,True,True,True
Na_000015,Na,el_bed3b050bba01c6f,Na|CrAsCO7,As-C-Cr-O,As-C-Cr-O,transition_metal_oxide_like,Na1-2CrAsCO7,NaCrAsCO7,Na2CrAsCO7,CrAsCO7,mp-aaabrzsc,mp-aaabrwuj,4.387437486551736,90.26993487974453,270.199874463949,396.0536961999752,1185.485058084703,0.023560141988136,0.053284074405423,0.0,0.053284074405423,As-C-Cr-O,True,True,True,True,True,True,True,True,True,True,True,True,0.09090909090909,0.166666666666666,1.0,0.0,0.0532840744054237,0.0532840744054237,0.0,NaCrAsCO7,Na2CrAsCO7,True,True,True,True,True,True,True
Na_000016,Na,el_1882e09b15b2e6dd,Na|CuAsCO7,As-C-Cu-O,As-C-Cu-O,transition_metal_oxide_like,Na2-3CuAsCO7,Na2CuAsCO7,Na3CuAsCO7,CuAsCO7,mp-aaabrwpc,mp-aaabrygf,3.3144571365517272,80.8629181072805,270.81228175088603,268.01667600307377,897.5956999150812,0.014917513048771,0.0,0.009780300000002,0.009780300000002,As-C-Cu-O,True,True,True,True,True,True,True,True,True,True,True,True,0.166666666666666,0.23076923076923,1.0,0.0,0.0097803000000027,0.0,0.0097803000000027,Na2CuAsCO7,Na3CuAsCO7,True,True,True,True,True,True,True
Na_000017,Na,el_338d6cc1ae0c6b83,Na|Cr2As(CO4)4,As-C-Cr-O,As-C-Cr-O,transition_metal_oxide_like,Na4-6Cr2As(CO4)4,Na4Cr2As(CO4)4,Na6Cr2As(CO4)4,Cr2As(CO4)4,mp-aaabrwds,mp-aaabrwed,3.036276904051721,86.33307156266021,253.1168868939421,262.13111124154966,768.5329577015484,0.020452863259504,0.08492972130658,0.064122896867817,0.08492972130658,As-C-Cr-O,True,True,True,True,True,True,True,True,True,True,True,True,0.148148148148148,0.206896551724137,2.0,1.162812354999999,0.0849297213065805,0.0849297213065805,0.0641946947773011,Na4Cr2As(CO4)4,Na6Cr2As(CO4)4,True,True,True,True,True,True,True
Na_000018,Na,el_a3a863ce00df054a,Na|Fe2As(CO4)4,As-C-Fe-O,As-C-Fe-O,transition_metal_oxide_like,Na4-6Fe2As(CO4)4,Na4Fe2As(CO4)4,Na6Fe2As(CO4)4,Fe2As(CO4)4,mp-aaabslei,mp-aaabryia,3.526058554051719,85.27581376409721,242.506806962452,300.6875125766163,855.0932011057228,0.049167155579004,0.078466203572528,0.052128602528739,0.078466203572528,As-C-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True,0.148148148148148,0.206896551724137,1.0,0.0,0.0784662035725336,0.0784662035725336,0.0521286025287368,Na4Fe2As(CO4)4,Na6Fe2As(CO4)4,True,True,True,True,True,True,True
Na_000019,Na,el_5d80e6caaae21937,Na|Mn2As(CO4)4,As-C-Mn-O,As-C-Mn-O,transition_metal_oxide_like,Na4-6Mn2As(CO4)4,Na4Mn2As(CO4)4,Na6Mn2As(CO4)4,Mn2As(CO4)4,mp-aaabslmq,mp-aaabwksi,3.933984291551727,85.52260728219764,244.923295328834,336.4445936207129,963.5243964587172,0.022071970096255,0.093927724608407,0.039523514856319,0.093927724608407,As-C-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True,0.148148148148148,0.206896551724137,1.0,0.0,0.0953767074845659,0.0953767074845659,0.0395235148563219,Na4Mn2As(CO4)4,Na6Mn2As(CO4)4,True,True,True,True,True,True,True
