target,stage,old_fold_mean_mae,new_fold_mean_mae,mae_difference_new_minus_old,old_fold_mean_rmse,new_fold_mean_rmse,rmse_difference_new_minus_old
average_voltage,P1,0.4815483778117057,0.48154837781170573,5.551115123125783e-17,0.6665823879667497,0.6665823879667497,0.0
average_voltage,P2,0.45474172514564,0.45474172514564,0.0,0.6283628985608827,0.6283628985608827,0.0
average_voltage,P3,0.3537404711656688,0.35374047116566887,5.551115123125783e-17,0.4843064903251207,0.48430649032512063,-5.551115123125783e-17
capacity_grav,P1,40.5884200753548,40.586979012886175,-0.0014410624686220785,60.62629356999248,60.6252972762401,-0.000996293752379529
capacity_grav,P2,17.845914985405177,17.845993178532314,7.819312713763793e-05,32.65574450382283,32.65573776811421,-6.735708623750725e-06
capacity_grav,P3,19.15082440669186,19.152204138628125,0.0013797319362645055,32.80505466161303,32.799655063113356,-0.005399598499671754
energy_grav,P1,147.12633623957805,147.12633623957805,0.0,207.05485532119047,207.05485532119047,0.0
energy_grav,P2,87.1312601392992,87.1312601392992,0.0,127.61724724084714,127.61724724084714,0.0
energy_grav,P3,84.47348138869226,84.47348138869226,0.0,123.86855375888472,123.8685537588847,-1.4210854715202004e-14
max_delta_volume,P1,0.0381968133646229,0.03819681336462294,4.163336342344337e-17,0.0809926854697164,0.0809926854697164,0.0
max_delta_volume,P2,0.0362502359726103,0.03625023597261036,6.245004513516506e-17,0.0781945575243348,0.07819455752433488,8.326672684688674e-17
max_delta_volume,P3,0.0338221254897384,0.0338221254897384,0.0,0.0717534993684372,0.0717534993684372,0.0
stability_worst,P1,0.0433650803190781,0.04336508031907815,5.551115123125783e-17,0.1037589820532506,0.1037589820532506,0.0
stability_worst,P2,0.0390238494286081,0.03902384942860816,6.245004513516506e-17,0.0955488892761521,0.0955488892761521,0.0
stability_worst,P3,0.0347730836125808,0.03477308361258084,4.163336342344337e-17,0.0806085367906932,0.08060853679069328,8.326672684688674e-17
