target,earliest_stage_point_estimate_only,final_status
average_voltage,P1,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
capacity_grav,P1,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
capacity_vol,P1,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
energy_grav,P1,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
energy_vol,P1,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
max_delta_volume,P3,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
stability_charge,P2,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
stability_discharge,P3,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
stability_worst,P2,PENDING_GROUP_BOOTSTRAP_CONFIRMATION
