target,stage,n_oof,n_features,pooled_et_mae,pooled_et_rmse,pooled_et_r2,pooled_et_spearman,pooled_dummy_mae,pooled_dummy_rmse,pooled_dummy_r2,pooled_dummy_spearman,fold_mean_et_mae,fold_mean_et_rmse,fold_mean_et_r2,fold_mean_dummy_mae,fold_mean_dummy_rmse,pooled_mae_skill_vs_dummy,pooled_rmse_skill_vs_dummy,passes_10pct_point_estimate,final_useful_label_pending_bootstrap
average_voltage,P1,3201,73,0.48154843487078736,0.6674388637101547,0.6446439819448402,0.7778763135419348,0.8831344359486818,1.120789354623445,-0.002048372430777601,-0.07664627646166655,0.48154837781170573,0.6665823879667497,0.6403091760057006,0.8831516489783058,1.1198603299523873,0.45472805128077953,0.40449214568566627,True,True
average_voltage,P2,3201,93,0.45474474550264166,0.6293720885910231,0.6840228699800153,0.808059276675632,0.8831344359486818,1.120789354623445,-0.002048372430777601,-0.07664627646166655,0.45474172514564,0.6283628985608827,0.6804294009733938,0.8831516489783058,1.1198603299523873,0.4850786845219718,0.43845640039784717,True,True
average_voltage,P3,3201,108,0.3537454057831118,0.48531208092793865,0.8121189852681578,0.8986154231891151,0.8831344359486818,1.120789354623445,-0.002048372430777601,-0.07664627646166655,0.35374047116566887,0.48430649032512063,0.8097510143802384,0.8831516489783058,1.1198603299523873,0.5994433107988695,0.5669908186351481,True,True
capacity_grav,P1,3201,73,40.58727801679369,60.683362488042754,0.3613906518771508,0.6595462188572364,57.490792410199596,76.01787469511147,-0.002137800691541125,-0.05255011566418663,40.586979012886175,60.6252972762401,0.356504797691937,57.48965956896789,75.9077208543779,0.2940212455726564,0.20172245368042163,True,True
capacity_grav,P2,3201,93,17.845741199298242,32.83247517365939,0.8130595661590583,0.9339918052672807,57.490792410199596,76.01787469511147,-0.002137800691541125,-0.05255011566418663,17.845993178532314,32.65573776811421,0.8109932146673625,57.48965956896789,75.9077208543779,0.6895895768496629,0.5680953288244092,True,True
capacity_grav,P3,3201,112,19.152408884930775,32.89090119052949,0.8123936460295605,0.9347044556449711,57.490792410199596,76.01787469511147,-0.002137800691541125,-0.05255011566418663,19.152204138628125,32.799655063113356,0.8111506754522667,57.48965956896789,75.9077208543779,0.6668612819201133,0.5673267462100644,True,True
capacity_vol,P1,3201,73,138.6843940584646,204.38601420956158,0.41970549183398476,0.6821758658833815,206.2009927515076,268.51363014626605,-0.0015641791392120297,-0.042663284948423565,138.68202286885793,204.2264437815563,0.4163892539753847,206.19641532767938,268.20938217415227,0.32743100696128624,0.23882443472896542,True,True
capacity_vol,P2,3201,93,55.13301579916498,94.94047831635353,0.874787137995116,0.9444883604484914,206.2009927515076,268.51363014626605,-0.0015641791392120297,-0.042663284948423565,55.132866511204234,94.8985853076873,0.8730343383617182,206.19641532767938,268.20938217415227,0.7326248770023835,0.6464221266360404,True,True
capacity_vol,P3,3201,112,61.422666850223315,99.49861429620636,0.8624754677649038,0.9428956806941348,206.2009927515076,268.51363014626605,-0.0015641791392120297,-0.042663284948423565,61.42125209898173,99.34948836684016,0.8615791090286825,206.19641532767938,268.20938217415227,0.7021223514464664,0.6294466905013091,True,True
energy_grav,P1,3201,73,147.12558244460612,207.13248406086726,0.4618014927883508,0.7078078522511533,220.42338785954152,282.6394465051339,-0.002101263380013929,-0.059574904167746794,147.12633623957805,207.05485532119047,0.4588174061954424,220.423368676471,282.4616636781445,0.3325318884112348,0.2671494137775815,True,True
energy_grav,P2,3201,93,87.12997713704354,127.84020917864409,0.7949871859296826,0.8969776493583115,220.42338785954152,282.6394465051339,-0.002101263380013929,-0.059574904167746794,87.1312601392992,127.61724724084714,0.7948025380291124,220.423368676471,282.4616636781445,0.6047153708001048,0.547691552755988,True,True
energy_grav,P3,3201,108,84.4727753575239,124.0498800196502,0.8069638003650575,0.9074123933056133,220.42338785954152,282.6394465051339,-0.002101263380013929,-0.059574904167746794,84.47348138869226,123.8685537588847,0.8064761586549176,220.423368676471,282.4616636781445,0.6167703609956683,0.5611020274999126,True,True
energy_vol,P1,3201,73,507.6783690949069,708.4023258991401,0.4698814718155545,0.700797626700816,760.2225767123205,973.7033647543188,-0.0015355471911884244,-0.05689415623389617,507.6786176394547,708.0619413939852,0.46739618525895354,760.2157205951344,973.067956973688,0.3321977212378685,0.27246597727647626,True,True
energy_vol,P2,3201,93,300.07133604993425,427.9509303979302,0.8065356375726129,0.8956602599094179,760.2225767123205,973.7033647543188,-0.0015355471911884244,-0.05689415623389617,300.0754299353224,427.3336162659674,0.8063908466195053,760.2157205951344,973.067956973688,0.6052848925539267,0.5604914742120573,True,True
energy_vol,P3,3201,108,287.38209910283774,409.9744456086821,0.8224475778909659,0.9095278478861911,760.2225767123205,973.7033647543188,-0.0015355471911884244,-0.05689415623389617,287.3823259640525,409.2891067201801,0.8223051866386799,760.2157205951344,973.067956973688,0.621976368623965,0.5789534467592958,True,True
max_delta_volume,P1,3201,73,0.03819576924002592,0.0839991890498364,-0.00041669742846761615,0.4497962866684571,0.04544783617983646,0.08403005444100971,-0.0011520360939567542,-0.03479350087787051,0.03819681336462294,0.0809926854697164,-0.09823031087236343,0.045448276741498234,0.08023887633792748,0.15956902570925946,0.0003673137114884595,False,True
max_delta_volume,P2,3201,77,0.03624912988790572,0.08165062424924202,0.05474330078087264,0.5290543165769496,0.04544783617983646,0.08403005444100971,-0.0011520360939567542,-0.03479350087787051,0.03625023597261036,0.07819455752433488,-0.018434568849813936,0.045448276741498234,0.08023887633792748,0.20240141368956677,0.02831641854329725,False,True
max_delta_volume,P3,3201,96,0.033820972767660405,0.07512880875996183,0.19971670683771758,0.6122306389871496,0.04544783617983646,0.08403005444100971,-0.0011520360939567542,-0.03479350087787051,0.0338221254897384,0.0717534993684372,0.16517518219067875,0.045448276741498234,0.08023887633792748,0.25582875642679037,0.10592930993870386,True,True
stability_charge,P1,3201,73,0.04201867386593234,0.1036284612251427,0.09143904754694976,0.5087045787763758,0.04991495610383322,0.10879208633526642,-0.0013607860231226176,-0.07595152118882086,0.042018233408163776,0.10302493095780137,0.08491701124226363,0.049914269588270936,0.10824194974783385,0.15819471465576407,0.04746324189620643,False,True
stability_charge,P2,3201,93,0.03856640702643756,0.09753293311439923,0.19518040943230097,0.5999352158233325,0.04991495610383322,0.10879208633526642,-0.0013607860231226176,-0.07595152118882086,0.03856578233313505,0.09660913179774433,0.1994652211037029,0.049914269588270936,0.10824194974783385,0.227357689222212,0.10349239177351255,True,True
stability_charge,P3,3201,105,0.03349906489538914,0.08237192143126046,0.4259438652732195,0.7023464334628794,0.04991495610383322,0.10879208633526642,-0.0013607860231226176,-0.07595152118882086,0.03349804696902968,0.08120827291095221,0.43733087268177784,0.049914269588270936,0.10824194974783385,0.32887720414490007,0.24285006192993208,True,True
stability_discharge,P1,3201,73,0.03407082872940731,0.07974694412695767,0.0619672777782847,0.4989023957911003,0.03925292172022166,0.08235246345448773,-0.00032950448205926186,0.005578713855340398,0.034069905098584444,0.07870621847968862,0.06475684040264092,0.03925137314974362,0.08136945974832176,0.13201801964577653,0.03163863251000387,False,True
stability_discharge,P2,3201,93,0.0312940954215601,0.07671365316955582,0.13196903510732483,0.58708237945895,0.03925292172022166,0.08235246345448773,-0.00032950448205926186,0.005578713855340398,0.031292701386568866,0.07572459018432236,0.13142353445252006,0.03925137314974362,0.08136945974832176,0.20275755153689534,0.06847166494355339,False,True
stability_discharge,P3,3201,105,0.028506517691925373,0.06666937926183868,0.34439431393144626,0.6582283577340099,0.03925292172022166,0.08235246345448773,-0.00032950448205926186,0.005578713855340398,0.028505429194943123,0.06566959563813671,0.3373408039451097,0.03925137314974362,0.08136945974832176,0.2737733538637491,0.19043855562762058,True,True
stability_worst,P1,3201,73,0.04336545240551656,0.10431084651608183,0.07416584304552476,0.4949549197074974,0.048587599195219544,0.10845429449477255,-0.0008471726943897195,-0.05889136584213697,0.04336508031907815,0.1037589820532506,0.06689690381013283,0.04858671490741528,0.1079033750136591,0.10747900444146219,0.03820455425940217,False,True
stability_worst,P2,3201,93,0.039024488756145406,0.09640494433543309,0.20918868259103052,0.553264432364898,0.048587599195219544,0.10845429449477255,-0.0008471726943897195,-0.05889136584213697,0.03902384942860816,0.0955488892761521,0.21238766303800602,0.04858671490741528,0.1079033750136591,0.19682204096256395,0.11110071957473511,True,True
stability_worst,P3,3201,105,0.03477413763888586,0.08163279939474297,0.43297313049040775,0.6296160275728259,0.048587599195219544,0.10845429449477255,-0.0008471726943897195,-0.05889136584213697,0.03477308361258084,0.08060853679069328,0.44062881510092977,0.04858671490741528,0.1079033750136591,0.28430014623346056,0.24730689757354296,True,True
