target,stage,fold_id,n_train,n_test,n_features,et_mae,et_rmse,et_r2,et_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,mae_skill_vs_dummy,rmse_skill_vs_dummy,scientific_signature
average_voltage,P1,0,2560,641,73,0.4817310239320792,0.6800239034931168,0.5863870889731881,0.7658282904900972,0.8280527411517719,1.0675389925230516,-0.0193262840401609,,0.4182363030861776,0.3629985337716525,2f235b4e31f10740d300568bca44f565fa1769c33d260dc784ab507a0b828d6b
average_voltage,P1,1,2561,640,73,0.463794719330426,0.617285820201363,0.7212438993419892,0.8048586188249253,0.9362854520904312,1.1716613018378397,-0.0042826302946818,,0.5046438900712191,0.4731533599060552,2f235b4e31f10740d300568bca44f565fa1769c33d260dc784ab507a0b828d6b
average_voltage,P1,2,2561,640,73,0.5163796359878379,0.7096787445586383,0.5893605134222002,0.7330404543800445,0.8690147698723358,1.1076071271444108,-0.0002500819442958,,0.4057872732546335,0.3592685283740415,2f235b4e31f10740d300568bca44f565fa1769c33d260dc784ab507a0b828d6b
average_voltage,P1,3,2561,640,73,0.4523379245016512,0.6385491630924569,0.648186790878044,0.7782790545392757,0.8297400495558518,1.0765601684885195,-1.751361689006359e-07,,0.4548438095234991,0.4068616118419336,2f235b4e31f10740d300568bca44f565fa1769c33d260dc784ab507a0b828d6b
average_voltage,P1,4,2561,640,73,0.4934985853065342,0.6873743084881736,0.656367587413081,0.7917628244567364,0.9526652322211376,1.175934059768115,-0.0057116213720826,,0.4819811108715042,0.4154652611867382,2f235b4e31f10740d300568bca44f565fa1769c33d260dc784ab507a0b828d6b
average_voltage,P2,0,2560,641,93,0.4644098879077298,0.6435499827544789,0.6295664657069602,0.7881127793062648,0.8280527411517719,1.0675389925230516,-0.0193262840401609,,0.4391542170831251,0.39716489302794,9b58e748aa5e22a4538bf9e65edcccb287c30561d5afb1249d99350fd9099af8
average_voltage,P2,1,2561,640,93,0.4256302656075747,0.5745153502699852,0.7585345197481537,0.838176343772576,0.9362854520904312,1.1716613018378397,-0.0042826302946818,,0.5454054480316062,0.5096574843183654,9b58e748aa5e22a4538bf9e65edcccb287c30561d5afb1249d99350fd9099af8
average_voltage,P2,2,2561,640,93,0.4751878511372441,0.6582834470490575,0.6466842631236769,0.7836410149844962,0.8690147698723358,1.1076071271444108,-0.0002500819442958,,0.453187831080187,0.4056706291280212,9b58e748aa5e22a4538bf9e65edcccb287c30561d5afb1249d99350fd9099af8
average_voltage,P2,3,2561,640,93,0.4290076130904571,0.5991573385794208,0.6902543418989562,0.8089571157814999,0.8297400495558518,1.0765601684885195,-1.751361689006359e-07,,0.4829614247015088,0.4434520650892815,9b58e748aa5e22a4538bf9e65edcccb287c30561d5afb1249d99350fd9099af8
average_voltage,P2,4,2561,640,93,0.4794730079851945,0.666308374151471,0.677107414389222,0.8111688199922364,0.9526652322211376,1.175934059768115,-0.0057116213720826,,0.4967035724949216,0.4333794751358236,9b58e748aa5e22a4538bf9e65edcccb287c30561d5afb1249d99350fd9099af8
average_voltage,P3,0,2560,641,108,0.3695361816005434,0.5134645006993275,0.7641876340388445,0.877947214851211,0.8280527411517719,1.0675389925230516,-0.0193262840401609,,0.5537286899303773,0.5190203783697014,c189d135f7683914f585f9fb31bba7c141f0c10739bdf62ecd41c556f667e158
average_voltage,P3,1,2561,640,108,0.3329820162438987,0.4440623969786859,0.8557420431547476,0.9119191422586485,0.9362854520904312,1.1716613018378397,-0.0042826302946818,,0.6443584427158893,0.6209976413131164,c189d135f7683914f585f9fb31bba7c141f0c10739bdf62ecd41c556f667e158
average_voltage,P3,2,2561,640,108,0.3668746567362279,0.5066078148490819,0.790742572485678,0.8817931836991793,0.8690147698723358,1.1076071271444108,-0.0002500819442958,,0.5778269029994458,0.5426105498659997,c189d135f7683914f585f9fb31bba7c141f0c10739bdf62ecd41c556f667e158
average_voltage,P3,3,2561,640,108,0.3190511059768073,0.4486884899901671,0.8262946001931941,0.9102633612386752,0.8297400495558518,1.0765601684885195,-1.751361689006359e-07,,0.615480648249303,0.583220238753472,c189d135f7683914f585f9fb31bba7c141f0c10739bdf62ecd41c556f667e158
average_voltage,P3,4,2561,640,108,0.3802583952708671,0.508709249108341,0.8117882220287286,0.9062438659518214,0.9526652322211376,1.175934059768115,-0.0057116213720826,,0.6008478294266127,0.5673998513074325,c189d135f7683914f585f9fb31bba7c141f0c10739bdf62ecd41c556f667e158
capacity_grav,P1,0,2560,641,73,41.54409052083982,59.36635153246176,0.3867864312749665,0.6505401764758814,61.115884351689566,75.9093125778962,-0.0025848883625494,,0.3202407040078882,0.2179305869547755,fcd919eb2399cf205c8dbdab534e1538c60546179a889008571293379b012db9
capacity_grav,P1,1,2561,640,73,38.116624209676566,61.67664912476378,0.2836603254710639,0.6610976296071752,54.06152566247283,72.91828645252569,-0.0012680836306109,,0.2949399088798659,0.1541676014984377,fcd919eb2399cf205c8dbdab534e1538c60546179a889008571293379b012db9
capacity_grav,P1,2,2561,640,73,42.61331752116162,60.847185823034266,0.3167850040654444,0.5958184483626797,55.97945702562602,73.6143391149068,-2.835004858869894e-06,,0.2387686521922802,0.1734329676171364,fcd919eb2399cf205c8dbdab534e1538c60546179a889008571293379b012db9
capacity_grav,P1,3,2561,640,73,41.17536831609043,64.66330045322027,0.3939933963789919,0.685931500044393,60.21389942331773,83.81899357094866,-0.0182314465888437,,0.3161816671825552,0.2285364247605052,fcd919eb2399cf205c8dbdab534e1538c60546179a889008571293379b012db9
capacity_grav,P1,4,2561,640,73,39.48549449666241,56.57299944772043,0.4012988312692186,0.6997506198557789,56.07753138173325,73.27767255561213,-0.0044655099796528,,0.2958767348748797,0.2279640240376649,fcd919eb2399cf205c8dbdab534e1538c60546179a889008571293379b012db9
capacity_grav,P2,0,2560,641,93,17.039407650269922,27.80566798591225,0.8654766410578084,0.94635897793113,61.115884351689566,75.9093125778962,-0.0025848883625494,,0.7211951061328483,0.6336988566800841,688d2df64370ff997717086f6de06cfd50cda0cea46ac6fc992fa9450fc62e78
capacity_grav,P2,1,2561,640,93,16.323615177657977,35.45831407674075,0.7632371118203929,0.9406592878717808,54.06152566247283,72.91828645252569,-0.0012680836306109,,0.698054855507174,0.5137253520099337,688d2df64370ff997717086f6de06cfd50cda0cea46ac6fc992fa9450fc62e78
capacity_grav,P2,2,2561,640,93,18.611689531481545,29.2099989242668,0.8425511553322649,0.924222751611106,55.97945702562602,73.6143391149068,-2.835004858869894e-06,,0.6675264370113205,0.6032023206963517,688d2df64370ff997717086f6de06cfd50cda0cea46ac6fc992fa9450fc62e78
capacity_grav,P2,3,2561,640,93,18.384747705716507,35.33590109467672,0.8190352600691719,0.9398257826516664,60.21389942331773,83.81899357094866,-0.0182314465888437,,0.6946760153088998,0.578426087104391,688d2df64370ff997717086f6de06cfd50cda0cea46ac6fc992fa9450fc62e78
capacity_grav,P2,4,2561,640,93,18.870505827535624,35.46880675897452,0.7646659050571741,0.9161763792821822,56.07753138173325,73.27767255561213,-0.0044655099796528,,0.663492572469363,0.5159670671573744,688d2df64370ff997717086f6de06cfd50cda0cea46ac6fc992fa9450fc62e78
capacity_grav,P3,0,2560,641,112,19.807597053419595,29.437894365026924,0.8492197280284522,0.9332318750143332,61.115884351689566,75.9093125778962,-0.0025848883625494,,0.6759009991668065,0.6121965360334609,a00adbdded60250252f3ecffc488a39c8280503aefc099906eb09f88dc169d01
capacity_grav,P3,1,2561,640,112,18.1651258046428,34.95410441410613,0.7699226733449642,0.9390336075707086,54.06152566247283,72.91828645252569,-0.0012680836306109,,0.6639916172907372,0.5206400737781542,a00adbdded60250252f3ecffc488a39c8280503aefc099906eb09f88dc169d01
capacity_grav,P3,2,2561,640,112,20.098258219541364,31.553579312828795,0.8162727146129626,0.9238846204464214,55.97945702562602,73.6143391149068,-2.835004858869894e-06,,0.6409708259524405,0.5713663982831405,a00adbdded60250252f3ecffc488a39c8280503aefc099906eb09f88dc169d01
capacity_grav,P3,3,2561,640,112,19.654772836876063,36.240053924942856,0.8096559559208294,0.9457896820253692,60.21389942331773,83.81899357094866,-0.0182314465888437,,0.6735841221858356,0.5676391187605059,a00adbdded60250252f3ecffc488a39c8280503aefc099906eb09f88dc169d01
capacity_grav,P3,4,2561,640,112,18.0352667786608,31.812643298662064,0.8106823053541248,0.9313253702587302,56.07753138173325,73.27767255561213,-0.0044655099796528,,0.6783869344053255,0.5658617121809005,a00adbdded60250252f3ecffc488a39c8280503aefc099906eb09f88dc169d01
capacity_vol,P1,0,2560,641,73,146.27220079978974,209.6296271364548,0.4089205065324977,0.6599615931873486,220.8487490018924,272.7499089589717,-0.0006214243444477,,0.3376815514651776,0.2314218254496713,2ddf0bccd6df30f841e30ccdcdaa058daf86a8bb63f5840de96e61d5782ee432
capacity_vol,P1,1,2561,640,73,128.94096650399035,195.63339752045988,0.4638645619292605,0.7156965948822865,201.4142062684625,267.2122270271077,-0.0002329871793473,,0.3598218869818619,0.2678725831635931,2ddf0bccd6df30f841e30ccdcdaa058daf86a8bb63f5840de96e61d5782ee432
