job_directory,input_file,role,calculation,state,magnetic_variant,hubbard_u_ev,ecutwfc_Ry,ecutrho_Ry,kmesh,input_sha256
05_kpoint/discharged/k_3x3x2,05_kpoint/discharged/k_3x3x2/pw.in,kpoint_convergence,scf,discharged,fm_medium,,80,640,3x3x2,1563a18758069700a4e11339ce6142a33e08a782065207bc46335347f6cf2b50
05_kpoint/discharged/k_4x4x3,05_kpoint/discharged/k_4x4x3/pw.in,kpoint_convergence,scf,discharged,fm_medium,,80,640,4x4x3,158f53798b4b2032c280479240f882662c4763683190a0834586fb90a38c67f5
05_kpoint/na_metal/k_8x8x8,05_kpoint/na_metal/k_8x8x8/pw.in,kpoint_convergence,scf,na_metal,nonmagnetic,,80,640,8x8x8,307e508dd0ed6734681a8549e77a42199238323ac03fea0301adebc2f5d396d2
05_kpoint/na_metal/k_12x12x12,05_kpoint/na_metal/k_12x12x12/pw.in,kpoint_convergence,scf,na_metal,nonmagnetic,,80,640,12x12x12,da323ac6aab79d53d3c5fa090b644cfcb8927ee97be3fb8d66c86d083d45fa71
05_kpoint/na_metal/k_16x16x16,05_kpoint/na_metal/k_16x16x16/pw.in,kpoint_convergence,scf,na_metal,nonmagnetic,,80,640,16x16x16,5e6c3c8a671c85213dcdbb87b1b4b947b0b76c33a3df8953dc78618071da8c23
06_vc_relax_pbe/charged,06_vc_relax_pbe/charged/pw.in,pbe_vc_relax_template,vc-relax,charged,fm_medium,,80,640,3x4x2,99db3707108719b350d8d245aee47d9dfee8e99a7568d860cc284da115bd125a
06_vc_relax_pbe/discharged,06_vc_relax_pbe/discharged/pw.in,pbe_vc_relax_template,vc-relax,discharged,fm_medium,,80,640,3x3x2,8000a47f01dd78068af401f6b2cd0d97bf2e13dffcb6a15c8cb2ccf8986692ad
06_vc_relax_pbe/na_metal,06_vc_relax_pbe/na_metal/pw.in,pbe_vc_relax_template,vc-relax,na_metal,nonmagnetic,,80,640,12x12x12,2659118dfad0cbce541470275cf153f9d61172bac2587977a5f61b7259c5c36e
07_pbeu_sensitivity/charged/U_3.32,07_pbeu_sensitivity/charged/U_3.32/pw.in,pbeu_sensitivity_template,scf,charged,fm_medium,3.32,80,640,3x4x2,f8b6cb8698ad6bc6de97b13ea8cec56def94ab7af1e6e261a1a58052cb21a3f1
07_pbeu_sensitivity/discharged/U_3.32,07_pbeu_sensitivity/discharged/U_3.32/pw.in,pbeu_sensitivity_template,scf,discharged,fm_medium,3.32,80,640,3x3x2,cf9069968217acdb6c53d5a59c64ad338a27c9c82a61ee79f59f5a509b1ec136
