coarse_family,n_records,n_case_screen_pass,n_computed_pareto,n_predicted_pareto,median_final_triage_score,max_final_triage_score,median_uncertainty_penalty,median_ad_penalty
halide_or_fluoride_like,45,15,14,10,0.19483796104402712,0.7802501772700956,0.2202201764487627,0.5
transition_metal_oxide_like,129,44,25,21,0.1409724758929554,0.6908771992361679,0.2777684919820903,0.0
polyanion_phosphate_like,141,84,51,64,0.33445650541808775,0.679075598597492,0.15138399760210614,0.0
sulfate_or_sulfur_oxoanion_like,21,19,8,6,0.36895254870153776,0.6497400015960273,0.18158441207428933,0.0
silicate_like,18,10,3,2,0.2245039268825325,0.5409114031040865,0.24409900909424972,0.0
sulfide_like,14,2,4,3,0.034640656790974916,0.3012232131097798,0.27335856786138785,0.35
organic_or_carbon_like,7,5,1,1,0.24643090582099567,0.2789629371899226,0.3583226547753291,0.5
oxide_like_other,6,1,2,0,0.11129176054976393,0.2715038660601883,0.2789119723202317,0.5
other_or_unclear,35,0,9,0,-0.1704975295641161,0.08727386235452086,0.40819597677367486,0.5
