target,stage,mae_skill_vs_dummy,mae_skill_ci_low,mae_skill_ci_high,rmse_skill_vs_dummy,rmse_skill_ci_low,rmse_skill_ci_high,passes_10pct_point_both,mae_skill_interval_entirely_above_zero,rmse_skill_interval_entirely_above_zero,useful_learnability_same_rule
average_voltage,P1,0.2653987571254449,0.23226627435779734,0.2970742370736187,0.2540393249586117,0.22632865409642378,0.2807845306906623,True,True,True,True
average_voltage,P2,0.29455729883400894,0.2618618140448402,0.32505941804176036,0.27227235431070707,0.24422204865328764,0.2997154061598708,True,True,True,True
average_voltage,P3,0.4658917539166282,0.4378130679867598,0.49327891929546924,0.4249269588930453,0.39251016453548654,0.45581842308880643,True,True,True,True
capacity_grav,P1,0.1494088895587875,0.1182946022869084,0.1791014050699003,0.1166210723406077,0.08531820283519265,0.14521459877825377,True,True,True,True
capacity_grav,P2,0.4159630134376495,0.39229336518548824,0.43865317429849127,0.32115023578961743,0.2489503166329252,0.3795937978588483,True,True,True,True
capacity_grav,P3,0.5166537730701888,0.4949319909401568,0.5374386941081417,0.4440115184570589,0.3908625327630746,0.491895586153004,True,True,True,True
capacity_vol,P1,0.17121387396595045,0.14299949050233562,0.1993709105416359,0.13542199518868314,0.11015364819826311,0.16038626688138435,True,True,True,True
capacity_vol,P2,0.4446680159634182,0.4198902696085371,0.4678987898818205,0.33575603392954056,0.2595597221713136,0.4001461068176603,True,True,True,True
capacity_vol,P3,0.5367444860187159,0.5160083707772657,0.5559147083737408,0.47244949498243116,0.42401093967472736,0.5134679411343996,True,True,True,True
energy_grav,P1,0.20870022346005712,0.181084074953219,0.23626840674282362,0.17314216015862427,0.14620778357182007,0.19913540075409492,True,True,True,True
energy_grav,P2,0.38501080385674713,0.3574318131082646,0.4102673246139345,0.28212166789672566,0.20025495786561096,0.3505004983348813,True,True,True,True
energy_grav,P3,0.4506644548603308,0.4235051436146359,0.4747385493388394,0.3499450519604602,0.26929151050007094,0.4169128905116195,True,True,True,True
energy_vol,P1,0.20269996834178627,0.17702672259328642,0.2286209945802282,0.16765218120601433,0.1411751763119265,0.19373297197954642,True,True,True,True
energy_vol,P2,0.3947237815719653,0.3655400724574467,0.4211574223132553,0.2869920709782582,0.20560575534205044,0.3549873776784591,True,True,True,True
energy_vol,P3,0.45840848387513566,0.43094770061315774,0.48276955272348254,0.3479662728839412,0.2663718371039224,0.4157655845664443,True,True,True,True
max_delta_volume,P1,0.04293330179950772,0.005253902943487604,0.07678995066670558,0.009708237101579087,-0.10364349842664344,0.06702495782852246,False,True,False,False
max_delta_volume,P2,0.057440607135086474,0.020014980886744478,0.09233453892171803,0.020657853245733104,-0.08856397286281083,0.07687017833070008,False,True,False,False
max_delta_volume,P3,0.09878487194920893,0.05797639513914817,0.13704752799325395,0.06797708940213842,-0.031228929288960445,0.12359802343763089,False,True,False,False
stability_charge,P1,0.006807814150929348,-0.027362634193487535,0.04003118559722181,0.023934266394125547,-0.02164061501402481,0.07585306978502397,False,False,False,False
stability_charge,P2,0.034741618695694254,-0.000540946852836787,0.07031867739513417,0.0658859153273259,0.017135691167968464,0.12618955777745905,False,False,True,False
stability_charge,P3,0.02522330465559597,-0.023576997164423297,0.07085302795466543,0.15729375064074191,0.08530063703802207,0.21262353157014752,False,False,True,False
stability_discharge,P1,0.047742527438643045,0.004597060266091345,0.08463943651001714,0.017578447387128104,-0.0019261287839900593,0.03855503041101511,False,True,False,False
stability_discharge,P2,0.059494329010592595,0.01377752324438163,0.0981100541424181,0.025278528327880467,0.002608752895549009,0.05214486756809069,False,True,True,False
stability_discharge,P3,0.0546968061219385,0.004697089463267001,0.09963911171772928,0.13025497899639604,0.07010253426384312,0.17060424056227846,False,True,True,False
stability_worst,P1,-0.013956183040744863,-0.0549482363156787,0.02277746482476827,0.02380564506292382,-0.022829785629686062,0.07384218366984985,False,False,False,False
stability_worst,P2,0.008066758107395544,-0.034684877316964596,0.04706066305833793,0.06796667728738315,0.017953954255761708,0.12813908064944643,False,False,True,False
stability_worst,P3,-0.010998267882705415,-0.06583077105477533,0.036936730772937076,0.15747540542406202,0.08423348041206218,0.21041379603036575,False,False,True,False
