target,stage,fold_id,n_train,n_test,n_features,ridge_mae,ridge_rmse,ridge_r2,ridge_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,mae_skill_vs_dummy,rmse_skill_vs_dummy
average_voltage,P1,0,2560,641,73,0.6780256616643489,0.8672430675750611,0.32729074433260064,0.5539025052397699,0.8280527411517719,1.0675389925230516,-0.0193262840401609,,0.18118058431730366,0.18762398970983296
average_voltage,P1,1,2561,640,73,0.6310591249779689,0.8135826015013216,0.5157662177751721,0.6927967839439779,0.9362854520904313,1.1716613018378395,-0.0042826302946818995,,0.3259970839352335,0.3056162218337709
average_voltage,P1,2,2561,640,73,0.6595218634475011,0.8448910617057276,0.41797914899604593,0.5982335122392777,0.8690147698723358,1.1076071271444108,-0.0002500819442958768,,0.2410694428768002,0.23719246563175111
average_voltage,P1,3,2561,640,73,0.5941210634573866,0.7892994188710724,0.4624646532957356,0.63262273335355,0.8297400495558518,1.0765601684885195,-1.7513616890063588e-07,,0.28396723314077554,0.2668320434154262
average_voltage,P1,4,2561,640,73,0.6809848171823492,0.862598960427928,0.458840370837176,0.6416798019172746,0.9526652322211376,1.175934059768115,-0.005711621372082698,,0.2851793115251682,0.2664563516443891
average_voltage,P2,0,2560,641,93,0.6413037386534195,0.8308937372906822,0.3825003719266278,0.5967443789086351,0.8280527411517719,1.0675389925230516,-0.0193262840401609,,0.22552790808782985,0.22167364085978292
average_voltage,P2,1,2561,640,93,0.6021725895170837,0.7769866896466447,0.5583492855194914,0.7254465037756442,0.9362854520904313,1.1716613018378395,-0.0042826302946818995,,0.3568493580962713,0.33685042902084217
average_voltage,P2,2,2561,640,93,0.6445278309525057,0.8344758062591164,0.43224023566179326,0.6253094947741572,0.8690147698723358,1.1076071271444108,-0.0002500819442958768,,0.2583235023183885,0.24659584991067252
average_voltage,P2,3,2561,640,93,0.5761643656315719,0.7645850082117716,0.49560006982592864,0.6745246570426199,0.8297400495558518,1.0765601684885195,-1.7513616890063588e-07,,0.3056085867616194,0.2897888751678025
average_voltage,P2,4,2561,640,93,0.6508065867548389,0.8667089951504732,0.45367114674212317,0.653625954897351,0.9526652322211376,1.175934059768115,-0.005711621372082698,,0.3168569978800587,0.262961228181977
average_voltage,P3,0,2560,641,108,0.4830521907116541,0.6582678264071267,0.6124292555411576,0.7562699108431628,0.8280527411517719,1.0675389925230516,-0.0193262840401609,,0.41664079266284726,0.38337818944546653
average_voltage,P3,1,2561,640,108,0.44552416711511655,0.5931685938597433,0.7426002762523521,0.8526771458182272,0.9362854520904313,1.1716613018378395,-0.0042826302946818995,,0.5241577596657077,0.4937371466230783
average_voltage,P3,2,2561,640,108,0.48691824413930274,0.6444953176692854,0.6613300642704658,0.8004364329502759,0.8690147698723358,1.1076071271444108,-0.0002500819442958768,,0.43968933438169944,0.41811920321341933
average_voltage,P3,3,2561,640,108,0.4416163361725875,0.6005612532884927,0.688801081046957,0.8311888884006067,0.8297400495558518,1.0765601684885195,-1.7513616890063588e-07,,0.4677654327894881,0.44214799054689613
average_voltage,P3,4,2561,640,108,0.5013182306787437,0.7182549119531653,0.6247983504422372,0.8171269033859947,0.9526652322211376,1.175934059768115,-0.005711621372082698,,0.47377293332105663,0.38920477216656213
capacity_grav,P1,0,2560,641,73,49.85584604265679,63.73451453820085,0.29322626561194076,0.5373247979077269,61.115884351689566,75.9093125778962,-0.0025848883625494423,,0.18424078172929992,0.16038609264445503
capacity_grav,P1,1,2561,640,73,44.832373188784025,66.42229720826562,0.1691832433427437,0.5339754673312579,54.06152566247283,72.91828645252569,-0.0012680836306109278,,0.17071572362404275,0.08908587352075759
capacity_grav,P1,2,2561,640,73,50.60866159168674,66.33295790185355,0.18803908631908273,0.447965561758349,55.97945702562602,73.6143391149068,-2.835004858869894e-06,,0.09594225666534528,0.09891253933133226
capacity_grav,P1,3,2561,640,73,52.466588448344986,74.28841046007066,0.2001588321885338,0.4732173571099389,60.21389942331773,83.81899357094866,-0.01823144658884379,,0.12866316663047084,0.11370433722531903
capacity_grav,P1,4,2561,640,73,46.74082380851462,64.46092375113564,0.2227070205890591,0.5562600007441484,56.07753138173325,73.27767255561213,-0.004465509979652893,,0.16649640851094916,0.12031971672933872
capacity_grav,P2,0,2560,641,93,33.70108853617552,48.06639992008636,0.5980109453121407,0.8448611002761776,61.115884351689566,75.9093125778962,-0.0025848883625494423,,0.44857071293865947,0.3667917902594382
capacity_grav,P2,1,2561,640,93,31.735357945387683,52.1919443584148,0.4870389179187292,0.8249658523690696,54.06152566247283,72.91828645252569,-0.0012680836306109278,,0.4129770191184783,0.28424066311000085
capacity_grav,P2,2,2561,640,93,33.33975891586364,46.95555892019763,0.5931349127197365,0.8286457001195862,55.97945702562602,73.6143391149068,-2.835004858869894e-06,,0.40442868353293393,0.3621411333068777
capacity_grav,P2,3,2561,640,93,35.97937442168747,53.98273783220039,0.5776510339604188,0.8167108232173429,60.21389942331773,83.81899357094866,-0.01823144658884379,,0.40247393431964784,0.3559605581936909
capacity_grav,P2,4,2561,640,93,33.12797167227469,56.2356329883432,0.40841810895976605,0.8450374658439278,56.07753138173325,73.27767255561213,-0.004465509979652893,,0.4092469683309593,0.23256797020040898
capacity_grav,P3,0,2560,641,112,29.343396318574694,41.41610810221611,0.7015513571433517,0.8609855737674779,61.115884351689566,75.9093125778962,-0.0025848883625494423,,0.5198728345364525,0.4544001691529488
capacity_grav,P3,1,2561,640,112,26.145183487740574,43.40421738625196,0.6452345451417432,0.864030644356105,54.06152566247283,72.91828645252569,-0.0012680836306109278,,0.5163809536013626,0.40475538444652315
capacity_grav,P3,2,2561,640,112,28.15323751852843,38.97705242715982,0.7196539878560894,0.8713996789479108,55.97945702562602,73.6143391149068,-2.835004858869894e-06,,0.4970791248360882,0.4705236385221174
capacity_grav,P3,3,2561,640,112,28.461498720259044,45.09082782290521,0.7053285644273786,0.8831587034049196,60.21389942331773,83.81899357094866,-0.01823144658884379,,0.5273267635406224,0.46204522505107337
capacity_grav,P3,4,2561,640,112,26.83404155526613,42.19212213044101,0.6669921781081323,0.8887188689008686,56.07753138173325,73.27767255561213,-0.004465509979652893,,0.5214831877566016,0.42421585376609194
capacity_vol,P1,0,2560,641,73,175.0527450103964,225.51823264652134,0.3159247347803614,0.5569881972259276,220.84874900189237,272.7499089589717,-0.0006214243444477852,,0.20736365588878014,0.17316844024888434
capacity_vol,P1,1,2561,640,73,154.936433440524,224.81776704628572,0.2919730643107801,0.5674444983251787,201.4142062684625,267.2122270271077,-0.0002329871793473881,,0.23075717293738873,0.15865464111610883
capacity_vol,P1,2,2561,640,73,179.32886076302472,235.48733158861154,0.1578628272891064,0.4637463716063795,196.69439407319388,256.7265798125625,-0.0008970539623152085,,0.08828687463104357,0.08273100603551775
capacity_vol,P1,3,2561,640,73,178.8743387199173,251.46220624428432,0.2367879053879055,0.4999103264401501,210.4918399239682,289.8979996538949,-0.01435561629668669,,0.1502077287911563,0.13258385175302523
capacity_vol,P1,4,2561,640,73,166.28373780211777,222.22983901806225,0.23428358901675106,0.5409417712118442,201.53288737087988,254.46019541822469,-0.003928826217344694,,0.17490519799824678,0.1266616821825095
capacity_vol,P2,0,2560,641,93,115.14922653273416,173.92592785164788,0.5931172983272316,0.8464606960516546,220.84874900189237,272.7499089589717,-0.0006214243444477852,,0.4786059370807326,0.3623245246332579
