working_ion,n_records,Polyanion/phosphate-like,Transition-metal oxide-like,Halide/fluoride-like,Oxyfluoride/fluoropolyanion-like,silicate-like,Other/unclear,Sulfate/sulfur-oxoanion-like,Other families
Li,2774,37.41888968997837,37.67123287671233,5.62364816149964,8.1831290555155,4.14563806777217,2.054794520547945,2.883922134102379,2.018745493871677
Na,416,33.894230769230774,31.009615384615387,10.817307692307693,0.0,4.326923076923077,8.413461538461538,5.048076923076923,6.490384615384613
K,164,22.5609756097561,19.51219512195122,29.878048780487802,1.2195121951219512,0.0,14.02439024390244,4.2682926829268295,8.536585365853654
