target,split_name,in_domain_pct,borderline_pct,out_of_domain_pct
average_voltage,framework_groupkfold,89.3470790378007,7.68509840674789,2.96782255545142
average_voltage,leave_chemical_system_out,89.94111874386654,9.22473012757605,0.8341511285573999
average_voltage,leave_family_out,26.99156513589503,21.77444548578569,51.23398937831928
average_voltage,leave_working_ion_out,68.85348328647297,20.149953139643863,10.99656357388316
average_voltage,random_split,91.26365054602184,5.2730109204368105,3.4633385335413402
capacity_grav,framework_groupkfold,89.3470790378007,7.68509840674789,2.96782255545142
capacity_grav,leave_chemical_system_out,89.94111874386654,9.22473012757605,0.8341511285573999
capacity_grav,leave_family_out,26.99156513589503,21.77444548578569,51.23398937831928
capacity_grav,leave_working_ion_out,68.85348328647297,20.149953139643863,10.99656357388316
capacity_grav,random_split,91.26365054602184,5.2730109204368105,3.4633385335413402
energy_grav,framework_groupkfold,89.3470790378007,7.68509840674789,2.96782255545142
energy_grav,leave_chemical_system_out,89.94111874386654,9.22473012757605,0.8341511285573999
energy_grav,leave_family_out,26.99156513589503,21.77444548578569,51.23398937831928
energy_grav,leave_working_ion_out,68.85348328647297,20.149953139643863,10.99656357388316
energy_grav,random_split,91.26365054602184,5.2730109204368105,3.4633385335413402
max_delta_volume,framework_groupkfold,89.3470790378007,7.68509840674789,2.96782255545142
max_delta_volume,leave_chemical_system_out,89.94111874386654,9.22473012757605,0.8341511285573999
max_delta_volume,leave_family_out,26.99156513589503,21.77444548578569,51.23398937831928
max_delta_volume,leave_working_ion_out,68.85348328647297,20.149953139643863,10.99656357388316
max_delta_volume,random_split,91.26365054602184,5.2730109204368105,3.4633385335413402
stability_worst,framework_groupkfold,89.3470790378007,7.68509840674789,2.96782255545142
stability_worst,leave_chemical_system_out,89.94111874386654,9.22473012757605,0.8341511285573999
stability_worst,leave_family_out,26.99156513589503,21.77444548578569,51.23398937831928
stability_worst,leave_working_ion_out,68.85348328647297,20.149953139643863,10.99656357388316
stability_worst,random_split,91.26365054602184,5.2730109204368105,3.4633385335413402
