target,split_name,model_name,mae_mean,random_mae,mae_ratio_vs_random
average_voltage,framework_groupkfold,ExtraTrees,0.4815483778117057,0.4564415909664291,1.0550054757107425
average_voltage,leave_chemical_system_out,ExtraTrees,0.5454144681290563,0.4564415909664291,1.1949271909561174
average_voltage,leave_family_out,ExtraTrees,0.8087096261995494,0.4564415909664291,1.7717702378682432
average_voltage,leave_working_ion_out,ExtraTrees,0.5528576279626676,0.4564415909664291,1.211234118240837
average_voltage,random_split,ExtraTrees,0.4564415909664291,0.4564415909664291,1.0
capacity_grav,framework_groupkfold,ExtraTrees,40.5884200753548,38.70168119218609,1.048750824900848
capacity_grav,leave_chemical_system_out,ExtraTrees,45.769794979728566,38.70168119218609,1.1826306653822969
capacity_grav,leave_family_out,ExtraTrees,55.788523421263946,38.70168119218609,1.441501291487247
capacity_grav,leave_working_ion_out,ExtraTrees,39.26286446296519,38.70168119218609,1.0145002297960224
capacity_grav,random_split,ExtraTrees,38.70168119218609,38.70168119218609,1.0
energy_grav,framework_groupkfold,ExtraTrees,147.12633623957805,139.3160421732304,1.0560616993169822
energy_grav,leave_chemical_system_out,ExtraTrees,161.12925816729305,139.3160421732304,1.1565736124411239
energy_grav,leave_family_out,ExtraTrees,181.28560738172425,139.3160421732304,1.3012543606163276
energy_grav,leave_working_ion_out,ExtraTrees,138.67044725102994,139.3160421732304,0.995365968540811
energy_grav,random_split,ExtraTrees,139.3160421732304,139.3160421732304,1.0
max_delta_volume,framework_groupkfold,DummyMean,0.0454482767414982,0.0426315791623742,1.0660706836215432
max_delta_volume,leave_chemical_system_out,ExtraTrees,0.0343902085272545,0.0426315791623742,0.8066838996573373
max_delta_volume,leave_family_out,DummyMean,0.0622513200374907,0.0426315791623742,1.4602161416631851
max_delta_volume,leave_working_ion_out,ExtraTrees,0.0676820690922226,0.0426315791623742,1.5876040818107313
max_delta_volume,random_split,Ridge,0.0426315791623742,0.0426315791623742,1.0
stability_worst,framework_groupkfold,ExtraTrees,0.0433650803190781,0.0483367687516089,0.8971447914096384
stability_worst,leave_chemical_system_out,ExtraTrees,0.0409182567952551,0.0483367687516089,0.8465244544070423
stability_worst,leave_family_out,DummyMean,0.0855457116036157,0.0483367687516089,1.7697854824184598
stability_worst,leave_working_ion_out,ExtraTrees,0.0534304647765115,0.0483367687516089,1.1053793241968217
stability_worst,random_split,Ridge,0.0483367687516089,0.0483367687516089,1.0
