target,split_name,softconstrained_direct,unconstrained_direct,soft_to_unconstrained_mae_ratio
average_voltage,framework_groupkfold,0.6057987923916679,0.5945686559328506,1.018887871647384
average_voltage,leave_chemical_system_out,0.6484548467451167,0.6338025581169712,1.02311806483028
average_voltage,leave_family_out,1.1242104190043205,0.893612206020584,1.258051771708258
average_voltage,leave_working_ion_out,0.7749321894138291,0.7640454252480495,1.0142488441210746
average_voltage,random_split,0.5636106857875017,0.5579805342240441,1.0100902293505403
capacity_grav,framework_groupkfold,47.03061418517444,48.02628825838024,0.9792681443993945
capacity_grav,leave_chemical_system_out,49.53041179433469,53.242419075591165,0.9302810175475623
capacity_grav,leave_family_out,69.22643556233024,72.80919522362714,0.950792483692578
capacity_grav,leave_working_ion_out,46.39850435442387,48.35351790604114,0.9595683285047392
capacity_grav,random_split,44.82451102988404,45.26362484550056,0.9902987483411823
energy_grav,framework_groupkfold,165.890837078921,169.1930061316262,0.9804828276995314
energy_grav,leave_chemical_system_out,175.83581290817554,181.1387808216596,0.9707242817389552
energy_grav,leave_family_out,226.9439549527138,219.14938310509876,1.0355673912341197
energy_grav,leave_working_ion_out,167.64539559300252,165.80298964974827,1.0111120188311817
energy_grav,random_split,155.36897068115854,156.52492980333128,0.9926148561534245
max_delta_volume,framework_groupkfold,0.0421490940159911,0.041832455140481,1.007569215683057
max_delta_volume,leave_chemical_system_out,0.0424613324294247,0.0430773218187356,0.9857003786841041
max_delta_volume,leave_family_out,0.0800737638066784,0.0741566204517003,1.0797925164191113
max_delta_volume,leave_working_ion_out,0.0653572884740902,0.0716132907131434,0.9126418828578559
max_delta_volume,random_split,0.0417803177790249,0.0412263266364378,1.013437800254982
stability_charge,framework_groupkfold,0.0506935843416847,0.0506184556756616,1.0014842148979117
stability_charge,leave_chemical_system_out,0.047013304611461,0.0560093955633786,0.8393824667909889
stability_charge,leave_family_out,0.0911122386412286,0.1141380427436231,0.7982635451869884
stability_charge,leave_working_ion_out,0.0618512276806443,0.0600227527645816,1.0304630299652244
stability_charge,random_split,0.0481951506631441,0.0477047184612599,1.0102805805736486
stability_discharge,framework_groupkfold,0.0383862888673252,0.0395194838107781,0.9713256643513183
stability_discharge,leave_chemical_system_out,0.0382334205099538,0.0421746532442807,0.9065497299646116
stability_discharge,leave_family_out,0.0592280390144016,0.0694278933897644,0.8530870824770473
stability_discharge,leave_working_ion_out,0.0445882989039476,0.0436716499426491,1.0209895655992451
stability_discharge,random_split,0.0382654954815275,0.0375666490084758,1.0186028429869811
stability_worst,framework_groupkfold,0.0487182162220029,0.0516451775118609,0.9433255643436255
stability_worst,leave_chemical_system_out,0.0473749919214909,0.0558466423518428,0.8483051071006357
stability_worst,leave_family_out,0.0883798179596157,0.1154554712116805,0.7654883482964333
stability_worst,leave_working_ion_out,0.0607837928717998,0.0635130087890204,0.9570290249311507
stability_worst,random_split,0.0468363288813791,0.0482953655806671,0.969789302104961
