target,split_name,n_predictions,conformal_coverage,median_conformal_width
average_voltage,framework_groupkfold,3201,0.9537644486098096,2.9763307957234746
average_voltage,leave_chemical_system_out,2038,0.9509322865554464,2.962829466469705
average_voltage,leave_family_out,3201,0.8647297719462668,2.9499685317857427
average_voltage,leave_working_ion_out,3201,0.9281474539206498,3.0181195332003394
average_voltage,random_split,3205,0.946021840873635,2.7728494163578032
capacity_grav,framework_groupkfold,3201,0.9612621055920024,264.5706275321483
capacity_grav,leave_chemical_system_out,2038,0.9474975466143276,245.8980907044594
capacity_grav,leave_family_out,3201,0.9072164948453608,251.2909735411788
capacity_grav,leave_working_ion_out,3201,0.9468915963761324,251.16911209777447
capacity_grav,random_split,3205,0.9572542901716068,260.0671347405104
energy_grav,framework_groupkfold,3201,0.9553264604810996,864.6248970904667
energy_grav,leave_chemical_system_out,2038,0.9445534838076546,877.1141959112297
energy_grav,leave_family_out,3201,0.9056544829740706,850.3939981050194
energy_grav,leave_working_ion_out,3201,0.9228366135582632,814.3006676710149
energy_grav,random_split,3205,0.9622464898595944,952.1098125217512
max_delta_volume,framework_groupkfold,3201,0.9512652296157452,0.2290410697134705
max_delta_volume,leave_chemical_system_out,2038,0.9636898920510304,0.2380659623448858
max_delta_volume,leave_family_out,3201,0.9487660106216808,0.234058391399796
max_delta_volume,leave_working_ion_out,3201,0.9731333958138082,0.4135654507667365
max_delta_volume,random_split,3205,0.953198127925117,0.2368721094283786
stability_worst,framework_groupkfold,3201,0.9522024367385192,0.299402409523657
stability_worst,leave_chemical_system_out,2038,0.971540726202159,0.2734399513950016
stability_worst,leave_family_out,3201,0.9422055607622618,0.2739071770168566
stability_worst,leave_working_ion_out,3201,0.9768822243049048,0.4558182621531098
stability_worst,random_split,3205,0.9435257410296412,0.2411059449287113
