source,target,edge_key,edge_type,leakage_level,relation,rule_id,reason,dependency_path,allowed_P0,allowed_P1,allowed_P2,allowed_P3,allowed_P4
feature::fw_X_range,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::average_voltage,True,True,True,True,True
feature::fw_X_range,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::capacity_grav,True,True,True,True,True
feature::fw_X_range,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::capacity_vol,True,True,True,True,True
feature::fw_X_range,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::energy_grav,True,True,True,True,True
feature::fw_X_range,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::energy_vol,True,True,True,True,True
feature::fw_X_range,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::max_delta_volume,True,True,True,True,True
feature::fw_X_range,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::stability_charge,True,True,True,True,True
feature::fw_X_range,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::stability_discharge,True,True,True,True,True
feature::fw_X_range,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_range -> target::stability_worst,True,True,True,True,True
feature::fw_X_std,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::average_voltage,True,True,True,True,True
feature::fw_X_std,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::capacity_grav,True,True,True,True,True
feature::fw_X_std,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::capacity_vol,True,True,True,True,True
feature::fw_X_std,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::energy_grav,True,True,True,True,True
feature::fw_X_std,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::energy_vol,True,True,True,True,True
feature::fw_X_std,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::max_delta_volume,True,True,True,True,True
feature::fw_X_std,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::stability_charge,True,True,True,True,True
feature::fw_X_std,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::stability_discharge,True,True,True,True,True
feature::fw_X_std,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_X_std -> target::stability_worst,True,True,True,True,True
feature::fw_Z_max,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::average_voltage,True,True,True,True,True
feature::fw_Z_max,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::capacity_grav,True,True,True,True,True
feature::fw_Z_max,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::capacity_vol,True,True,True,True,True
feature::fw_Z_max,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::energy_grav,True,True,True,True,True
feature::fw_Z_max,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::energy_vol,True,True,True,True,True
feature::fw_Z_max,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::max_delta_volume,True,True,True,True,True
feature::fw_Z_max,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::stability_charge,True,True,True,True,True
feature::fw_Z_max,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::stability_discharge,True,True,True,True,True
feature::fw_Z_max,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_max -> target::stability_worst,True,True,True,True,True
feature::fw_Z_mean,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::average_voltage,True,True,True,True,True
feature::fw_Z_mean,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::capacity_grav,True,True,True,True,True
feature::fw_Z_mean,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::capacity_vol,True,True,True,True,True
feature::fw_Z_mean,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::energy_grav,True,True,True,True,True
feature::fw_Z_mean,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::energy_vol,True,True,True,True,True
feature::fw_Z_mean,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::max_delta_volume,True,True,True,True,True
feature::fw_Z_mean,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::stability_charge,True,True,True,True,True
feature::fw_Z_mean,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::stability_discharge,True,True,True,True,True
feature::fw_Z_mean,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_mean -> target::stability_worst,True,True,True,True,True
feature::fw_Z_min,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::average_voltage,True,True,True,True,True
feature::fw_Z_min,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::capacity_grav,True,True,True,True,True
feature::fw_Z_min,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::capacity_vol,True,True,True,True,True
feature::fw_Z_min,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::energy_grav,True,True,True,True,True
feature::fw_Z_min,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::energy_vol,True,True,True,True,True
feature::fw_Z_min,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::max_delta_volume,True,True,True,True,True
feature::fw_Z_min,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::stability_charge,True,True,True,True,True
feature::fw_Z_min,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::stability_discharge,True,True,True,True,True
feature::fw_Z_min,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_min -> target::stability_worst,True,True,True,True,True
feature::fw_Z_range,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::average_voltage,True,True,True,True,True
feature::fw_Z_range,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::capacity_grav,True,True,True,True,True
feature::fw_Z_range,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::capacity_vol,True,True,True,True,True
feature::fw_Z_range,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::energy_grav,True,True,True,True,True
feature::fw_Z_range,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::energy_vol,True,True,True,True,True
feature::fw_Z_range,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::max_delta_volume,True,True,True,True,True
feature::fw_Z_range,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::stability_charge,True,True,True,True,True
feature::fw_Z_range,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::stability_discharge,True,True,True,True,True
feature::fw_Z_range,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_range -> target::stability_worst,True,True,True,True,True
feature::fw_Z_std,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::average_voltage,True,True,True,True,True
feature::fw_Z_std,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::capacity_grav,True,True,True,True,True
feature::fw_Z_std,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::capacity_vol,True,True,True,True,True
feature::fw_Z_std,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::energy_grav,True,True,True,True,True
feature::fw_Z_std,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::energy_vol,True,True,True,True,True
feature::fw_Z_std,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::max_delta_volume,True,True,True,True,True
feature::fw_Z_std,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::stability_charge,True,True,True,True,True
feature::fw_Z_std,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::stability_discharge,True,True,True,True,True
feature::fw_Z_std,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_Z_std -> target::stability_worst,True,True,True,True,True
feature::fw_atomic_mass_max,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::average_voltage,True,True,True,True,True
feature::fw_atomic_mass_max,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::capacity_grav,True,True,True,True,True
feature::fw_atomic_mass_max,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::capacity_vol,True,True,True,True,True
feature::fw_atomic_mass_max,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::energy_grav,True,True,True,True,True
feature::fw_atomic_mass_max,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::energy_vol,True,True,True,True,True
feature::fw_atomic_mass_max,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::max_delta_volume,True,True,True,True,True
feature::fw_atomic_mass_max,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::stability_charge,True,True,True,True,True
feature::fw_atomic_mass_max,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::stability_discharge,True,True,True,True,True
feature::fw_atomic_mass_max,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_max -> target::stability_worst,True,True,True,True,True
feature::fw_atomic_mass_mean,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::average_voltage,True,True,True,True,True
feature::fw_atomic_mass_mean,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::capacity_grav,True,True,True,True,True
feature::fw_atomic_mass_mean,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::capacity_vol,True,True,True,True,True
feature::fw_atomic_mass_mean,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::energy_grav,True,True,True,True,True
feature::fw_atomic_mass_mean,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::energy_vol,True,True,True,True,True
feature::fw_atomic_mass_mean,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::max_delta_volume,True,True,True,True,True
feature::fw_atomic_mass_mean,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::stability_charge,True,True,True,True,True
feature::fw_atomic_mass_mean,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::stability_discharge,True,True,True,True,True
feature::fw_atomic_mass_mean,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_mean -> target::stability_worst,True,True,True,True,True
feature::fw_atomic_mass_min,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::average_voltage,True,True,True,True,True
feature::fw_atomic_mass_min,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::capacity_grav,True,True,True,True,True
feature::fw_atomic_mass_min,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::capacity_vol,True,True,True,True,True
feature::fw_atomic_mass_min,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::energy_grav,True,True,True,True,True
feature::fw_atomic_mass_min,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::energy_vol,True,True,True,True,True
feature::fw_atomic_mass_min,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::max_delta_volume,True,True,True,True,True
feature::fw_atomic_mass_min,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::stability_charge,True,True,True,True,True
feature::fw_atomic_mass_min,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::stability_discharge,True,True,True,True,True
feature::fw_atomic_mass_min,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_min -> target::stability_worst,True,True,True,True,True
feature::fw_atomic_mass_range,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::average_voltage,True,True,True,True,True
feature::fw_atomic_mass_range,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::capacity_grav,True,True,True,True,True
feature::fw_atomic_mass_range,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::capacity_vol,True,True,True,True,True
feature::fw_atomic_mass_range,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::energy_grav,True,True,True,True,True
feature::fw_atomic_mass_range,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::energy_vol,True,True,True,True,True
feature::fw_atomic_mass_range,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::max_delta_volume,True,True,True,True,True
feature::fw_atomic_mass_range,target::stability_charge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::stability_charge,True,True,True,True,True
feature::fw_atomic_mass_range,target::stability_discharge,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::stability_discharge,True,True,True,True,True
feature::fw_atomic_mass_range,target::stability_worst,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_range -> target::stability_worst,True,True,True,True,True
feature::fw_atomic_mass_std,target::average_voltage,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_std -> target::average_voltage,True,True,True,True,True
feature::fw_atomic_mass_std,target::capacity_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_std -> target::capacity_grav,True,True,True,True,True
feature::fw_atomic_mass_std,target::capacity_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_std -> target::capacity_vol,True,True,True,True,True
feature::fw_atomic_mass_std,target::energy_grav,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_std -> target::energy_grav,True,True,True,True,True
feature::fw_atomic_mass_std,target::energy_vol,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_std -> target::energy_vol,True,True,True,True,True
feature::fw_atomic_mass_std,target::max_delta_volume,0,compiled_leakage_dependency,L0,,RULE_SAFE_DEFAULT,No direct target dependency is identified for this target.,feature::fw_atomic_mass_std -> target::max_delta_volume,True,True,True,True,True
