split_name,reporting_name,target,from_stage,to_stage,n_paired_folds,mean_delta_mae_positive_is_improvement,median_delta_mae,fraction_folds_mae_improves,mean_delta_rmse_positive_is_improvement,median_delta_rmse,fraction_folds_rmse_improves,fraction_folds_both_metrics_improve,macro_both_metrics_improve
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P1,P2,75,0.03433211999870058,0.02981819887285908,0.7333333333333333,0.040646839249643685,0.03562705520526954,0.7333333333333333,0.6666666666666666,True
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P1,P3,75,0.14870839774330874,0.11558778632342528,0.88,0.17738256555684515,0.15945871272135015,0.9066666666666666,0.8666666666666667,True
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P2,P3,75,0.11437627774460815,0.0846192477764514,0.8133333333333334,0.13673572630720146,0.11523790959584779,0.8,0.7866666666666666,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P1,P2,75,28.36925757969909,27.42008003358268,0.9733333333333334,33.27854740726826,29.945532132316462,0.9733333333333334,0.9733333333333334,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P1,P3,75,25.703613682646044,23.84957624142243,0.9733333333333334,29.989009127482277,30.075990236288686,0.9733333333333334,0.9733333333333334,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P2,P3,75,-2.66564389705304,-2.780006549836852,0.22666666666666666,-3.289538279785997,-2.5276900666796323,0.29333333333333333,0.21333333333333335,False
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P1,P2,75,107.26333850466266,96.87303779834336,0.9866666666666667,126.0032721821673,112.72923854545408,0.9866666666666667,0.9866666666666667,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P1,P3,75,98.01883580950062,84.59393914654459,0.9866666666666667,115.59814651907004,107.16115032044118,0.9733333333333334,0.9733333333333334,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P2,P3,75,-9.244502695162042,-11.152577049370166,0.24,-10.405125663097246,-10.253164673524111,0.32,0.22666666666666666,False
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P1,P2,75,66.00655126197955,67.18823017867373,0.92,82.74570215979256,84.65088932011678,0.9333333333333333,0.92,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P1,P3,75,68.27380526642116,64.8334990186672,0.9066666666666666,84.09214554216668,88.59637689356839,0.92,0.9066666666666666,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P2,P3,75,2.267254004441618,2.078105749591444,0.5466666666666666,1.34644338237411,0.6195665739438567,0.52,0.48,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_vol,P1,P2,75,249.2657996864737,242.10758446744364,0.9333333333333333,305.58855785331247,283.23134664705765,0.9333333333333333,0.9333333333333333,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_vol,P1,P3,75,258.0671954368514,250.83142054201574,0.9333333333333333,316.5124178276163,323.67996613909213,0.9066666666666666,0.9066666666666666,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_vol,P2,P3,75,8.801395750377642,4.124704290074305,0.5066666666666667,10.923859974303856,5.2603453647997185,0.52,0.4533333333333333,True
leave_chemical_system_out,host-chemical-system-held-out validation,max_delta_volume,P1,P2,75,0.0018795838238226577,0.0017372040133529013,0.6666666666666666,0.0025657095226112197,0.0024155180425525016,0.7333333333333333,0.6266666666666667,True
leave_chemical_system_out,host-chemical-system-held-out validation,max_delta_volume,P1,P3,75,0.0029012611636305176,0.0024373979471939006,0.72,0.004254009894649524,0.004535537391010397,0.7066666666666667,0.6533333333333333,True
leave_chemical_system_out,host-chemical-system-held-out validation,max_delta_volume,P2,P3,75,0.0010216773398078604,0.0007859413833338005,0.6266666666666667,0.0016883003720383034,0.0008193049276983,0.6,0.5333333333333333,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_charge,P1,P2,75,0.002489071336356972,0.0001838432226170996,0.5066666666666667,0.0037279027333847322,0.0016997289876383992,0.56,0.49333333333333335,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_charge,P1,P3,75,0.0075725723992126955,0.0037171451169291,0.6533333333333333,0.010736370948786256,0.004780885250366199,0.64,0.5733333333333334,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_charge,P2,P3,75,0.005083501062855723,0.0028346342865487976,0.7066666666666667,0.007008468215401523,0.0035152803190376947,0.68,0.64,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_discharge,P1,P2,75,0.0013436041962993507,0.0012214784852607012,0.6,0.0015391574654549456,0.0016173633119219016,0.6533333333333333,0.6,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_discharge,P1,P3,75,0.001530450986977776,0.0025647963526387978,0.6533333333333333,0.002431067547501419,0.0046468733525291996,0.64,0.6,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_discharge,P2,P3,75,0.000186846790678425,0.001511875318942698,0.5733333333333334,0.0008919100820464739,0.0023401286535304003,0.6,0.5466666666666666,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_worst,P1,P2,75,0.00286383213444433,0.0007502770444864984,0.5733333333333334,0.004011884172019333,0.0007765726576057994,0.6,0.5466666666666666,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_worst,P1,P3,75,0.004528107381601282,0.0027972263808735028,0.6666666666666666,0.006689466499107731,0.003095341234233405,0.64,0.6133333333333333,True
leave_chemical_system_out,host-chemical-system-held-out validation,stability_worst,P2,P3,75,0.0016642752471569529,0.0015062200209117992,0.6133333333333333,0.0026775823270883963,0.0018430756248265026,0.64,0.5733333333333334,True
leave_family_out,coarse-chemistry-family-held-out validation,average_voltage,P1,P2,10,-0.011690789209773417,-0.0029184601653602926,0.3,-0.005980351914946697,-0.004636703396225683,0.5,0.3,False
leave_family_out,coarse-chemistry-family-held-out validation,average_voltage,P1,P3,10,0.15583007504013738,0.15451675778353058,0.8,0.18543531826405132,0.18946186200290027,0.9,0.8,True
leave_family_out,coarse-chemistry-family-held-out validation,average_voltage,P2,P3,10,0.16752086424991078,0.15008724949492075,0.9,0.19141567017899802,0.19005500725342417,0.9,0.9,True
leave_family_out,coarse-chemistry-family-held-out validation,capacity_grav,P1,P2,10,15.660970019460308,17.17338187838626,0.9,19.77386099325834,21.852923110396475,0.9,0.9,True
leave_family_out,coarse-chemistry-family-held-out validation,capacity_grav,P1,P3,10,18.37579894183686,17.7629774984697,1.0,22.914377477110257,27.768055082508,0.9,0.9,True
leave_family_out,coarse-chemistry-family-held-out validation,capacity_grav,P2,P3,10,2.7148289223765536,0.018446596023810713,0.5,3.14051648385192,0.32325149502391604,0.6,0.3,True
leave_family_out,coarse-chemistry-family-held-out validation,capacity_vol,P1,P2,10,77.72537618010911,68.89511215590264,1.0,95.29737165268482,85.8778289702814,1.0,1.0,True
leave_family_out,coarse-chemistry-family-held-out validation,capacity_vol,P1,P3,10,73.21713645828295,70.26981744584289,1.0,95.36682771095337,94.5439043007965,1.0,1.0,True
leave_family_out,coarse-chemistry-family-held-out validation,capacity_vol,P2,P3,10,-4.508239721826151,-4.922360717454211,0.4,0.06945605826856394,-0.7025368856699359,0.5,0.4,False
leave_family_out,coarse-chemistry-family-held-out validation,energy_grav,P1,P2,10,41.506650862676665,50.38228670695938,0.9,58.11415530027771,71.6141406788667,0.9,0.9,True
leave_family_out,coarse-chemistry-family-held-out validation,energy_grav,P1,P3,10,48.425405835241044,55.770266083530366,0.9,69.22635429914394,82.81904872432392,0.9,0.9,True
leave_family_out,coarse-chemistry-family-held-out validation,energy_grav,P2,P3,10,6.918754972564375,6.232859789558276,0.9,11.112198998866234,9.463671326297444,0.9,0.8,True
leave_family_out,coarse-chemistry-family-held-out validation,energy_vol,P1,P2,10,142.73968081992925,168.23620718365274,0.8,187.87848277244746,235.9764196339458,0.8,0.8,True
leave_family_out,coarse-chemistry-family-held-out validation,energy_vol,P1,P3,10,160.33159665952766,202.46903225621156,0.8,213.891139901522,259.24996209925087,0.8,0.8,True
leave_family_out,coarse-chemistry-family-held-out validation,energy_vol,P2,P3,10,17.591915839598418,17.197825062755527,0.8,26.01265712907458,33.54158588212971,0.9,0.8,True
leave_family_out,coarse-chemistry-family-held-out validation,max_delta_volume,P1,P2,10,0.00590678672527064,0.004768373278267905,0.7,0.009366289271199557,0.008856932366418303,1.0,0.7,True
leave_family_out,coarse-chemistry-family-held-out validation,max_delta_volume,P1,P3,10,0.02091272167931829,0.007534952238791751,0.9,0.02964540276199513,0.013296603238535949,1.0,0.9,True
