split_name,reporting_name,target,stage,n_folds,n_test_records_sum,macro_et_mae,macro_et_rmse,median_et_mae,median_et_rmse,macro_dummy_mae,macro_dummy_rmse,fraction_folds_et_better_dummy_mae,fraction_folds_et_better_dummy_rmse,macro_mae_skill_vs_dummy,macro_rmse_skill_vs_dummy,passes_10pct_macro_point_both
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P1,75,2038,0.5454144681290564,0.6685541018779806,0.5201719225152756,0.663329336666455,0.7628346977185363,0.893578676738989,0.7866666666666666,0.7733333333333333,0.28501617747558416,0.2518240203338439,True
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P2,75,2038,0.5110823481303558,0.627907262628337,0.4877474132689296,0.6016631151837243,0.7628346977185363,0.893578676738989,0.8533333333333334,0.88,0.3300221533460841,0.29731172086624635,True
leave_chemical_system_out,host-chemical-system-held-out validation,average_voltage,P3,75,2038,0.39670607038574757,0.4911715363211356,0.3456095677881798,0.4068392268554252,0.7628346977185363,0.893578676738989,0.9466666666666667,0.9733333333333334,0.4799580150559427,0.45033207583510304,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P1,75,2038,45.769794979728566,57.13768736914426,45.73788904315581,54.505508850847455,58.35260247343302,70.84896241964705,0.8,0.7866666666666666,0.21563404133402964,0.193528240671885,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P2,75,2038,17.400537400029478,23.859139961875982,12.979735344078223,18.54810294477324,58.35260247343302,70.84896241964705,1.0,1.0,0.7018035758053524,0.6632393877477643,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_grav,P3,75,2038,20.066181297082522,27.14867824166198,15.919018779157698,21.047818799222625,58.35260247343302,70.84896241964705,1.0,1.0,0.6561219132219798,0.6168090919827867,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P1,75,2038,162.02974387934142,202.5597914598938,152.35724233715018,190.2641328979048,217.88456890142575,262.71051181395177,0.8,0.8,0.2563505314015785,0.22896198533789902,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P2,75,2038,54.7664053746788,76.55651927772648,38.07157864412636,56.88625097232185,217.88456890142575,262.71051181395177,1.0,1.0,0.7486448643388971,0.7085898133686297,True
leave_chemical_system_out,host-chemical-system-held-out validation,capacity_vol,P3,75,2038,64.01090806984084,86.96164494082375,53.98581761903368,71.92420979158621,217.88456890142575,262.71051181395177,1.0,1.0,0.7062164227940331,0.6689830020870696,True
leave_chemical_system_out,host-chemical-system-held-out validation,energy_grav,P1,75,2038,161.12925816729302,202.72934497032134,149.01246303766797,185.94501082574945,218.25693047414427,261.36241551155547,0.84,0.84,0.26174505516386737,0.22433627431271508,True
