target,stage,split_name,fold_id,heldout_group,n_train,n_test,n_features,et_mae,et_rmse,et_r2,et_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,source,mae_skill_vs_dummy,rmse_skill_vs_dummy,reporting_name
average_voltage,P1,leave_chemical_system_out,0,F-O-V,3048,153,73,0.576699982387365,0.7388891496909046,0.0561305394787061,0.5691719593012502,0.6104070708235255,0.7703461029416697,-0.0259474961511498,,historical_notebook04_reused_after_compatibility_gate,0.05522067165880784,0.040834831422710605,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,1,Mn-O-P,3083,118,73,0.4447076017770994,0.5437679708195119,0.1623742068973015,0.5661449080457452,0.8669661770018092,1.031049752842612,-2.0114942686406656,,historical_notebook04_reused_after_compatibility_gate,0.4870531128272939,0.472607437885185,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,2,Fe-O-P,3099,102,73,0.5400430532917557,0.6490870784726905,0.4629526145840621,0.7101309203173781,0.9640705419921785,1.1873867917100374,-0.7971780537025119,,historical_notebook04_reused_after_compatibility_gate,0.4398303549698782,0.4533482408559594,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,3,Cr-O-P,3117,84,73,0.6796106054169299,0.7822903560158136,0.4231289806288786,0.7091479833903339,1.1416287454964904,1.314084738589194,-0.6277567763589491,,historical_notebook04_reused_after_compatibility_gate,0.40470086435904384,0.4046880440482984,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,4,O-P-V,3119,82,73,0.5999014162217498,0.7442165300463973,0.1089718171661597,0.5599445511535057,0.6785418916393053,0.8218359098867561,-0.0865833454402937,,historical_notebook04_reused_after_compatibility_gate,0.11589627167685435,0.09444632305134282,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,5,Co-O-P,3125,76,73,0.4533455246920908,0.5719353678752854,-0.4837592654581117,0.2971055713813026,1.2603747512462746,1.3449925088208694,-7.205579688976281,,historical_notebook04_reused_after_compatibility_gate,0.640308944427983,0.5747668748157633,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,6,Ni-O-P,3127,74,73,0.4897675227356884,0.5944619540453029,-0.492021240516993,0.5811322667881051,1.6274565382280537,1.6871362378977486,-11.017861199609191,,historical_notebook04_reused_after_compatibility_gate,0.6990595378547321,0.64765029599149,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,7,F-V,3135,66,73,0.7358162982620445,0.8569402553455311,0.1271572699835257,0.1718241077053865,0.8604550250708047,0.971338381825404,-0.1214399149754266,,historical_notebook04_reused_after_compatibility_gate,0.14485211100778217,0.11777371163372363,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,8,Mo-O-P,3140,61,73,0.71959629550076,0.8409784467090591,-1.094771037940296,0.5462834375192092,0.4792326673946444,0.6614732153905793,-0.2959592813466756,,historical_notebook04_reused_after_compatibility_gate,-0.5015593561533609,-0.2713718819476121,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,9,Mn-O,3151,50,73,0.7473236720186022,0.9449805658637404,-0.1162229865135922,0.5149329471286045,0.7396929096489793,0.9570692686209096,-0.1449643123438717,,historical_notebook04_reused_after_compatibility_gate,-0.010316122096187375,0.012630959067976844,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,10,O-V,3152,49,73,0.3672938803197603,0.4768623574361688,0.1999376036384975,0.590731267529904,0.6151155982659238,0.7840125504552645,-1.162637879681932,,historical_notebook04_reused_after_compatibility_gate,0.4028864145939385,0.3917669338848443,host-chemical-system-held-out validation
average_voltage,P1,leave_chemical_system_out,11,F-Mn,3158,43,73,0.8410552412577228,0.976529164897124,-3.221779107807357,-0.0815023412845127,0.9569922423106162,1.0524417855794954,-3.9036699898102976,,historical_notebook04_reused_after_compatibility_gate,0.12114727364243683,0.07212999495318628,host-chemical-system-held-out validation
