material_id,linked_summary_has_structure,structure_nsites_if_parseable,structure_formula_if_available
mp-aaaabcjv,True,5,
mp-aaaabckg,True,22,
mp-aaaabcks,True,28,
mp-aaaabclm,True,28,
mp-aaaabcly,True,40,
mp-aaaabcmb,True,10,
mp-aaaabcmv,True,26,
mp-aaaabcnn,True,5,
mp-aaaabcno,True,24,
mp-aaaabcnv,True,40,
mp-aaaabcnz,True,32,
mp-aaaabcoc,True,22,
mp-aaaabcoe,True,22,
mp-aaaabcoq,True,10,
mp-aaaabcpi,True,12,
mp-aaaabcpk,True,5,
mp-aaaabcpr,True,24,
mp-aaaabcpu,True,4,
mp-aaaabcpw,True,16,
mp-aaaabcpy,True,32,
mp-aaaabcqf,True,20,
mp-aaaabcqp,True,4,
mp-aaaabcqr,True,34,
mp-aaaabcqx,True,20,
mp-aaaabcrh,True,20,
mp-aaaabcrn,True,35,
mp-aaaabcru,True,4,
mp-aaaabcrv,True,4,
mp-aaaabcry,True,14,
mp-aaaabcrz,True,12,
mp-aaaabcsm,True,32,
mp-aaaabcsx,True,4,
mp-aaaabctf,True,30,
mp-aaaabcti,True,40,
mp-aaaabctj,True,13,
mp-aaaabctl,True,13,
mp-aaaabctv,True,8,
mp-aaaabctx,True,14,
mp-aaaabcuj,True,19,
mp-aaaabcuw,True,41,
mp-aaaabcvh,True,52,
mp-aaaabcvi,True,52,
mp-aaaabcvs,True,56,
mp-aaaabcvy,True,64,
mp-aaaabcwl,True,80,
mp-aaaabcwr,True,64,
mp-aaaabdfs,True,36,
mp-aaaabdfv,True,10,
mp-aaaabdjg,True,17,
mp-aaaabdjv,True,8,
mp-aaaabdpr,True,20,
mp-aaaabdps,True,2,
mp-aaaabdqb,True,6,
mp-aaaabdra,True,28,
mp-aaaabdrg,True,28,
mp-aaaabdul,True,17,
mp-aaaabedd,True,24,
mp-aaaabeia,True,20,
mp-aaaabeqf,True,22,
mp-aaaabert,True,16,
mp-aaaabfcn,True,14,
mp-aaaabfdc,True,8,
mp-aaaabfeo,True,14,
mp-aaaabfjx,True,20,
mp-aaaabfmq,True,6,
mp-aaaabfqx,True,6,
mp-aaaabftv,True,6,
mp-aaaabfuu,True,14,
mp-aaaabfyk,True,58,
mp-aaaabgab,True,60,
mp-aaaabgas,True,56,
mp-aaaabgbs,True,46,
mp-aaaabgdz,True,56,
mp-aaaabgfq,True,76,
mp-aaaabgge,True,80,
mp-aaaabgip,True,8,
mp-aaaabgjb,True,40,
mp-aaaabglh,True,68,
mp-aaaabgmn,True,80,
