key_col,ion_a,ion_b,n_a,n_b,n_intersection,n_union,jaccard_overlap,intersection_values_sample
framework_formula_reduced,Li,Na,1572,321,202,1691,0.11945594322885866,Ag|AgAsF6|Ba2(CuO2)3|Bi(PO3)4|C|Ca|Ca2Rh|Ca2Ta3O10|Ca9Co(PO4)7|Ca9Mn(PO4)7|Cd|Ce|ClO|Co2C4SO16|Co2P3O10|Co3P4O15|CoCSO7|CoH8(SO6)2|CoO2|CoO3|CoO4|CoP2O7|CoPCO7|CoPO4|Cr(GeO3)2|Cr(SiO3)2|Cr2(PO4)3|Cr2(PS4)3|Cr2C4SO16|Cr2P2O9|Cr3O8|Cr4P9O32|CrAsCO7|CrCSO7|CrF6|CrO2|CrO3|CrP2O7|CrPCO7|CrS2|Cs2MoBr6|Cs2MoCl6|Cs2SbBr6|Cs2SbCl6|Cs2TaCl6|Cu(PO3)3|Cu(PO3)4|Cu2C4SO16|Cu5(Si2O7)2|Cu9(PO4)8
framework_formula_reduced,Li,K,1572,147,84,1635,0.05137614678899083,AgAsF6|Bi(PO3)4|C|Ca|Ca9Co(PO4)7|Ca9Mn(PO4)7|Cd|ClO|CoF3|CoH8(CO5)2|CoO2|CoPCO7|Cr|Cr2(PS4)3|Cr3O8|CrF6|CrO2|CrO3|CrP2S7|CrPCO7|CrPO4F|CrS2|Cs2MoBr6|Cs2MoCl6|Cs2PdF6|Cs2SbBr6|Cs2SbCl6|Cs2TaCl6|Cu4(PO4)3|CuPCO7|FeF3|FeH12(SO7)2|FePCO7|FePO4|FePO4F|Mn(PO3)3|Mn2P2O7F2|Mn4(PO4)3|Mn6P7O24|MnF3|MnF6|MnH6(S2O9)2|MnH8(SO6)2|MnO2|MnP2O7|MnPCO7|Mo15Se19|Mo2P3O13|Mo3S4|NaCrF6
framework_formula_reduced,Na,K,321,147,86,382,0.225130890052356,AgAsF6|AgO|Bi(PO3)4|BiPCO7|C|Ca|Ca9Co(PO4)7|Ca9Mn(PO4)7|Cd|CePCO7|ClO|CoO2|CoPCO7|Cr2(PS4)3|Cr3O8|CrF6|CrO2|CrO3|CrPCO7|CrS2|Cs|Cs2MnF6|Cs2MoBr6|Cs2MoCl6|Cs2NiF6|Cs2SbBr6|Cs2SbCl6|Cs2TaCl6|CuPCO7|FePCO7|FePO4|FeSb3|LiMnF6|LiNbF6|LiSbF6|LiVF6|MgMn2O4|MgMn4O8|Mn(PO3)3|Mn6P7O24|MnF3|MnO2|MnP2O7|MnPCO7|Mo15Se19|Mo2P3O13|Nb3S4|Nb3Se4|NbO3|NbS2
