key_col,ion_a,ion_b,n_a,n_b,n_intersection,n_union,jaccard_overlap,intersection_values_sample
host_chemsys_no_working_ion,Li,Na,670,205,130,745,0.174496644295302,Ag|Ag-As-F|As-B-Fe-O|As-B-Mn-O|As-C-Cr-O|As-C-Cu-O|As-C-Fe-O|As-C-Mn-O|As-C-O-V|As-Mn-O|B-Fe-O-P|B-Mn-O-P|B-O-P-V|Ba-Cu-O|Bi-F|Bi-In|Bi-O|Bi-O-P|Br-Cs-Mo|Br-Cs-Sb|Br-Mo-Rb|Br-Rb-Sb|C|C-Co-O-P|C-Co-O-S|C-Cr-O-P|C-Cr-O-S|C-Cu-O-P|C-Cu-O-S|C-Fe-O-P|C-Fe-O-S|C-Fe-O-Si|C-Mn-O-P|C-Mn-O-S|C-Mn-O-Si|C-Ni-O-P|C-Ni-O-S|C-O-P-Ti|C-O-P-V|C-O-S-V|C-O-Si-V|Ca|Ca-Co-O-P|Ca-Mn-O-P|Ca-O-Ta|Ca-Rh|Cd|Ce|Cl-Cs-Mo|Cl-Cs-Sb
host_chemsys_no_working_ion,Li,K,670,123,78,715,0.10909090909090909,Ag-As-F|Bi-O-P|Br-Cs-Mo|Br-Cs-Sb|C|C-Co-H-O|C-Co-O-P|C-Cr-O-P|C-Cu-O-P|C-Fe-O-P|C-H-Ni-O|C-Mn-O-P|C-Ni-O-P|C-O-P-Ti|C-O-P-V|Ca|Ca-Co-O-P|Ca-Mn-O-P|Cd|Cl-Cs-Mo|Cl-Cs-Sb|Cl-Cs-Ta|Cl-O|Cl-W|Co-F|Co-F-Rb|Co-O|Cr|Cr-F|Cr-F-Na|Cr-F-O-P|Cr-O|Cr-P-S|Cr-S|Cs-F-Pd|Cu-O-P|F-Fe|F-Fe-O-P|F-Mn|F-Mn-O-P|F-Mn-Rb|F-Mo-Na|F-Nb-O|F-Ni|F-Ni-Rb|F-O-S-Sb|F-Rb-V|F-V|Fe-H-O-S|Fe-Na-O
host_chemsys_no_working_ion,Na,K,205,123,83,245,0.33877551020408164,Ag-As-F|Ag-F-Ti|Ag-O|Bi-C-O-P|Bi-O-P|Br-Cs-Mo|Br-Cs-Sb|C|C-Ce-O-P|C-Co-O-P|C-Cr-O-P|C-Cu-O-P|C-Fe-O-P|C-Mn-O-P|C-Ni-O-P|C-O-P-Sn|C-O-P-Ti|C-O-P-Tl|C-O-P-V|Ca|Ca-Co-O-P|Ca-Mn-O-P|Cd|Cl-Cs-Mo|Cl-Cs-Sb|Cl-Cs-Ta|Cl-O|Co-F-Rb|Co-O|Cr-F|Cr-F-Rb|Cr-O|Cr-P-S|Cr-S|Cs|Cs-F-Mn|Cs-F-Ni|Cu-F-Rb|Cu-O-P|Cu-Se-V|F-Li-Mn|F-Li-Nb|F-Li-Sb|F-Li-V|F-Mn|F-Mn-O-P|F-Mn-Rb|F-Ni-Rb|F-Rb-V|F-V
