record_index,source_queried_working_ion,source_endpoint,mp_database_version,record_source_id,working_ion,battery_formula,formula_charge,formula_discharge,framework_formula,chemsys,elements,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,fracA_charge,fracA_discharge,num_steps,max_voltage_step,id_charge,id_discharge,material_ids,battery_type,thermo_type,last_updated,stability_worst
Li_000011,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5ScAgO2,ScAgO2,LiSc2(AgO2)2,ScAgO2,Ag-O-Sc,Ag|O|Sc,1.316682863333338,71.16946063244075,356.0527933195467,93.7076092074114,468.80861140581413,0.09711014752333501,0.0,0.172757932592595,0.0,0.11111111111111101,1.0,0.0,mp-aaaaaqhy,mp-aaacshgp,mp-aaaaaqhy|mp-aaacshgp|mp-aaacsjmm|mp-aaacsidu,insertion,,2025-09-19T09:43:21.250000Z,0.172757932592595
Li_000012,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5Si(AgO)4,Si(AgO)4,LiSi2(AgO)8,Si(AgO)4,Ag-O-Si,Ag|O|Si,1.5313378433333371,25.42707646653364,154.50894104578086,38.93744443853348,236.6053885567638,0.041347400653969,0.01771311444444,0.109143134122807,0.0,0.052631578947368,1.0,0.0,mp-aaabfqsy,mp-aaacshtt,mp-aaabfqsy|mp-aaacshtt,insertion,,2025-09-19T09:44:16.663000Z,0.109143134122807
Li_000013,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5Al2CdO4,Al2CdO4,LiAl4Cd2O8,Al2CdO4,Al-Cd-O,Al|Cd|O,-1.511374616666666,57.306773025896824,279.1476811502012,-86.6120021144185,-421.8967195917743,0.046773201059426006,0.024204920000001,0.287379240499998,0.0,0.066666666666666,1.0,0.0,mp-aaaaccny,mp-aaacsidy,mp-aaaaccny|mp-aaacsidy|mp-aaacshgg|mp-aaacshdo,insertion,,2025-09-19T09:44:13.484000Z,0.287379240499998
Li_000014,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-4Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Li4Al3Cr3(SbO8)2,Al3Cr3(SbO8)2,Al-Cr-O-Sb,Al|Cr|O|Sb,4.556347028333332,140.28382398986653,624.8366037039292,639.1817845594645,2846.9724024802895,0.054450908108990004,0.13042983057292,0.0020272480357120004,0.0,0.14285714285714202,1.0,0.0,mp-aaabrbik,mp-aaabrvzl,mp-aaabrbik|mp-aaabrvzl,insertion,,2025-09-19T09:44:30.659000Z,0.13042983057292
Li_000015,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-1Al2Cu,Al2Cu,LiAl2Cu,Al2Cu,Al-Cu,Al|Cu,0.21214405333333303,215.35929706409124,818.1548397372413,45.68719420219386,173.56668395614255,0.133198318060577,0.0,0.008947646499999,0.0,0.25,1.0,0.0,mp-aaacechq,mp-aaacplkt,mp-aaacechq|mp-aaacplkt,insertion,,2025-09-19T09:44:52.692000Z,0.008947646499999
Li_000016,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-3Al2FeO6,LiAl2FeO6,Li3Al2FeO6,Al2FeO6,Al-Fe-O,Al|Fe|O,4.128403602083336,236.52455100765593,850.7126382408852,976.4688083611504,3512.085120051488,0.004728772679465001,0.132898493949996,0.020887583749999,0.1,0.25,2.0,0.143166112499997,mp-aaabqyzd,mp-aaabrwdj,mp-aaabqyzd|mp-aaabrsjd|mp-aaabrwdj,insertion,,2025-09-19T09:44:27.902000Z,0.132898493949996
Li_000017,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-4Na2Ti3Al(PO4)6,Na2LiTi3Al(PO4)6,Na2Li4Ti3Al(PO4)6,Na2Ti3Al(PO4)6,Al-Na-O-P-Ti,Al|Na|O|P|Ti,1.009212783333344,98.75824331697416,278.091339536295,99.6680816150351,280.65333479432223,0.034067947637202,0.011767695226124001,0.08876918515000001,0.027027027027027,0.1,1.0,0.0,mp-aaabrtru,mp-aaabrtrp,mp-aaabrtru|mp-aaabrtrt|mp-aaabrtry|mp-aaabrtrp,insertion,,2025-09-19T09:44:45.219000Z,0.08876918515000001
Li_000018,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5Tb2AlFeO6,Tb2AlFeO6,LiTb4Al2(FeO6)2,Tb2AlFeO6,Al-Fe-O-Tb,Al|Fe|O|Tb,0.42682322333334805,26.793757116084983,191.91425325316547,11.43619777749823,81.9134601771286,0.08088378623030901,0.017909213562502,0.10333964580356801,0.0,0.047619047619047006,1.0,0.0,mp-aaacrhji,mp-aaacshhz,mp-aaacrhji|mp-aaacshhz|mp-aaacshty,insertion,,2025-09-19T09:43:23.199000Z,0.10333964580356801
Li_000019,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li1-2AlVO4,LiAlVO4,Li2AlVO4,AlVO4,Al-O-V,Al|O|V,2.8414990516666783,172.0219977414676,622.2635644757885,488.80034344818756,1768.1613283446795,0.007314828338257,0.08904280630951601,0.024599422395833,0.14285714285714202,0.25,1.0,0.0,mp-aaabruky,mp-aaabqzoe,mp-aaabruky|mp-aaabqzoe,insertion,,2025-09-19T09:44:28.578000Z,0.08904280630951601
Li_000020,Li,materials.insertion_electrodes,2026.04.13,aaadxxiz,Li,Li0-0.5AlV2O4,AlV2O4,LiAl2V4O8,AlV2O4,Al-O-V,Al|O|V,1.585040253333337,68.25528688576361,294.42140014125164,108.18737721675035,466.66977066664526,0.015639923476078,0.20730499714285602,0.18620704208333003,0.0,0.066666666666666,1.0,0.0,mp-aaachmra,mp-aaacshaa,mp-aaachmra|mp-aaacshaa|mp-aaacsisz,insertion,,2025-09-19T09:43:20.702000Z,0.20730499714285602
