target,protocol,feature
average_voltage,P3,num_steps
average_voltage,P3,max_voltage_step
average_voltage,P3,fw_parse_ok
average_voltage,P3,fw_n_elements
average_voltage,P3,fw_n_atoms
average_voltage,P3,fw_frac_Li
average_voltage,P3,fw_frac_Na
average_voltage,P3,fw_frac_K
average_voltage,P3,fw_frac_O
average_voltage,P3,fw_frac_F
average_voltage,P3,fw_frac_P
average_voltage,P3,fw_frac_S
average_voltage,P3,fw_frac_Si
average_voltage,P3,fw_frac_C
average_voltage,P3,fw_frac_N
average_voltage,P3,fw_frac_B
average_voltage,P3,fw_frac_Cl
average_voltage,P3,fw_frac_Br
average_voltage,P3,fw_frac_I
average_voltage,P3,fw_frac_Mn
average_voltage,P3,fw_frac_Fe
average_voltage,P3,fw_frac_Co
average_voltage,P3,fw_frac_Ni
average_voltage,P3,fw_frac_Cu
average_voltage,P3,fw_frac_V
average_voltage,P3,fw_frac_Ti
average_voltage,P3,fw_frac_Cr
average_voltage,P3,fw_frac_Al
average_voltage,P3,fw_frac_Mg
average_voltage,P3,fw_frac_Ca
average_voltage,P3,fw_frac_Zn
average_voltage,P3,fw_frac_Ag
average_voltage,P3,fw_frac_As
average_voltage,P3,fw_Z_mean
average_voltage,P3,fw_Z_min
average_voltage,P3,fw_Z_max
average_voltage,P3,fw_Z_range
average_voltage,P3,fw_Z_std
average_voltage,P3,fw_atomic_mass_mean
average_voltage,P3,fw_atomic_mass_min
average_voltage,P3,fw_atomic_mass_max
average_voltage,P3,fw_atomic_mass_range
average_voltage,P3,fw_atomic_mass_std
average_voltage,P3,fw_X_mean
average_voltage,P3,fw_X_min
average_voltage,P3,fw_X_max
average_voltage,P3,fw_X_range
average_voltage,P3,fw_X_std
average_voltage,P3,fw_row_mean
average_voltage,P3,fw_row_min
average_voltage,P3,fw_row_max
average_voltage,P3,fw_row_range
average_voltage,P3,fw_row_std
average_voltage,P3,fw_group_mean
average_voltage,P3,fw_group_min
average_voltage,P3,fw_group_max
average_voltage,P3,fw_group_range
average_voltage,P3,fw_group_std
average_voltage,P3,fw_has_O
average_voltage,P3,fw_has_F
average_voltage,P3,fw_has_P
average_voltage,P3,fw_has_S
average_voltage,P3,fw_has_Si
average_voltage,P3,fw_has_C
average_voltage,P3,fw_has_N
average_voltage,P3,fw_has_Cl
average_voltage,P3,fw_has_Br
average_voltage,P3,fw_has_I
average_voltage,P3,fw_n_transition_metals
average_voltage,P3,fw_frac_transition_metals
average_voltage,P3,wi_Z
average_voltage,P3,wi_atomic_mass
average_voltage,P3,wi_X
average_voltage,P3,wi_row
average_voltage,P3,wi_group
average_voltage,P3,charge_summary_is_metal
average_voltage,P3,charge_summary_volume
average_voltage,P3,charge_summary_energy_above_hull
average_voltage,P3,charge_summary_density
average_voltage,P3,charge_summary_nsites
average_voltage,P3,charge_summary_density_atomic
average_voltage,P3,charge_summary_band_gap
average_voltage,P3,charge_summary_is_stable
average_voltage,P3,charge_summary_symmetry_number
average_voltage,P3,discharge_summary_is_metal
average_voltage,P3,discharge_summary_volume
average_voltage,P3,discharge_summary_energy_above_hull
average_voltage,P3,discharge_summary_density
average_voltage,P3,discharge_summary_nsites
average_voltage,P3,discharge_summary_density_atomic
average_voltage,P3,discharge_summary_band_gap
average_voltage,P3,discharge_summary_is_stable
average_voltage,P3,discharge_summary_symmetry_number
average_voltage,P3,charge_summary_volume_per_site
average_voltage,P3,discharge_summary_volume_per_site
average_voltage,P3,summary_delta_volume_fraction
average_voltage,P3,summary_abs_delta_volume_fraction
average_voltage,P3,summary_delta_energy_above_hull
average_voltage,P3,summary_abs_delta_energy_above_hull
average_voltage,P3,summary_delta_density
average_voltage,P3,summary_abs_delta_density
average_voltage,P3,summary_delta_density_atomic
average_voltage,P3,summary_abs_delta_density_atomic
average_voltage,P3,summary_delta_band_gap
average_voltage,P3,summary_abs_delta_band_gap
average_voltage,P3,summary_delta_volume_per_site
average_voltage,P3,summary_abs_delta_volume_per_site
average_voltage,P3,summary_worst_energy_above_hull
