shortlist_priority_rank,battery_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,final_triage_score,rank_median_mc,rank_iqr_mc,out_of_domain_flag,high_uncertainty_flag
12,Na0-2MnH4(SO5)2,MnH4(SO5)2,Na2MnH4(SO5)2,4.239597669051729,162.89062405005873,690.5907100330106,0.133276296695113,0.018710770637256,0.6300531705498968,14.0,10.0,False,False
13,Na0-1CoPO4,CoPO4,NaCoPO4,3.960957919051726,151.51125369018754,600.1297001296034,0.024417398488017,0.012940566666667,0.6189110881088994,15.0,10.0,False,False
14,Na1.5-3NiPCO7,Na3Ni2P2(CO7)2,Na3NiPCO7,4.058584699885058,142.23676513448655,577.2799587359716,0.02189481609775,0.044120722608695,0.6144205395465183,15.0,9.0,False,False
15,Na0-3Cr2(PO4)3,Cr2(PO4)3,Na3Cr2(PO4)3,4.291304676551717,175.60325231964254,753.5670578969732,0.087594040190126,0.061561507205885,0.6130931828354983,15.0,10.0,False,False
16,Na0-2MnP2O7,MnP2O7,Na2MnP2O7,4.05877872905172,195.018501417946,791.536945326702,0.123101178662976,0.072622637499999,0.6048938521296092,18.0,11.0,False,False
17,Na1-3CoAsCO7,NaCoAsCO7,Na3CoAsCO7,3.7624218903017272,164.00839402719313,617.0687718811425,0.077376141519508,0.043617186377407,0.58951450093898,18.0,10.25,False,False
18,Na2-6Fe2C4SO16,Na2Fe2C4SO16,Na6Fe2C4SO16,3.904088337801721,183.03058987831173,714.5675914048866,0.034428311613011,0.083436778400001,0.5880287704175603,19.0,12.0,False,False
19,Na1-3FeAsCO7,NaFeAsCO7,Na3FeAsCO7,3.469605169051721,165.5728782903828,574.4725143710837,0.007168509450685,0.044741147196979,0.5785546901215265,20.0,10.0,False,False
20,Na1-3CrPCO7,NaCrPCO7,Na3CrPCO7,3.031012679051716,194.2518696590096,588.7798798659595,0.073593047086824,0.056423033579551,0.5846535152435602,22.0,13.0,False,False
21,Na0-6Mn3(PO4)4,Mn3(PO4)4,Na6Mn3(PO4)4,3.469875774885057,235.5697164078063,817.3976522599902,0.14024297968184,0.094573069673917,0.5781124568057849,21.0,12.0,False,False
22,Na0-1MnO2,MnO2,NaMnO2,2.745589469051722,243.81248636564385,669.4089949888283,0.075649825346243,0.013758580833332,0.5718044971246529,22.0,12.0,False,False
23,Na0-1VPO5,VPO5,NaVPO5,3.600908689051717,144.9496306764634,521.9503845777144,0.028865546752802,0.0056868725,0.5738794617621932,22.0,13.25,False,False
24,Na0-1VF4,VF4,NaVF4,4.179153189051728,178.7660645353225,747.09076869702,0.19147314460584,0.024513009999999,0.5681789644919614,22.0,11.0,False,False
25,Na1-3MnAsCO7,NaMnAsCO7,Na3MnAsCO7,3.390345429051724,166.03802903051624,562.9262727723682,0.062758297887686,0.012315709429295,0.5622555433824739,25.0,12.0,False,False
26,Na1-2.5MnPCO7,NaMnPCO7,Na5Mn2P2(CO7)2,3.611596209885063,150.3489705497081,542.9997721974468,0.056828403091353,0.019132283636364,0.5570288204314421,28.0,15.0,False,False
27,Na0-2MnCSO7,MnCSO7,Na2MnCSO7,4.100874681551726,208.58069746847025,855.3633013088498,0.21292472878333,0.087316613750001,0.5397827794855958,29.0,16.0,False,False
28,Na1-3VSiCO7,NaVSiCO7,Na3VSiCO7,2.9326560578017262,197.067679986078,577.9317255081036,0.026909028376574,0.088130306363638,0.5409114031040865,28.0,14.0,False,False
