target,split_name,in_domain,borderline,out_of_domain,out_to_in_domain_mae_ratio
average_voltage,framework_groupkfold,0.4893061704097079,0.6721989404033638,0.757452277128126,1.5480129271492589
average_voltage,leave_chemical_system_out,0.5500790561181236,0.8157284632999707,0.5535404273892801,1.006292497837644
average_voltage,leave_family_out,0.6588871229874202,0.8775690890291433,0.7742062110263913,1.1750210074164291
average_voltage,leave_working_ion_out,0.5679852778354034,0.6764356474985013,0.6918936335469005,1.218154167980749
average_voltage,random_split,0.4507493338725815,0.7001140766088222,0.77035602917387,1.7090563896243838
capacity_grav,framework_groupkfold,43.203408250249794,34.761638377409064,72.83173752842494,1.6857868505780176
capacity_grav,leave_chemical_system_out,48.56088380516826,50.415251164344205,70.34676113294624,1.448630165282522
capacity_grav,leave_family_out,61.976022739661886,60.55134092977419,44.16404845533863,0.7125989455769902
capacity_grav,leave_working_ion_out,49.58318793379467,46.60883810875991,46.53366804058126,0.9384968974305314
capacity_grav,random_split,39.68077362993328,37.91975832756323,61.2724150199297,1.54413357943477
energy_grav,framework_groupkfold,156.79010117760114,117.4249991089235,157.55682502155588,1.0048901291484356
energy_grav,leave_chemical_system_out,175.5136500452317,170.62618602411038,239.34350265176127,1.3636745779606312
energy_grav,leave_family_out,219.86871779079044,240.0228734839811,163.50238888077612,0.7436364323384647
energy_grav,leave_working_ion_out,179.04539604408853,170.35331098351213,130.14609138553595,0.7268887905583927
energy_grav,random_split,144.49124468530954,125.41323599408126,143.5311871387717,0.9933556005512392
max_delta_volume,framework_groupkfold,0.0322046496193392,0.0542250149384845,0.1682798623368543,5.225328153727238
max_delta_volume,leave_chemical_system_out,0.0326709346259118,0.0516163905434885,0.0909926244030027,2.785124620549885
max_delta_volume,leave_family_out,0.0378736050915239,0.040065966171718,0.0450421535341951,1.1892755766277852
max_delta_volume,leave_working_ion_out,0.0544558066913006,0.0489872895775617,0.0906548317177609,1.6647413237612203
max_delta_volume,random_split,0.0327562582514621,0.0651911392864718,0.12826602596379,3.915771605508842
stability_worst,framework_groupkfold,0.0395534518437346,0.0533488846957963,0.1690569771104434,4.274139657351362
stability_worst,leave_chemical_system_out,0.039185980120752,0.0536793243700845,0.1180204713921003,3.0118034824806985
stability_worst,leave_family_out,0.0437665562357862,0.0498157822395338,0.057914533733412,1.3232600120833258
stability_worst,leave_working_ion_out,0.0434367937881902,0.0524895516484933,0.0747420437790998,1.7207081200229153
stability_worst,random_split,0.0379968689568153,0.0560734938430576,0.1532927469998637,4.034352071853236
