target,protocol,split_name,ad_flag,n_predictions,pct_within_config
energy_grav,P1,leave_chemical_system_out,in_domain,1833,89.94111874386654
energy_grav,P1,leave_chemical_system_out,out_of_domain,17,0.8341511285574092
energy_grav,P1,leave_family_out,borderline,697,21.77444548578569
energy_grav,P1,leave_family_out,in_domain,864,26.991565135895033
energy_grav,P1,leave_family_out,out_of_domain,1640,51.23398937831927
energy_grav,P1,leave_working_ion_out,borderline,645,20.149953139643863
energy_grav,P1,leave_working_ion_out,in_domain,2204,68.85348328647298
energy_grav,P1,leave_working_ion_out,out_of_domain,352,10.996563573883162
energy_grav,P1,random_split,borderline,169,5.273010920436818
energy_grav,P1,random_split,in_domain,2925,91.26365054602184
energy_grav,P1,random_split,out_of_domain,111,3.4633385335413416
energy_grav,P2,framework_groupkfold,borderline,239,7.46641674476726
energy_grav,P2,framework_groupkfold,in_domain,2874,89.78444236176195
energy_grav,P2,framework_groupkfold,out_of_domain,88,2.7491408934707904
energy_grav,P2,leave_chemical_system_out,borderline,118,5.789990186457311
energy_grav,P2,leave_chemical_system_out,in_domain,1909,93.6702649656526
energy_grav,P2,leave_chemical_system_out,out_of_domain,11,0.5397448478900884
energy_grav,P2,leave_family_out,borderline,596,18.619181505779444
energy_grav,P2,leave_family_out,in_domain,1125,35.14526710402999
energy_grav,P2,leave_family_out,out_of_domain,1480,46.235551390190565
energy_grav,P2,leave_working_ion_out,borderline,406,12.683536394876601
energy_grav,P2,leave_working_ion_out,in_domain,2631,82.19306466729147
energy_grav,P2,leave_working_ion_out,out_of_domain,164,5.123398937831928
energy_grav,P2,random_split,borderline,180,5.616224648985959
energy_grav,P2,random_split,in_domain,2916,90.98283931357254
energy_grav,P2,random_split,out_of_domain,109,3.4009360374414976
energy_grav,P3,framework_groupkfold,borderline,238,7.435176507341456
energy_grav,P3,framework_groupkfold,in_domain,2872,89.72196188691034
energy_grav,P3,framework_groupkfold,out_of_domain,91,2.8428616057482037
energy_grav,P3,leave_chemical_system_out,borderline,114,5.593719332679097
energy_grav,P3,leave_chemical_system_out,in_domain,1908,93.62119725220805
energy_grav,P3,leave_chemical_system_out,out_of_domain,16,0.7850834151128557
energy_grav,P3,leave_family_out,borderline,492,15.370196813495783
energy_grav,P3,leave_family_out,in_domain,1211,37.831927522649174
energy_grav,P3,leave_family_out,out_of_domain,1498,46.797875663855045
energy_grav,P3,leave_working_ion_out,borderline,384,11.996251171508904
energy_grav,P3,leave_working_ion_out,in_domain,2662,83.16151202749141
energy_grav,P3,leave_working_ion_out,out_of_domain,155,4.842236800999688
energy_grav,P3,random_split,borderline,194,6.053042121684867
energy_grav,P3,random_split,in_domain,2902,90.54602184087364
energy_grav,P3,random_split,out_of_domain,109,3.4009360374414976
max_delta_volume,P1,framework_groupkfold,borderline,246,7.685098406747891
max_delta_volume,P1,framework_groupkfold,in_domain,2860,89.34707903780068
max_delta_volume,P1,framework_groupkfold,out_of_domain,95,2.9678225554514213
max_delta_volume,P1,leave_chemical_system_out,borderline,188,9.224730127576056
max_delta_volume,P1,leave_chemical_system_out,in_domain,1833,89.94111874386654
max_delta_volume,P1,leave_chemical_system_out,out_of_domain,17,0.8341511285574092
max_delta_volume,P1,leave_family_out,borderline,697,21.77444548578569
max_delta_volume,P1,leave_family_out,in_domain,864,26.991565135895033
max_delta_volume,P1,leave_family_out,out_of_domain,1640,51.23398937831927
max_delta_volume,P1,leave_working_ion_out,borderline,645,20.149953139643863
max_delta_volume,P1,leave_working_ion_out,in_domain,2204,68.85348328647298
max_delta_volume,P1,leave_working_ion_out,out_of_domain,352,10.996563573883162
max_delta_volume,P1,random_split,borderline,169,5.273010920436818
max_delta_volume,P1,random_split,in_domain,2925,91.26365054602184
max_delta_volume,P1,random_split,out_of_domain,111,3.4633385335413416
max_delta_volume,P2,framework_groupkfold,borderline,249,7.778819119025305
max_delta_volume,P2,framework_groupkfold,in_domain,2862,89.4095595126523
max_delta_volume,P2,framework_groupkfold,out_of_domain,90,2.8116213683223994
max_delta_volume,P2,leave_chemical_system_out,borderline,182,8.930323846908735
max_delta_volume,P2,leave_chemical_system_out,in_domain,1838,90.1864573110893
max_delta_volume,P2,leave_chemical_system_out,out_of_domain,18,0.8832188420019627
max_delta_volume,P2,leave_family_out,borderline,627,19.587628865979383
max_delta_volume,P2,leave_family_out,in_domain,932,29.115901280849734
max_delta_volume,P2,leave_family_out,out_of_domain,1642,51.29646985317088
max_delta_volume,P2,leave_working_ion_out,borderline,577,18.02561699468916
max_delta_volume,P2,leave_working_ion_out,in_domain,2281,71.25898156825991
max_delta_volume,P2,leave_working_ion_out,out_of_domain,343,10.715401437050922
max_delta_volume,P2,random_split,borderline,172,5.366614664586583
max_delta_volume,P2,random_split,in_domain,2926,91.29485179407176
max_delta_volume,P2,random_split,out_of_domain,107,3.3385335413416537
max_delta_volume,P3,framework_groupkfold,borderline,236,7.372696032489847
max_delta_volume,P3,framework_groupkfold,in_domain,2868,89.59700093720713
max_delta_volume,P3,framework_groupkfold,out_of_domain,97,3.0303030303030303
