config_key,target,protocol,split_name,status,n_folds_generated,n_ok_folds,n_fold_errors,n_rows,n_features,mask_used,seconds,error
energy_grav__P3__leave_chemical_system_out,energy_grav,P3,leave_chemical_system_out,OK,75,75,0,3201,108,mask_physics_plausible_all_targets,81.50473642349243,
energy_grav__P3__leave_working_ion_out,energy_grav,P3,leave_working_ion_out,OK,3,3,0,3201,108,mask_physics_plausible_all_targets,3.972267389297485,
max_delta_volume__P1__random_split,max_delta_volume,P1,random_split,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,6.075965166091919,
max_delta_volume__P1__framework_groupkfold,max_delta_volume,P1,framework_groupkfold,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,6.020404815673828,
max_delta_volume__P1__leave_family_out,max_delta_volume,P1,leave_family_out,OK,10,10,0,3201,73,mask_physics_plausible_all_targets,11.135058403015137,
max_delta_volume__P1__leave_chemical_system_out,max_delta_volume,P1,leave_chemical_system_out,OK,75,75,0,3201,73,mask_physics_plausible_all_targets,79.98594689369202,
max_delta_volume__P1__leave_working_ion_out,max_delta_volume,P1,leave_working_ion_out,OK,3,3,0,3201,73,mask_physics_plausible_all_targets,3.6868648529052734,
max_delta_volume__P2__random_split,max_delta_volume,P2,random_split,OK,5,5,0,3201,77,mask_physics_plausible_all_targets,6.310100317001343,
max_delta_volume__P2__framework_groupkfold,max_delta_volume,P2,framework_groupkfold,OK,5,5,0,3201,77,mask_physics_plausible_all_targets,6.16140341758728,
max_delta_volume__P2__leave_family_out,max_delta_volume,P2,leave_family_out,OK,10,10,0,3201,77,mask_physics_plausible_all_targets,11.391135931015016,
max_delta_volume__P2__leave_chemical_system_out,max_delta_volume,P2,leave_chemical_system_out,OK,75,75,0,3201,77,mask_physics_plausible_all_targets,79.2531361579895,
max_delta_volume__P2__leave_working_ion_out,max_delta_volume,P2,leave_working_ion_out,OK,3,3,0,3201,77,mask_physics_plausible_all_targets,3.618257761001587,
max_delta_volume__P3__random_split,max_delta_volume,P3,random_split,OK,5,5,0,3201,96,mask_physics_plausible_all_targets,6.273817777633667,
max_delta_volume__P3__framework_groupkfold,max_delta_volume,P3,framework_groupkfold,OK,5,5,0,3201,96,mask_physics_plausible_all_targets,6.169291019439697,
max_delta_volume__P3__leave_family_out,max_delta_volume,P3,leave_family_out,OK,10,10,0,3201,96,mask_physics_plausible_all_targets,11.24732756614685,
max_delta_volume__P3__leave_chemical_system_out,max_delta_volume,P3,leave_chemical_system_out,OK,75,75,0,3201,96,mask_physics_plausible_all_targets,79.33729982376099,
max_delta_volume__P3__leave_working_ion_out,max_delta_volume,P3,leave_working_ion_out,OK,3,3,0,3201,96,mask_physics_plausible_all_targets,3.647270917892456,
stability_worst__P1__random_split,stability_worst,P1,random_split,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,5.999011516571045,
stability_worst__P1__framework_groupkfold,stability_worst,P1,framework_groupkfold,OK,5,5,0,3201,73,mask_physics_plausible_all_targets,6.08967661857605,
stability_worst__P1__leave_family_out,stability_worst,P1,leave_family_out,OK,10,10,0,3201,73,mask_physics_plausible_all_targets,10.885581016540527,
stability_worst__P1__leave_chemical_system_out,stability_worst,P1,leave_chemical_system_out,OK,75,75,0,3201,73,mask_physics_plausible_all_targets,77.82405996322632,
