target,protocol,split_name,n_predictions,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile,mean_tree_pred_std,median_tree_pred_std,median_domain_distance_percentile
average_voltage,P1,framework_groupkfold,3201,0.3149297168770925,0.10884912489553669,0.11070145542586265,0.6683058767599125,0.6266153010330533,60.64453125
average_voltage,P1,leave_chemical_system_out,2038,0.18792886276288126,0.10501949497893731,0.10673500326664266,0.7765329956609419,0.77355860090295,77.71278741427996
average_voltage,P1,leave_family_out,3201,0.24668528967693729,0.02858254878824408,0.03981593977146181,1.0061487870616044,0.9892542666423468,97.34895191122072
average_voltage,P1,leave_working_ion_out,3201,0.270826601268546,0.15131854790386934,0.10361571947211239,0.7832352348136554,0.7692766155220967,87.43875278396438
average_voltage,P1,random_split,3205,0.35728505739814687,0.20798123083099265,0.20723313577590285,0.5319226162551365,0.492524450332907,50.634765625
average_voltage,P2,framework_groupkfold,3201,0.3945267018386873,0.16929674417198987,0.17083365350831242,0.7699339175200046,0.7375112687720197,56.93359375
average_voltage,P2,leave_chemical_system_out,2038,0.20097091229072658,0.11635560660976979,0.11515397105522567,0.8359342294800012,0.8351361296774951,68.54271135743821
average_voltage,P2,leave_family_out,3201,0.2079816337126924,0.04640265379753307,0.055391767430177805,1.0395916849345492,1.0363249965721903,95.88045234248789
average_voltage,P2,leave_working_ion_out,3201,0.24688386833664272,0.09438598720355064,0.05323042187905807,0.8986043210465335,0.8890812711500279,79.72350230414746
average_voltage,P2,random_split,3205,0.48069855251084503,0.2909015273744331,0.29024584589783226,0.7088416063848155,0.6755627631039014,49.365234375
average_voltage,P3,framework_groupkfold,3201,0.4212243171734863,0.1967524448754205,0.1977960387029108,0.7658328695303949,0.740878112585668,54.638671875
average_voltage,P3,leave_chemical_system_out,2038,0.26547320862216095,0.1245185830394666,0.12271580972734217,0.7980426950955832,0.7954655665711674,61.36363043117427
average_voltage,P3,leave_family_out,3201,0.20182588333673834,0.03052460805307367,0.03647775136800585,0.9874614488946875,0.9776085503572006,95.62268803945746
average_voltage,P3,leave_working_ion_out,3201,0.2193923768942443,0.04939362011324928,0.020636270896566184,0.8928584327830601,0.8798493862152774,75.81291759465479
average_voltage,P3,random_split,3205,0.4935193398679894,0.3053132688927736,0.30483506927364695,0.71902546169064,0.6959902873943575,50.048828125
capacity_grav,P1,framework_groupkfold,3201,0.3692129808061912,-0.08996743640072728,-0.08887130126278807,48.40630779948606,46.57072719007172,60.64453125
capacity_grav,P1,leave_chemical_system_out,2038,0.3367009364525973,0.15085772037836576,0.15450519867062354,56.965091967014956,57.11976921755061,77.71278741427996
capacity_grav,P1,leave_family_out,3201,0.24484285685721294,-0.10565620688817329,-0.10304555780659319,59.963316657042746,58.00186438120357,97.34895191122072
capacity_grav,P1,leave_working_ion_out,3201,0.34971264631673044,0.014641257725586899,-0.05441536159827664,47.51437483131732,47.21029985505013,87.43875278396438
capacity_grav,P1,random_split,3205,0.4644040345358216,-0.0019531028510806918,-0.0019813795746123387,38.58985326346791,36.861452385954166,50.634765625
capacity_grav,P2,framework_groupkfold,3201,0.5035025385982406,0.15351706213219035,0.15386218041529187,49.98182140198315,46.51617800381482,56.93359375
capacity_grav,P2,leave_chemical_system_out,2038,0.45667348935209096,0.2949864788755009,0.29610857118043377,54.26717845382118,50.901411990717044,68.54271135743821
capacity_grav,P2,leave_family_out,3201,0.3586024231998743,-0.06756511757172581,-0.06080206685416263,59.604971583676544,55.532048818851614,95.88045234248789
capacity_grav,P2,leave_working_ion_out,3201,0.4039508729160089,0.06437769924905776,0.01074770263635441,53.26633558867651,51.02382702784812,79.72350230414746
capacity_grav,P2,random_split,3205,0.5939319119123925,0.2810302412142284,0.281948426973002,47.7480718474074,44.341339764175366,49.365234375
capacity_grav,P3,framework_groupkfold,3201,0.46848965098839934,0.1888783541302384,0.18884929106488216,49.381262294945934,45.83000053783749,54.6875
capacity_grav,P3,leave_chemical_system_out,2038,0.3895584042167854,0.32311484100851373,0.3221617303913774,52.46613141680702,49.835932999057505,61.31445750140597
