target,protocol,split_name,knn_distance_p50,knn_distance_p90,knn_distance_p97,knn_distance_p99
average_voltage,P1,framework_groupkfold,1.7740027567004657,4.982444755885432,8.13000232854241,12.078091269443732
average_voltage,P1,leave_chemical_system_out,2.9077004972085128,4.543174068458532,5.228887561896865,6.843953629508772
average_voltage,P1,leave_family_out,8.151447541976399,15.104269300762123,21.558486045625205,27.94252911187403
average_voltage,P1,leave_working_ion_out,5.4880350823828685,8.546302850415458,10.379004708139371,15.591763082426436
average_voltage,P1,random_split,1.3435574006389168,4.603611585491878,8.502614501803547,12.417322260194172
average_voltage,P2,framework_groupkfold,3.3209862969741133,6.727495461555892,10.739074453636643,17.268039168320257
average_voltage,P2,leave_chemical_system_out,3.8264758536281485,5.7050598573495455,7.714040104228755,9.643412066167656
average_voltage,P2,leave_family_out,9.580601251485408,17.10530968628762,22.704194114325347,30.236847592991037
average_voltage,P2,leave_working_ion_out,6.272153405596088,9.595439131273306,12.33255625004644,19.068160656326164
average_voltage,P2,random_split,3.0218584188500737,6.437549140905596,10.902628320527947,16.857734287835143
average_voltage,P3,framework_groupkfold,4.584634834319821,8.360166188513043,12.073581621979637,19.358692906303165
average_voltage,P3,leave_chemical_system_out,4.8388036781324715,6.961296054939489,9.214963713431295,11.14844085598404
average_voltage,P3,leave_family_out,10.8101822851875,17.86064031925842,23.787523161905032,31.00428226728159
average_voltage,P3,leave_working_ion_out,7.253942066197817,10.524131670848485,13.899008611258234,22.30230532286106
average_voltage,P3,random_split,4.382116713550984,8.113624221081098,12.486666380064115,19.223341958040187
capacity_grav,P1,framework_groupkfold,1.7740027567004657,4.982444755885432,8.13000232854241,12.078091269443732
capacity_grav,P1,leave_chemical_system_out,2.9077004972085128,4.543174068458532,5.228887561896865,6.843953629508772
capacity_grav,P1,leave_family_out,8.151447541976399,15.104269300762123,21.558486045625205,27.94252911187403
capacity_grav,P1,leave_working_ion_out,5.4880350823828685,8.546302850415458,10.379004708139371,15.591763082426436
capacity_grav,P1,random_split,1.3435574006389168,4.603611585491878,8.502614501803547,12.417322260194172
capacity_grav,P2,framework_groupkfold,3.3209862969741133,6.727495461555892,10.739074453636643,17.268039168320257
capacity_grav,P2,leave_chemical_system_out,3.8264758536281485,5.7050598573495455,7.714040104228755,9.643412066167656
capacity_grav,P2,leave_family_out,9.580601251485408,17.10530968628762,22.704194114325347,30.236847592991037
capacity_grav,P2,leave_working_ion_out,6.272153405596088,9.595439131273306,12.33255625004644,19.068160656326164
capacity_grav,P2,random_split,3.0218584188500737,6.437549140905596,10.902628320527947,16.857734287835143
capacity_grav,P3,framework_groupkfold,4.720057993960262,8.596929868526221,12.24537108855967,19.6188624405387
capacity_grav,P3,leave_chemical_system_out,4.98471446689251,7.235547084623247,9.633845375531,11.48359561473248
capacity_grav,P3,leave_family_out,10.996841745783428,18.22891275700269,24.04638399225307,31.42833752741952
capacity_grav,P3,leave_working_ion_out,7.381882356840409,10.623550286299787,14.055697291084975,22.408273031393733
capacity_grav,P3,random_split,4.522371026143569,8.339721729691949,12.864109410688473,19.636466214833693
energy_grav,P1,framework_groupkfold,1.7740027567004657,4.982444755885432,8.13000232854241,12.078091269443732
energy_grav,P1,leave_chemical_system_out,2.9077004972085128,4.543174068458532,5.228887561896865,6.843953629508772
energy_grav,P1,leave_family_out,8.151447541976399,15.104269300762123,21.558486045625205,27.94252911187403
energy_grav,P1,leave_working_ion_out,5.4880350823828685,8.546302850415458,10.379004708139371,15.591763082426436
energy_grav,P1,random_split,1.3435574006389168,4.603611585491878,8.502614501803547,12.417322260194172
energy_grav,P2,framework_groupkfold,3.3209862969741133,6.727495461555892,10.739074453636643,17.268039168320257
energy_grav,P2,leave_chemical_system_out,3.8264758536281485,5.7050598573495455,7.714040104228755,9.643412066167656
energy_grav,P2,leave_family_out,9.580601251485408,17.10530968628762,22.704194114325347,30.236847592991037
