target,protocol,split_name,n_predictions,conformal_coverage,median_conformal_width,pct_in_domain,pct_borderline,pct_out_of_domain,nominal_coverage,coverage_gap_vs_nominal
average_voltage,P1,framework_groupkfold,3201,0.9537644486098095,2.9763307957234746,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.95,0.003764448609809512
average_voltage,P1,leave_chemical_system_out,2038,0.9509322865554465,2.962829466469705,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.95,0.0009322865554465265
average_voltage,P1,leave_family_out,3201,0.8647297719462668,2.9499685317857427,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.95,-0.08527022805373319
average_voltage,P1,leave_working_ion_out,3201,0.9281474539206498,3.0181195332003394,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.95,-0.021852546079350166
average_voltage,P1,random_split,3205,0.946021840873635,2.7728494163578032,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.95,-0.003978159126365011
average_voltage,P2,framework_groupkfold,3201,0.9484536082474226,2.792598883303036,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.95,-0.001546391752577314
average_voltage,P2,leave_chemical_system_out,2038,0.9371933267909716,2.703291465022328,0.936702649656526,0.05789990186457311,0.005397448478900883,0.95,-0.012806673209028396
average_voltage,P2,leave_family_out,3201,0.8578569197125898,2.6856430342098148,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.95,-0.09214308028741014
average_voltage,P2,leave_working_ion_out,3201,0.9415807560137457,3.1776152211084465,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.95,-0.008419243986254266
average_voltage,P2,random_split,3205,0.9510140405616224,2.601427224756783,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.95,0.0010140405616224646
average_voltage,P3,framework_groupkfold,3201,0.9512652296157451,2.388987742891513,0.8972196188691034,0.07435176507341455,0.028428616057482037,0.95,0.001265229615745156
average_voltage,P3,leave_chemical_system_out,2038,0.9357212953876349,2.2944936249381627,0.9362119725220804,0.05593719332679097,0.007850834151128557,0.95,-0.014278704612365023
average_voltage,P3,leave_family_out,3201,0.8469228366135583,2.214881031793836,0.3783192752264917,0.15370196813495782,0.46797875663855043,0.95,-0.10307716338644168
average_voltage,P3,leave_working_ion_out,3201,0.9262730396751016,2.667306913602209,0.8316151202749141,0.11996251171508904,0.04842236800999688,0.95,-0.023726960324898405
average_voltage,P3,random_split,3205,0.9572542901716069,2.317775142173222,0.9054602184087364,0.06053042121684867,0.034009360374414974,0.95,0.0072542901716069474
capacity_grav,P1,framework_groupkfold,3201,0.9612621055920025,264.5706275321483,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.95,0.01126210559200258
capacity_grav,P1,leave_chemical_system_out,2038,0.9474975466143277,245.8980907044594,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.95,-0.002502453385672232
capacity_grav,P1,leave_family_out,3201,0.9072164948453608,251.2909735411788,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.95,-0.042783505154639134
capacity_grav,P1,leave_working_ion_out,3201,0.9468915963761324,251.16911209777447,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.95,-0.0031084036238675505
capacity_grav,P1,random_split,3205,0.9572542901716069,260.0671347405104,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.95,0.0072542901716069474
capacity_grav,P2,framework_groupkfold,3201,0.9537644486098095,158.90854354343367,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.95,0.003764448609809512
capacity_grav,P2,leave_chemical_system_out,2038,0.9347399411187438,150.62394743549453,0.936702649656526,0.05789990186457311,0.005397448478900883,0.95,-0.015260058881256144
capacity_grav,P2,leave_family_out,3201,0.8716026241799437,150.68765162458038,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.95,-0.07839737582005624
capacity_grav,P2,leave_working_ion_out,3201,0.9065916900968447,184.9213663207962,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.95,-0.04340830990315525
capacity_grav,P2,random_split,3205,0.9516380655226209,162.07754579271534,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.95,0.0016380655226209129
capacity_grav,P3,framework_groupkfold,3201,0.944392377382068,140.8888727440518,0.8956576069978132,0.07560137457044673,0.02874101843174008,0.95,-0.005607622617931907
capacity_grav,P3,leave_chemical_system_out,2038,0.9278704612365064,130.62516309580673,0.9342492639842983,0.05740922473012758,0.008341511285574092,0.95,-0.02212953876349355
capacity_grav,P3,leave_family_out,3201,0.880037488284911,123.1932283598132,0.37800687285223367,0.15932521087160262,0.4626679162761637,0.95,-0.06996251171508894
capacity_grav,P3,leave_working_ion_out,3201,0.9328334895345205,196.217489122834,0.8253670727897532,0.12621055920024993,0.04842236800999688,0.95,-0.017166510465479456
capacity_grav,P3,random_split,3205,0.953198127925117,140.69033757100982,0.9067082683307333,0.05834633385335414,0.03494539781591264,0.95,0.003198127925117089
energy_grav,P1,framework_groupkfold,3201,0.9553264604810997,864.6248970904667,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.95,0.0053264604810997485
energy_grav,P1,leave_chemical_system_out,2038,0.9445534838076546,877.1141959112297,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.95,-0.005446516192345374
energy_grav,P1,leave_family_out,3201,0.9056544829740706,850.3939981050194,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.95,-0.04434551702592937
energy_grav,P1,leave_working_ion_out,3201,0.9228366135582631,814.3006676710149,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.95,-0.02716338644173688
energy_grav,P1,random_split,3205,0.9622464898595944,952.1098125217512,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.95,0.012246489859594423
energy_grav,P2,framework_groupkfold,3201,0.9406435488909716,598.7316280736736,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.95,-0.009356451109028385
energy_grav,P2,leave_chemical_system_out,2038,0.9259077526987243,572.714286995245,0.936702649656526,0.05789990186457311,0.005397448478900883,0.95,-0.024092247301275682
energy_grav,P2,leave_family_out,3201,0.8603561387066542,571.800104313016,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.95,-0.08964386129334578
energy_grav,P2,leave_working_ion_out,3201,0.9075288972196188,717.1476895144706,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.95,-0.04247110278038113
energy_grav,P2,random_split,3205,0.9550702028081123,573.3320535979921,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.95,0.005070202808112323
energy_grav,P3,framework_groupkfold,3201,0.9434551702592939,558.1902211718209,0.8972196188691034,0.07435176507341455,0.028428616057482037,0.95,-0.006544829740706026
energy_grav,P3,leave_chemical_system_out,2038,0.9268891069676153,530.0819584440424,0.9362119725220804,0.05593719332679097,0.007850834151128557,0.95,-0.023110893032384672
energy_grav,P3,leave_family_out,3201,0.8441112152452359,505.3825785661911,0.3783192752264917,0.15370196813495782,0.46797875663855043,0.95,-0.10588878475476404
energy_grav,P3,leave_working_ion_out,3201,0.9169009684473602,735.3620921164556,0.8316151202749141,0.11996251171508904,0.04842236800999688,0.95,-0.03309903155263971
energy_grav,P3,random_split,3205,0.9563182527301092,533.1628080510499,0.9054602184087364,0.06053042121684867,0.034009360374414974,0.95,0.0063182527301092195
max_delta_volume,P1,framework_groupkfold,3201,0.9512652296157451,0.2290410697134705,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.95,0.001265229615745156
max_delta_volume,P1,leave_chemical_system_out,2038,0.9636898920510304,0.2380659623448858,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.95,0.013689892051030439
max_delta_volume,P1,leave_family_out,3201,0.9487660106216808,0.234058391399796,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.95,-0.0012339893783192002
max_delta_volume,P1,leave_working_ion_out,3201,0.9731333958138082,0.4135654507667365,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.95,0.023133395813808244
