protocol,split_name,fold_id,heldout_group,status,error,n_train,n_test,n_features,elapsed_seconds,timestamp_utc,imputer_fit_scope,x_scaler_fit_scope,y_scaler_fit_scope,outer_test_used_for_fit_or_early_stopping,pass
P1,leave_family_out,4,silicate_like,OK,,3070,131,73,10.368874073028564,2026-07-11T16:32:02.150902+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,OK,,3095,106,73,7.723727703094482,2026-07-11T16:32:09.874629+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_family_out,6,other_or_unclear,OK,,3138,63,73,14.14427137374878,2026-07-11T16:32:24.026913+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_family_out,7,sulfide_like,OK,,3146,55,73,12.844158172607422,2026-07-11T16:32:36.871071+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_family_out,8,oxide_like_other,OK,,3179,22,73,9.20133376121521,2026-07-11T16:32:46.072405+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_family_out,9,organic_or_carbon_like,OK,,3191,10,73,6.78270149230957,2026-07-11T16:32:52.855107+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,0,F-O-V,OK,,3048,153,73,9.812017917633057,2026-07-11T16:33:02.667125+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,1,Mn-O-P,OK,,3083,118,73,14.559450626373293,2026-07-11T16:33:17.242198+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,2,Fe-O-P,OK,,3099,102,73,10.044818639755247,2026-07-11T16:33:27.288100+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,3,Cr-O-P,OK,,3117,84,73,14.607940673828123,2026-07-11T16:33:41.900308+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,4,O-P-V,OK,,3119,82,73,8.965274095535278,2026-07-11T16:33:50.870590+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,5,Co-O-P,OK,,3125,76,73,7.4345543384552,2026-07-11T16:33:58.305145+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,6,Ni-O-P,OK,,3127,74,73,8.581218481063843,2026-07-11T16:34:06.901988+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,7,F-V,OK,,3135,66,73,10.388527631759644,2026-07-11T16:34:17.306139+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,8,Mo-O-P,OK,,3140,61,73,13.801437854766846,2026-07-11T16:34:31.107577+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,9,Mn-O,OK,,3151,50,73,11.260979175567629,2026-07-11T16:34:42.368556+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,10,O-V,OK,,3152,49,73,13.360286712646484,2026-07-11T16:34:55.728843+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,11,F-Mn,OK,,3158,43,73,13.8739914894104,2026-07-11T16:35:09.602834+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,12,Fe-O,OK,,3161,40,73,14.390713214874268,2026-07-11T16:35:23.995056+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,13,B-Mn-O,OK,,3162,39,73,10.174133062362673,2026-07-11T16:35:34.184817+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,14,Cu-O-P,OK,,3162,39,73,6.036929130554199,2026-07-11T16:35:40.225747+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,15,O-Ti,OK,,3167,34,73,14.716086387634276,2026-07-11T16:35:54.945831+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,16,Ni-O,OK,,3167,34,73,10.563608169555664,2026-07-11T16:36:05.509440+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,17,F-Fe-O,OK,,3170,31,73,6.869774341583252,2026-07-11T16:36:12.394843+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,18,Co-O,OK,,3170,31,73,8.57279896736145,2026-07-11T16:36:20.967642+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,19,Cr-O,OK,,3172,29,73,8.100153923034668,2026-07-11T16:36:29.067796+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,20,Fe-O-Si,OK,,3173,28,73,13.125141859054564,2026-07-11T16:36:42.208563+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,21,F-Mn-O,OK,,3173,28,73,14.255381107330322,2026-07-11T16:36:56.463944+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,22,O-P-Sb,OK,,3173,28,73,13.052868843078612,2026-07-11T16:37:09.516813+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,23,O-P-Sn,OK,,3173,28,73,10.853395938873293,2026-07-11T16:37:20.370209+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,24,Co-Mn-O,OK,,3174,27,73,6.453304767608643,2026-07-11T16:37:26.823513+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,25,Bi-O-P,OK,,3175,26,73,12.288980960845947,2026-07-11T16:37:39.125504+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,26,O-P-W,OK,,3176,25,73,14.249622583389282,2026-07-11T16:37:53.375126+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,27,Cr-Mn-O,OK,,3177,24,73,12.133289337158203,2026-07-11T16:38:05.508416+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,28,Co-Fe-O,OK,,3180,21,73,11.411076545715332,2026-07-11T16:38:16.935127+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,29,O-P-Ti,OK,,3181,20,73,12.170354843139648,2026-07-11T16:38:29.105482+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,30,Cr-O-V,OK,,3182,19,73,14.443883657455444,2026-07-11T16:38:43.549366+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,31,Cu-O,OK,,3182,19,73,13.438244342803957,2026-07-11T16:38:56.987610+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,32,O-Ti-V,OK,,3182,19,73,9.41237187385559,2026-07-11T16:39:06.408991+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,33,Co-Ni-O,OK,,3182,19,73,12.237659215927124,2026-07-11T16:39:18.646651+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,34,Fe-Mn-O,OK,,3182,19,73,9.197103023529053,2026-07-11T16:39:27.843753+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,35,Mn-O-V,OK,,3183,18,73,11.667936325073242,2026-07-11T16:39:39.511690+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,36,Mn-O-Si,OK,,3184,17,73,7.301005840301514,2026-07-11T16:39:46.828319+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,37,Mn-O-Ti,OK,,3184,17,73,13.811378479003906,2026-07-11T16:40:00.655322+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,38,Co-O-Si,OK,,3184,17,73,10.567191123962402,2026-07-11T16:40:11.222513+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,39,Cr-Fe-O,OK,,3184,17,73,8.684484720230103,2026-07-11T16:40:19.906998+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,40,Fe-Mn-O-P,OK,,3184,17,73,8.950193405151367,2026-07-11T16:40:28.857191+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,41,Mn-Ni-O,OK,,3185,16,73,12.226230382919312,2026-07-11T16:40:41.083421+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,42,O-Si-V,OK,,3185,16,73,13.442938804626465,2026-07-11T16:40:54.526360+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,43,C-Fe-O-P,OK,,3186,15,73,8.529653310775757,2026-07-11T16:41:03.064546+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,44,Fe-O-V,OK,,3186,15,73,11.290852785110474,2026-07-11T16:41:14.371024+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,45,Co-Cr-O,OK,,3186,15,73,14.204281091690063,2026-07-11T16:41:28.575306+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,46,Co-Fe-Mn-O-P,OK,,3186,15,73,14.370930910110474,2026-07-11T16:41:42.946237+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,47,C-Mn-O-P,OK,,3187,14,73,14.478944778442385,2026-07-11T16:41:57.425181+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,48,Mn-O-P-V,OK,,3188,13,73,9.38546347618103,2026-07-11T16:42:06.810645+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,49,Co-O-V,OK,,3188,13,73,12.527008771896362,2026-07-11T16:42:19.337653+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,50,C-Fe-O,OK,,3189,12,73,10.0793616771698,2026-07-11T16:42:29.417015+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,51,C-O-V,OK,,3189,12,73,9.737146615982056,2026-07-11T16:42:39.154162+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
