target,protocol,split_name,fold_id,heldout_group,model_name,n_train,n_fit,n_calibration,n_test,n_features,calibration_mode,fit_predict_seconds,rmse,mae,r2,spearman,mean_tree_pred_std,median_tree_pred_std,conformal_qhat,conformal_coverage,median_conformal_width,mean_knn_distance,median_knn_distance,pct_in_domain,pct_borderline,pct_out_of_domain,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile,status,error
average_voltage,P1,leave_family_out,0,polyanion_phosphate_like,ExtraTrees_uncertainty,2027,1621,406,1174,73,split_conformal_holdout_from_training_fold,1.2509660720825195,0.9049740814731274,0.7225769320472466,0.1332760975253917,0.5020872351071184,0.9472533020697828,0.942332348933798,1.5467512336032287,0.9054514480408858,3.093502467206457,12.867555500395774,12.049130238842714,0.0,0.0,1.0,0.224568831899342,-0.0678536435895202,-0.0500644719009383,OK,
average_voltage,P1,leave_family_out,1,transition_metal_oxide_like,ExtraTrees_uncertainty,2028,1622,406,1173,73,split_conformal_holdout_from_training_fold,1.229065179824829,0.907198891874551,0.718042289054022,0.1798368897568774,0.4222171719967993,1.0472370980840808,1.0229897002872363,1.3857641914155474,0.8704177323103154,2.771528382831095,5.835514687907243,5.13185460960629,0.4876385336743393,0.4057971014492754,0.1065643648763853,0.204356415587737,0.0517635448809417,0.0531857632114819,OK,
average_voltage,P1,leave_family_out,2,halide_or_fluoride_like,ExtraTrees_uncertainty,2955,2364,591,246,73,split_conformal_holdout_from_training_fold,1.1541428565979004,1.6038533124553906,1.379629258137579,-0.7734004179887208,0.3199933364880912,1.2204432028325851,1.2486837328797704,1.4749842658928711,0.5528455284552846,2.9499685317857427,10.24684505565133,7.471602368988174,0.0,0.5,0.5,0.0769160277846134,0.0511382413241256,0.0476484358847464,OK,
average_voltage,P1,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,ExtraTrees_uncertainty,2980,2384,596,221,73,split_conformal_holdout_from_training_fold,1.1470046043395996,0.793372947246821,0.6068437096316692,-0.0035835038463907,0.2975995282345633,0.9121696054429068,0.918627128366966,1.554051455770446,0.9411764705882352,3.108102911540892,4.256455697734894,4.055101423961351,0.7601809954751131,0.2352941176470588,0.004524886877828,-0.1082845842984376,0.1301527371195197,0.1273493652533241,OK,
average_voltage,P1,leave_family_out,4,silicate_like,ExtraTrees_uncertainty,3070,2456,614,131,73,split_conformal_holdout_from_training_fold,1.1476342678070068,0.8981137650149493,0.7176927697580787,0.1914647860642179,0.4232938228975185,0.8571436979264886,0.8523982404949274,1.4951186217136927,0.8931297709923665,2.9902372434273854,3.0281205035798924,2.659622680271915,0.8854961832061069,0.1068702290076335,0.0076335877862595,0.3312907467342505,0.2266737419025442,0.2262721169802723,OK,
average_voltage,P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,ExtraTrees_uncertainty,3095,2476,619,106,73,split_conformal_holdout_from_training_fold,1.1194539070129397,0.8695816332560627,0.753654015761887,0.3110013156881499,0.673737732191836,0.9494204737632356,1.0037423220726929,1.4066105039350687,0.9339622641509434,2.813221007870137,8.254953498784097,8.112130496350401,0.0,0.1698113207547169,0.8301886792452831,0.3723795321415085,0.2253384173430091,0.2265183789492076,OK,
average_voltage,P1,leave_family_out,6,other_or_unclear,ExtraTrees_uncertainty,3138,2510,628,63,73,split_conformal_holdout_from_training_fold,1.1226096153259275,1.0726334697261808,0.94499244549363,-1.2689339074602888,0.2163148234275199,0.9599210969248186,0.9465146379384266,1.4176090918557789,0.7936507936507936,2.8352181837115578,25.441356958944063,20.57827557532685,0.0,0.0,1.0,0.5281134870231131,0.5142397666568118,0.552182521924912,OK,
average_voltage,P1,leave_family_out,7,sulfide_like,ExtraTrees_uncertainty,3146,2516,630,55,73,split_conformal_holdout_from_training_fold,1.0977494716644287,0.4226515212606473,0.3427189495943243,0.3504950116991985,0.505404118403579,1.205121864050684,1.195275504179635,1.5093797749123965,1.0,3.018759549824793,20.994846890099097,21.49737143016764,0.0,0.0,1.0,0.201187287404495,-0.0368452413345272,-0.0728373984459025,OK,
average_voltage,P1,leave_family_out,8,oxide_like_other,ExtraTrees_uncertainty,3179,2543,636,22,73,split_conformal_holdout_from_training_fold,1.0923771858215332,1.4182415840637337,1.1972230314184509,0.0604866805219217,0.35207698436904,1.2259198400115232,1.2026025461569527,1.3168741196223142,0.5,2.6337482392446283,7.608509221504753,5.897537841067045,0.3636363636363636,0.4090909090909091,0.2272727272727272,0.3679006690597834,0.1972309270381942,0.1972309270381942,OK,
average_voltage,P1,leave_family_out,9,organic_or_carbon_like,ExtraTrees_uncertainty,3191,2552,639,10,73,split_conformal_holdout_from_training_fold,1.074622392654419,0.9909278397388082,0.7944083289386304,-0.0850887787633112,0.4376919914496465,1.1727901245367869,1.23951109846811,1.3755336981401634,0.8,2.7510673962803267,13.698481458590129,13.351589753624296,0.0,0.5,0.5,0.4863244349440517,0.6079055436800646,0.6815828854339875,OK,
