target,protocol,split_name,n_predictions,mae_from_predictions,rmse_from_predictions,conformal_coverage,median_conformal_width,pct_in_domain,pct_borderline,pct_out_of_domain,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance
average_voltage,P1,framework_groupkfold,3201,0.5113197603993015,0.6903075446242385,0.9537644486098095,2.9763307957234746,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.3149297168770925,0.10884912489553669
average_voltage,P1,leave_chemical_system_out,2038,0.5746133700836765,0.7413352699767035,0.9509322865554465,2.962829466469705,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.18792886276288126,0.10501949497893731
average_voltage,P1,leave_family_out,3201,0.7655864777874807,0.9714727549247892,0.8647297719462668,2.9499685317857427,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.24668528967693729,0.02858254878824408
average_voltage,P1,leave_working_ion_out,3201,0.6034636376114563,0.8045427834868057,0.9281474539206498,3.0181195332003394,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.270826601268546,0.15131854790386934
average_voltage,P1,random_split,3205,0.47496742582293017,0.6582752929026623,0.946021840873635,2.7728494163578032,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.35728505739814687,0.20798123083099265
average_voltage,P2,framework_groupkfold,3201,0.5086638620371725,0.6809803680975799,0.9484536082474226,2.792598883303036,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.3945267018386873,0.16929674417198987
average_voltage,P2,leave_chemical_system_out,2038,0.5517740569594128,0.7175569031587637,0.9371933267909716,2.703291465022328,0.936702649656526,0.05789990186457311,0.005397448478900883,0.20097091229072658,0.11635560660976979
average_voltage,P2,leave_family_out,3201,0.753969838928395,0.9518126669241901,0.8578569197125898,2.6856430342098148,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.2079816337126924,0.04640265379753307
average_voltage,P2,leave_working_ion_out,3201,0.6169310398410915,0.8009104374073194,0.9415807560137457,3.1776152211084465,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.24688386833664272,0.09438598720355064
average_voltage,P2,random_split,3205,0.4572738888541649,0.626958555084969,0.9510140405616224,2.601427224756783,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.48069855251084503,0.2909015273744331
average_voltage,P3,framework_groupkfold,3201,0.43923424218053175,0.5874618394654899,0.9512652296157451,2.388987742891513,0.8972196188691034,0.07435176507341455,0.028428616057482037,0.4212243171734863,0.1967524448754205
average_voltage,P3,leave_chemical_system_out,2038,0.4769518064541111,0.6246596370860719,0.9357212953876349,2.2944936249381627,0.9362119725220804,0.05593719332679097,0.007850834151128557,0.26547320862216095,0.1245185830394666
average_voltage,P3,leave_family_out,3201,0.6532993109508258,0.8352008414981396,0.8469228366135583,2.214881031793836,0.3783192752264917,0.15370196813495782,0.46797875663855043,0.20182588333673834,0.03052460805307367
average_voltage,P3,leave_working_ion_out,3201,0.5788387237834698,0.7367431483402443,0.9262730396751016,2.667306913602209,0.8316151202749141,0.11996251171508904,0.04842236800999688,0.2193923768942443,0.04939362011324928
average_voltage,P3,random_split,3205,0.3881376628400895,0.5376410796572397,0.9572542901716069,2.317775142173222,0.9054602184087364,0.06053042121684867,0.034009360374414974,0.4935193398679894,0.3053132688927736
capacity_grav,P1,framework_groupkfold,3201,43.433966167371885,61.33792547349063,0.9612621055920025,264.5706275321483,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.3692129808061912,-0.08996743640072728
capacity_grav,P1,leave_chemical_system_out,2038,48.91367133122189,64.95113429463453,0.9474975466143277,245.8980907044594,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.3367009364525973,0.15085772037836576
capacity_grav,P1,leave_family_out,3201,52.54002116272284,72.06975540871895,0.9072164948453608,251.2909735411788,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.24484285685721294,-0.10565620688817329
capacity_grav,P1,leave_working_ion_out,3201,48.648515444085646,67.66533246699328,0.9468915963761324,251.16911209777447,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.34971264631673044,0.014641257725586899
capacity_grav,P1,random_split,3205,40.33570673701256,58.68487916328683,0.9572542901716069,260.0671347405104,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.4644040345358216,-0.0019531028510806918
capacity_grav,P2,framework_groupkfold,3201,27.94742623485916,42.51687080886259,0.9537644486098095,158.90854354343367,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.5035025385982406,0.15351706213219035
capacity_grav,P2,leave_chemical_system_out,2038,30.727894573978713,43.99668947244482,0.9347399411187438,150.62394743549453,0.936702649656526,0.05789990186457311,0.005397448478900883,0.45667348935209096,0.2949864788755009
capacity_grav,P2,leave_family_out,3201,39.06491500378508,55.04697066085675,0.8716026241799437,150.68765162458038,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.3586024231998743,-0.06756511757172581
capacity_grav,P2,leave_working_ion_out,3201,41.129267155071574,58.383812835883035,0.9065916900968447,184.9213663207962,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.4039508729160089,0.06437769924905776
capacity_grav,P2,random_split,3205,25.17288290864105,37.0922006931114,0.9516380655226209,162.07754579271534,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.5939319119123925,0.2810302412142284
capacity_grav,P3,framework_groupkfold,3201,25.679578245138305,39.2072053003813,0.944392377382068,140.8888727440518,0.8956576069978132,0.07560137457044673,0.02874101843174008,0.46848965098839934,0.1888783541302384
capacity_grav,P3,leave_chemical_system_out,2038,27.83419436799269,39.97711197002552,0.9278704612365064,130.62516309580673,0.9342492639842983,0.05740922473012758,0.008341511285574092,0.3895584042167854,0.32311484100851373
capacity_grav,P3,leave_family_out,3201,33.999613881053925,48.4376900212426,0.880037488284911,123.1932283598132,0.37800687285223367,0.15932521087160262,0.4626679162761637,0.2476983951425626,-0.021263383812366567
capacity_grav,P3,leave_working_ion_out,3201,38.038028599555204,55.12371100136973,0.9328334895345205,196.217489122834,0.8253670727897532,0.12621055920024993,0.04842236800999688,0.3783514469635016,0.133772258303298
capacity_grav,P3,random_split,3205,22.924318412738998,34.08764919939463,0.953198127925117,140.69033757100982,0.9067082683307333,0.05834633385335414,0.03494539781591264,0.5456700516333158,0.2928185290336467
energy_grav,P1,framework_groupkfold,3201,153.7876093488854,209.39330496813452,0.9553264604810997,864.6248970904667,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.34717996984746163,-0.14004638778652373
energy_grav,P1,leave_chemical_system_out,2038,175.59523211507477,235.13317166740902,0.9445534838076546,877.1141959112297,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.24697566626859818,0.1136066661358244
energy_grav,P1,leave_family_out,3201,195.37845446861934,267.4951122582271,0.9056544829740706,850.3939981050194,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.2524546867717757,-0.14631773742392853
energy_grav,P1,leave_working_ion_out,3201,171.91670185355989,232.77367985003707,0.9228366135582631,814.3006676710149,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.3365662634609804,-0.011102294515659339
energy_grav,P1,random_split,3205,143.4520091606658,205.19911899723303,0.9622464898595944,952.1098125217512,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.36853575097630153,-0.0405669373912213
energy_grav,P2,framework_groupkfold,3201,109.58934999677565,153.04542427626365,0.9406435488909716,598.7316280736736,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.44308534065405975,0.07898927521274021
energy_grav,P2,leave_chemical_system_out,2038,126.15954151333463,174.6350389912366,0.9259077526987243,572.714286995245,0.936702649656526,0.05789990186457311,0.005397448478900883,0.3954751825010313,0.2516501638240153
energy_grav,P2,leave_family_out,3201,154.77380160299523,213.9334696266954,0.8603561387066542,571.800104313016,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.3567037157769333,-0.1344157551313714
energy_grav,P2,leave_working_ion_out,3201,154.43610096184034,209.05150235890673,0.9075288972196188,717.1476895144706,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.40716677117662414,0.04547374474078424
energy_grav,P2,random_split,3205,99.0177937582676,142.07786748927597,0.9550702028081123,573.3320535979921,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.5161371404894383,0.20709588935051443
energy_grav,P3,framework_groupkfold,3201,104.40657566496121,143.93518324737923,0.9434551702592939,558.1902211718209,0.8972196188691034,0.07435176507341455,0.028428616057482037,0.417524013371446,0.11597165467985976
energy_grav,P3,leave_chemical_system_out,2038,118.14840978322549,162.34366042103787,0.9268891069676153,530.0819584440424,0.9362119725220804,0.05593719332679097,0.007850834151128557,0.3846992566745086,0.26650710593634486
energy_grav,P3,leave_family_out,3201,145.24708009563147,195.6675625304185,0.8441112152452359,505.3825785661911,0.3783192752264917,0.15370196813495782,0.46797875663855043,0.33857697011064425,-0.10707846716877396
energy_grav,P3,leave_working_ion_out,3201,155.4568244695216,208.68594465893523,0.9169009684473602,735.3620921164556,0.8316151202749141,0.11996251171508904,0.04842236800999688,0.3851784981504648,0.10023180619598693
energy_grav,P3,random_split,3205,92.52679590247028,131.819666715534,0.9563182527301092,533.1628080510499,0.9054602184087364,0.06053042121684867,0.034009360374414974,0.48308958053121914,0.22864928169992285
max_delta_volume,P1,framework_groupkfold,3201,0.0379354072190499,0.07861382924106547,0.9512652296157451,0.2290410697134705,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.39186670364416215,0.15786963761524883
max_delta_volume,P1,leave_chemical_system_out,2038,0.034905092839216514,0.05328045996339613,0.9636898920510304,0.2380659623448858,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.3282436064998234,0.16131314105931335
max_delta_volume,P1,leave_family_out,3201,0.042023712907480235,0.08144197767535814,0.9487660106216808,0.234058391399796,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.3036838209193705,0.005090468997209075
max_delta_volume,P1,leave_working_ion_out,3201,0.0573345518556094,0.09119082599787144,0.9731333958138082,0.4135654507667365,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.3921470594688634,0.08795094958030746
max_delta_volume,P1,random_split,3205,0.03777437965894579,0.06957355366719718,0.953198127925117,0.2368721094283786,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.4140657937211096,0.1361328718276835
max_delta_volume,P2,framework_groupkfold,3201,0.03644716451095933,0.07612173951815511,0.9547016557325836,0.2317251216679342,0.8940955951265229,0.07778819119025304,0.028116213683223992,0.4303354488298951,0.20820479186041801
max_delta_volume,P2,leave_chemical_system_out,2038,0.03410290584321243,0.05173099972648121,0.964180569185476,0.2240393545322008,0.9018645731108931,0.08930323846908735,0.008832188420019628,0.3446758406893464,0.1759433530111791
max_delta_volume,P2,leave_family_out,3201,0.041406729970432876,0.08019190011648883,0.9481412058731646,0.2251454748887872,0.2911590128084973,0.1958762886597938,0.5129646985317089,0.3545379727496638,-0.012421549454488675
max_delta_volume,P2,leave_working_ion_out,3201,0.05541154555033258,0.0886293107910299,0.9753202124336144,0.4253765091880107,0.7125898156825992,0.1802561699468916,0.10715401437050921,0.45764237850156503,0.08571156706747533
max_delta_volume,P2,random_split,3205,0.03576703490338875,0.0674585929201992,0.9553822152886116,0.2390689965036468,0.9129485179407176,0.05366614664586584,0.03338533541341654,0.5044341422942046,0.24966756519805017
max_delta_volume,P3,framework_groupkfold,3201,0.034942771420654765,0.07112589342110681,0.9537644486098095,0.2231180804984671,0.8959700093720713,0.07372696032489846,0.030303030303030304,0.4550363087269144,0.27330651253580385
max_delta_volume,P3,leave_chemical_system_out,2038,0.032906248950219256,0.050366734620913484,0.957801766437684,0.2023300354980825,0.9288518155053974,0.06231599607458292,0.008832188420019628,0.36475413868522566,0.19166488210017776
max_delta_volume,P3,leave_family_out,3201,0.039912807019075805,0.07645903325661194,0.9450171821305842,0.2042848885330076,0.3620743517650734,0.1543267728834739,0.4835988753514527,0.3427269734473592,-0.002280324884810161
max_delta_volume,P3,leave_working_ion_out,3201,0.05506243110045964,0.08605155814681023,0.9593876913464542,0.3514326938091694,0.7706966572945955,0.16213683223992503,0.06716651046547954,0.4812864872704325,0.14069368034973453
max_delta_volume,P3,random_split,3205,0.03331366415188938,0.06285935927972436,0.953198127925117,0.2066316886839934,0.9051482059282371,0.06053042121684867,0.0343213728549142,0.5213240254395867,0.3062121601688561
stability_worst,P1,framework_groupkfold,3201,0.04445707926702253,0.10413624661124535,0.9522024367385192,0.299402409523657,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.3398533439831964,0.08244246759616697
stability_worst,P1,leave_chemical_system_out,2038,0.04118055081284596,0.08962926446607915,0.971540726202159,0.2734399513950016,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.22298566668706782,0.156742730208895
stability_worst,P1,leave_family_out,3201,0.05233231494266485,0.107678016019639,0.9422055607622618,0.2739071770168566,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.2678340946022877,0.24654080713406892
stability_worst,P1,leave_working_ion_out,3201,0.0487034219721002,0.10460736454523868,0.9768822243049047,0.4558182621531098,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.3128017688463215,0.09823064350527587
stability_worst,P1,random_split,3205,0.04294313793296303,0.11146541875091381,0.9435257410296412,0.2411059449287113,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.34940924923823363,0.08778773453091827
stability_worst,P2,framework_groupkfold,3201,0.04026878215417046,0.09658637000435093,0.9550140581068416,0.2328271694459368,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.3761980187978142,0.18720273512088592
stability_worst,P2,leave_chemical_system_out,2038,0.03915412042547908,0.08744539286000917,0.9622178606476938,0.2297633030989372,0.936702649656526,0.05789990186457311,0.005397448478900883,0.2539491377210776,0.1677294286203644
stability_worst,P2,leave_family_out,3201,0.051869234678576424,0.10807106292464218,0.901280849734458,0.2270616114721394,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.3085355019861521,0.2703750912355891
stability_worst,P2,leave_working_ion_out,3201,0.043736567145565716,0.09958385134051699,0.9653233364573571,0.2968727635780229,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.31430162728776395,0.14292057353875673
stability_worst,P2,random_split,3205,0.04004876444886461,0.10752205904239959,0.9510140405616224,0.2364899107837643,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.40824731553966837,0.2324848902750716
stability_worst,P3,framework_groupkfold,3201,0.03773176914915547,0.08835654467949589,0.9534520462355514,0.2299664996209585,0.8994064354889098,0.06997813183380194,0.03061543267728835,0.32552135256081166,0.24307119108137076
stability_worst,P3,leave_chemical_system_out,2038,0.03725415790381249,0.08199251855884168,0.9597644749754661,0.2161883822312352,0.9342492639842983,0.058881256133464184,0.0068694798822374874,0.23577437841555088,0.18085040244359815
stability_worst,P3,leave_family_out,3201,0.05154556269322119,0.10376795416953537,0.8834739144017495,0.2243738349525864,0.3561387066541706,0.1733833177132146,0.4704779756326148,0.3500098195276265,0.23927357850090178
stability_worst,P3,leave_working_ion_out,3201,0.04244419930735757,0.09527659056690066,0.9656357388316151,0.3133423236072672,0.8119337706966573,0.13277100905966885,0.05529522024367385,0.3474521525323618,0.1731560281560201
stability_worst,P3,random_split,3205,0.03677467043679636,0.09708058181265186,0.9463338533541341,0.2131834513681262,0.9079563182527302,0.058658346333853355,0.03338533541341654,0.41718749902610247,0.31643486726803216
