target,protocol,split_name,n_predictions,n_unique_records,mae_from_predictions,rmse_from_predictions,mean_tree_pred_std,median_tree_pred_std,conformal_coverage,median_conformal_width,mean_knn_distance,median_knn_distance,median_domain_distance_percentile,pct_in_domain,pct_borderline,pct_out_of_domain,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile
average_voltage,P1,framework_groupkfold,3201,3201,0.5113197603993015,0.6903075446242385,0.6683058767599125,0.6266153010330533,0.9537644486098095,2.9763307957234746,2.571547383371568,1.7740027567004657,60.64453125,0.8934707903780069,0.07685098406747891,0.029678225554514215,0.3149297168770925,0.10884912489553669,0.11070145542586265
average_voltage,P1,leave_chemical_system_out,2038,2038,0.5746133700836765,0.7413352699767035,0.7765329956609419,0.77355860090295,0.9509322865554465,2.962829466469705,3.0524467678653213,2.9077004972085128,77.71278741427996,0.8994111874386653,0.09224730127576054,0.008341511285574092,0.18792886276288126,0.10501949497893731,0.10673500326664266
average_voltage,P1,leave_family_out,3201,3201,0.7655864777874807,0.9714727549247892,1.0061487870616044,0.9892542666423468,0.8647297719462668,2.9499685317857427,9.292899850339733,8.151447541976399,97.34895191122072,0.26991565135895035,0.21774445485785693,0.5123398937831928,0.24668528967693729,0.02858254878824408,0.03981593977146181
average_voltage,P1,leave_working_ion_out,3201,3201,0.6034636376114563,0.8045427834868057,0.7832352348136554,0.7692766155220967,0.9281474539206498,3.0181195332003394,5.957609325353178,5.4880350823828685,87.43875278396438,0.6885348328647297,0.2014995313964386,0.10996563573883161,0.270826601268546,0.15131854790386934,0.10361571947211239
average_voltage,P1,random_split,3205,2131,0.47496742582293017,0.6582752929026623,0.5319226162551365,0.492524450332907,0.946021840873635,2.7728494163578032,2.1007314515246778,1.3435574006389168,50.634765625,0.9126365054602185,0.05273010920436817,0.034633385335413415,0.35728505739814687,0.20798123083099265,0.20723313577590285
average_voltage,P2,framework_groupkfold,3201,3201,0.5086638620371725,0.6809803680975799,0.7699339175200046,0.7375112687720197,0.9484536082474226,2.792598883303036,4.070962692012752,3.3209862969741133,56.93359375,0.8978444236176195,0.0746641674476726,0.027491408934707903,0.3945267018386873,0.16929674417198987,0.17083365350831242
average_voltage,P2,leave_chemical_system_out,2038,2038,0.5517740569594128,0.7175569031587637,0.8359342294800012,0.8351361296774951,0.9371933267909716,2.703291465022328,4.015665204555843,3.8264758536281485,68.54271135743821,0.936702649656526,0.05789990186457311,0.005397448478900883,0.20097091229072658,0.11635560660976979,0.11515397105522567
average_voltage,P2,leave_family_out,3201,3201,0.753969838928395,0.9518126669241901,1.0395916849345492,1.0363249965721903,0.8578569197125898,2.6856430342098148,10.95804117317292,9.580601251485408,95.88045234248789,0.3514526710402999,0.18619181505779445,0.46235551390190566,0.2079816337126924,0.04640265379753307,0.055391767430177805
average_voltage,P2,leave_working_ion_out,3201,3201,0.6169310398410915,0.8009104374073194,0.8986043210465335,0.8890812711500279,0.9415807560137457,3.1776152211084465,6.8512683855077645,6.272153405596088,79.72350230414746,0.8219306466729147,0.12683536394876602,0.05123398937831927,0.24688386833664272,0.09438598720355064,0.05323042187905807
average_voltage,P2,random_split,3205,2131,0.4572738888541649,0.626958555084969,0.7088416063848155,0.6755627631039014,0.9510140405616224,2.601427224756783,3.7733364159028913,3.0218584188500737,49.365234375,0.9098283931357254,0.056162246489859596,0.034009360374414974,0.48069855251084503,0.2909015273744331,0.29024584589783226
average_voltage,P3,framework_groupkfold,3201,3201,0.43923424218053175,0.5874618394654899,0.7658328695303949,0.740878112585668,0.9512652296157451,2.388987742891513,5.358404710250557,4.584634834319821,54.638671875,0.8972196188691034,0.07435176507341455,0.028428616057482037,0.4212243171734863,0.1967524448754205,0.1977960387029108
average_voltage,P3,leave_chemical_system_out,2038,2038,0.4769518064541111,0.6246596370860719,0.7980426950955832,0.7954655665711674,0.9357212953876349,2.2944936249381627,5.142438259496134,4.8388036781324715,61.36363043117427,0.9362119725220804,0.05593719332679097,0.007850834151128557,0.26547320862216095,0.1245185830394666,0.12271580972734217
average_voltage,P3,leave_family_out,3201,3201,0.6532993109508258,0.8352008414981396,0.9874614488946875,0.9776085503572006,0.8469228366135583,2.214881031793836,11.910774629546202,10.8101822851875,95.62268803945746,0.3783192752264917,0.15370196813495782,0.46797875663855043,0.20182588333673834,0.03052460805307367,0.03647775136800585
