target,protocol,split_name,bin_type,bin,n_predictions,mae,median_absolute_error,rmse,mean_tree_pred_std,median_knn_distance,conformal_coverage,median_conformal_width
average_voltage,P1,framework_groupkfold,tree_uncertainty_bin,Q1_lowest,653,0.34910420996305297,0.2580951615791655,0.4835953889669809,0.3751965971784393,1.0708868812212688,0.9831546707503829,2.9763307957234746
average_voltage,P1,framework_groupkfold,tree_uncertainty_bin,Q2,628,0.38040397793415526,0.2820844924450547,0.5211198016527576,0.5087633060937892,1.377901362475848,0.982484076433121,2.9763307957234746
average_voltage,P1,framework_groupkfold,tree_uncertainty_bin,Q3,647,0.47110588477972926,0.3808190374182589,0.5918166309990882,0.6302631748778338,1.801030407553957,0.9829984544049459,2.9763307957234746
average_voltage,P1,framework_groupkfold,tree_uncertainty_bin,Q4,633,0.6013875039893031,0.493162471738219,0.7815858453914036,0.7651689315777104,2.3456678293528648,0.9510268562401264,2.9763307957234746
average_voltage,P1,framework_groupkfold,tree_uncertainty_bin,Q5_highest,640,0.7568625129873865,0.6064532515624583,0.9591691802055101,1.0665752648272033,3.412464292540206,0.86875,2.9763307957234746
average_voltage,P1,framework_groupkfold,domain_distance_bin,Q1_nearest,641,0.468426751257875,0.3721311722782401,0.6074997802228328,0.5404174256674061,0.6939616859344592,0.984399375975039,2.976330795723475
average_voltage,P1,framework_groupkfold,domain_distance_bin,Q2,641,0.4195336949702217,0.3142015686054429,0.5869554346871719,0.5644522793853193,1.1529710185692443,0.9672386895475819,2.9763307957234746
average_voltage,P1,framework_groupkfold,domain_distance_bin,Q3,639,0.5005301468198645,0.389641812819915,0.6540124355129291,0.6218652096309728,1.774527739496417,0.9671361502347418,2.9763307957234746
average_voltage,P1,framework_groupkfold,domain_distance_bin,Q4,640,0.5166395604560046,0.36594691812416547,0.7294818105941141,0.7444027977484279,2.857833469681175,0.940625,2.9763307957234746
average_voltage,P1,framework_groupkfold,domain_distance_bin,Q5_farthest,640,0.6516622257753404,0.5065882766616521,0.842301508766079,0.8706812047757768,4.982530481212396,0.909375,2.9763307957234746
average_voltage,P1,leave_chemical_system_out,tree_uncertainty_bin,Q1_lowest,408,0.411076062400156,0.316899068852148,0.544867356436887,0.5221479696200525,2.6225181127573425,0.9803921568627451,2.940509327021986
average_voltage,P1,leave_chemical_system_out,tree_uncertainty_bin,Q2,413,0.5510622419212098,0.4250991964022876,0.7135794232384062,0.6753694735748151,2.669173740651647,0.9564164648910412,2.9025274279757265
average_voltage,P1,leave_chemical_system_out,tree_uncertainty_bin,Q3,416,0.5983177148985412,0.47734318421372124,0.7684526186516378,0.7808776248549113,2.9174853242988217,0.9375,2.9165451687072688
average_voltage,P1,leave_chemical_system_out,tree_uncertainty_bin,Q4,393,0.66117743684976,0.554479283356001,0.8240760982818331,0.872865719189327,3.3487731540862256,0.9363867684478372,3.024968128385496
average_voltage,P1,leave_chemical_system_out,tree_uncertainty_bin,Q5_highest,408,0.6544397224952466,0.5366267871878001,0.8225855821926371,1.036100395550419,3.36814482665034,0.9436274509803921,2.9568017194957896
average_voltage,P1,leave_chemical_system_out,domain_distance_bin,Q1_nearest,408,0.506981325739496,0.391394662437228,0.6704184085381587,0.7196163051937111,1.7873837833827497,0.9681372549019608,2.9602470225574358
average_voltage,P1,leave_chemical_system_out,domain_distance_bin,Q2,410,0.5714484111455902,0.4295171433089966,0.7431944858233661,0.7351665390507844,2.421804529897745,0.9585365853658536,2.956800143061843
average_voltage,P1,leave_chemical_system_out,domain_distance_bin,Q3,420,0.537526393477605,0.47577399018055677,0.6765476703227391,0.7546209335630802,2.909131596902085,0.9642857142857143,2.9625312048556927
average_voltage,P1,leave_chemical_system_out,domain_distance_bin,Q4,395,0.5790247554174622,0.4948165119734979,0.7297428070004973,0.7976256756071136,3.531720628267249,0.959493670886076,3.0086919881223526
average_voltage,P1,leave_chemical_system_out,domain_distance_bin,Q5_farthest,405,0.6801085311324317,0.5155339790646716,0.871515026335187,0.8779001917675076,4.548470357169668,0.9037037037037037,2.99837399064845
average_voltage,P1,leave_family_out,tree_uncertainty_bin,Q1_lowest,641,0.5572088824753141,0.4509008668807088,0.7307185740272266,0.729903878835745,11.70447072966208,0.9563182527301092,3.093502467206457
average_voltage,P1,leave_family_out,tree_uncertainty_bin,Q2,640,0.6485039939617565,0.5438751316248864,0.8208621717393139,0.9031511856261133,5.040313485133334,0.9265625,2.9499685317857427
average_voltage,P1,leave_family_out,tree_uncertainty_bin,Q3,641,0.7396488427751575,0.6625985927936417,0.9189135281613288,0.9935912216554863,5.438873578350506,0.890795631825273,2.7715283828310957
average_voltage,P1,leave_family_out,tree_uncertainty_bin,Q4,639,0.8859141190716199,0.768436281265445,1.0837101347629476,1.1032952799788853,7.656418850262275,0.812206572769953,2.7715283828310957
average_voltage,P1,leave_family_out,tree_uncertainty_bin,Q5_highest,640,0.997210680140444,0.9006142282810286,1.222030479389762,1.301405414472025,9.428294810677947,0.7375,2.9499685317857427
average_voltage,P1,leave_family_out,domain_distance_bin,Q1_nearest,644,0.6450490237521096,0.49026077374636845,0.8448885926829128,0.9226847095413679,3.888256079414103,0.9037267080745341,2.7715283828310957
average_voltage,P1,leave_family_out,domain_distance_bin,Q2,641,0.8315858390644886,0.7530267053656821,1.025162558826819,1.0912885596519335,5.238673906257626,0.8252730109204368,2.771528382831095
average_voltage,P1,leave_family_out,domain_distance_bin,Q3,642,0.8414776198021365,0.6974032785779543,1.0590996904689651,1.0588599667741754,8.184558258339356,0.82398753894081,2.7715283828310957
average_voltage,P1,leave_family_out,domain_distance_bin,Q4,636,0.7479825871572454,0.631017447151748,0.9424415137551456,0.8996193854518274,11.746210332945424,0.9009433962264151,3.093502467206457
average_voltage,P1,leave_family_out,domain_distance_bin,Q5_farthest,638,0.7621295672665364,0.6192461252683304,0.9718445685750663,1.0580114731759915,15.104269300762123,0.8699059561128527,3.093502467206457
