check,observed,expected,status,details
SUPPLEMENTARY_Figure_S6_out_of_domain_fraction_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S6_out_of_domain_fraction_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S6_out_of_domain_fraction_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S6_out_of_domain_fraction_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S6_out_of_domain_fraction_PNG_WIDTH,4193,>=2400,PASS,
SUPPLEMENTARY_Figure_S6_out_of_domain_fraction_PNG_HEIGHT,2815,>=1800,PASS,
SUPPLEMENTARY_Figure_S7_sodium_screening_funnel_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S7_sodium_screening_funnel_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S7_sodium_screening_funnel_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S7_sodium_screening_funnel_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S7_sodium_screening_funnel_PNG_WIDTH,4847,>=2400,PASS,
SUPPLEMENTARY_Figure_S7_sodium_screening_funnel_PNG_HEIGHT,2800,>=1800,PASS,
SUPPLEMENTARY_Figure_S8_rank_robustness_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S8_rank_robustness_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S8_rank_robustness_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S8_rank_robustness_PNG_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S8_rank_robustness_PNG_WIDTH,3735,>=2400,PASS,
SUPPLEMENTARY_Figure_S8_rank_robustness_PNG_HEIGHT,2708,>=1800,PASS,
SUPPLEMENTARY_Figure_S9_kpoint_convergence_PDF_EXISTS,True,True,PASS,
SUPPLEMENTARY_Figure_S9_kpoint_convergence_PDF_PAGES,1,1,PASS,
SUPPLEMENTARY_Figure_S9_kpoint_convergence_PDF_RENDER,1,1,PASS,
SUPPLEMENTARY_Figure_S9_kpoint_convergence_PNG_EXISTS,True,True,PASS,
