gate,pass
notebook08_and_06_decisions_accepted,True
all_locked_core_mappings_exact,True
all_raw_records_resolved_by_both_exact_ids,True
at_least_three_complete_primary_pairs,True
all_five_complete_primary_pairs,True
at_least_three_ordered_primary_pairs,True
at_least_three_manageable_primary_pairs,True
at_least_three_vasp_primary_pairs_written,True
no_licensed_potcar_files_written,True
secret_and_residual_scan_pass,True
