target,from_stage,to_stage,delta_mae_positive_is_improvement,delta_mae_ci_low,delta_mae_ci_high,delta_mae_interval_direction,relative_mae_improvement,relative_mae_ci_low,relative_mae_ci_high,delta_rmse_positive_is_improvement,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_interval_direction,relative_rmse_improvement,relative_rmse_ci_low,relative_rmse_ci_high
average_voltage,P1,P2,0.026803689368145645,0.017109511520880128,0.03640407564091634,improvement_supported,0.055661460877425156,0.03585622086575635,0.07478235057262753,0.03806677511913159,0.025690117156195576,0.05122446835547632,improvement_supported,0.057034100333214426,0.038955312843755474,0.07559776919104029
average_voltage,P2,P3,0.10099933971952985,0.08694898726931978,0.11525859571785324,improvement_supported,0.2221011693227869,0.1949824360515085,0.24785687249640836,0.14406000766308447,0.1250568912749022,0.1631309535351093,improvement_supported,0.22889481480755203,0.20283987755638366,0.25424187302730783
average_voltage,P1,P3,0.1278030290876755,0.11149427218533561,0.14382161612726632,improvement_supported,0.2654001546531214,0.2375554940840367,0.29321606341013084,0.18212678278221606,0.16133107829060472,0.2033518836017207,improvement_supported,0.27287410530728,0.24656311078429766,0.29836096707049437
capacity_grav,P1,P2,22.741536817495447,20.753317855559736,24.824332407525002,improvement_supported,0.5603119481943515,0.534055632862235,0.5855959415632602,27.850887314383357,24.72726969280314,31.083457654200547,improvement_supported,0.45895425323326783,0.40801718386449115,0.5104122107085552
capacity_grav,P2,P3,-1.306667685632533,-2.126091811866978,-0.5078079924837637,degradation_supported,-0.07322014093109877,-0.12215163603513825,-0.027929158414137834,-0.05842601687010074,-1.8907521630659359,1.9250829710038213,interval_spans_zero,-0.001779519106039692,-0.061733248503742504,0.05400330290669999
capacity_grav,P1,P3,21.434869131862914,19.57655333826051,23.335180516470814,improvement_supported,0.5281179270754217,0.5050866257396587,0.5502850591647249,27.792461297513256,25.132974890827047,30.524849820581927,improvement_supported,0.4579914519896549,0.41761976609183965,0.49694113390489697
capacity_vol,P1,P2,83.55137825929961,76.84253390736805,90.55387158132812,improvement_supported,0.6024569586688839,0.5801014970141734,0.6239630114466843,109.44553589320805,99.47320122693976,120.05653924089188,improvement_supported,0.5354844670584509,0.49788997763306236,0.572024974776875
capacity_vol,P2,P3,-6.289651051058335,-8.570371728630217,-4.011748030857855,degradation_supported,-0.11408138952474274,-0.1600057346831874,-0.07028893064876057,-4.558135979852821,-8.705102525410515,-0.5638504862527749,degradation_supported,-0.048010459402411505,-0.0967277487776811,-0.005535472756450765
capacity_vol,P1,P3,77.26172720824127,70.83769170510502,84.07699887753921,improvement_supported,0.5571046961179379,0.5348034735344289,0.5780760889936984,104.88739991335522,95.83831443228928,114.59060988304006,improvement_supported,0.513182862922371,0.4808777589409589,0.5440869016681328
energy_grav,P1,P2,59.995605307562585,53.666631406108884,66.38593438154253,improvement_supported,0.40778499775966137,0.3796834545098316,0.4329560658737803,79.29227488222315,70.45124459674516,88.24986256150906,improvement_supported,0.382809462464239,0.3533222882265823,0.41047740555101947
energy_grav,P2,P3,2.6572017795196388,0.09104998915521069,5.052815008921826,improvement_supported,0.030496986993812977,0.0010052594094605678,0.057624361639838126,3.7903291589938988,-0.4687727043075348,7.85233845063624,interval_spans_zero,0.02964895930119519,-0.0036775990410186196,0.06146951492079681
energy_grav,P1,P3,62.65280708708222,56.67326730300908,68.72223567829126,improvement_supported,0.4258457709805259,0.3997533378135165,0.44944217719532514,83.08260404121705,74.70089308850004,91.72249403466671,improvement_supported,0.4011085195927196,0.3704584098534553,0.42978160833256623
energy_vol,P1,P2,207.60703304497264,184.85316666227502,231.17082579700082,improvement_supported,0.4089341710876832,0.3791584449302112,0.43766570621247036,280.4513955012099,248.70950921013,313.08920486940474,improvement_supported,0.39589282142071847,0.36390320554352046,0.42574535476529063
energy_vol,P2,P3,12.689236947096504,3.4192534767994944,21.047281542295675,improvement_supported,0.042287401103132734,0.011585959313869285,0.06927819239144098,17.976484789248104,5.161502131622425,30.03692798072499,improvement_supported,0.042005948608483376,0.01214552160678774,0.0697666926687998
energy_vol,P1,P3,220.29626999206914,198.4754450456096,242.680607041112,improvement_supported,0.43392880887325397,0.4068107207252179,0.4594009934612123,298.427880290458,268.4432823478383,328.18567369487107,improvement_supported,0.4212689165181357,0.39237518376681774,0.448337034395259
max_delta_volume,P1,P2,0.0019466393521201941,0.0012781781601954396,0.0026288003366632708,improvement_supported,0.05096478984065816,0.03340131808367685,0.06865948120319522,0.0023485648005943938,0.0005172928165524863,0.004436019596224681,improvement_supported,0.027959374693498594,0.005458507375883409,0.06317529239938016
max_delta_volume,P2,P3,0.002428157120245314,0.0014228398676304546,0.0034560024604970833,improvement_supported,0.06698525254961926,0.0398110532905494,0.09310736993265972,0.0065218154892802,0.0016999770647098459,0.01159177108176713,improvement_supported,0.0798746555736316,0.02350521577209063,0.1363290619181566
max_delta_volume,P1,P3,0.004374796472365508,0.0031700014303268293,0.005565064289883855,improvement_supported,0.11453615307166266,0.08448513088035738,0.1429025487682923,0.008870380289874594,0.003969577273542795,0.014003481544070988,improvement_supported,0.10560078484343288,0.0494208221585477,0.16881258459180934
stability_charge,P1,P2,0.003452266839494768,0.0014743761229574863,0.005751761304231438,improvement_supported,0.08216029973982071,0.03586333138823734,0.13139095517796134,0.006095528110743487,0.002511961382104739,0.010692862366025844,improvement_supported,0.05882098449286419,0.023504185253150067,0.11222011524404053
stability_charge,P2,P3,0.005067342131048418,0.0034604932014325606,0.006820062726508063,improvement_supported,0.13139264250296176,0.09438891044667574,0.16648123961386715,0.015161011683138811,0.008443214138562534,0.02191773961191983,improvement_supported,0.15544505018992966,0.09880128506898671,0.20502419429847624
