target,target_unit,protocol,protocol_name,n_features,n_L0,n_L1,n_L2,n_L3,n_L4,n_L5,feature_origin_counts_json,feature_list_csv,feature_list_json
energy_vol,Wh/L_or_Wh/dm3_database_dependent,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_energy_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_energy_vol.json
energy_vol,Wh/L_or_Wh/dm3_database_dependent,P2,composition_plus_relaxed_structure_clean_strict,93,93,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 20}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_energy_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_energy_vol.json
energy_vol,Wh/L_or_Wh/dm3_database_dependent,P3,post_DFT_decision_support_clean_target_specific,108,95,0,0,0,13,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 7, ""relaxed_structure_summary"": 20, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_energy_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_energy_vol.json
energy_vol,Wh/L_or_Wh/dm3_database_dependent,P4,leakage_stress_test,267,96,1,8,143,19,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_energy_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_energy_vol.json
max_delta_volume,fraction_or_database_convention,P0,full_feature_leaky_baseline_no_direct_target,266,223,0,16,0,27,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 8}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_max_delta_volume.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_max_delta_volume.json
max_delta_volume,fraction_or_database_convention,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_max_delta_volume.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_max_delta_volume.json
max_delta_volume,fraction_or_database_convention,P2,composition_plus_relaxed_structure_clean_strict,77,77,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 4}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_max_delta_volume.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_max_delta_volume.json
max_delta_volume,fraction_or_database_convention,P3,post_DFT_decision_support_clean_target_specific,96,79,0,0,0,17,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""relaxed_structure_summary"": 4, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_max_delta_volume.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_max_delta_volume.json
max_delta_volume,fraction_or_database_convention,P4,leakage_stress_test,267,223,1,16,0,27,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_max_delta_volume.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_max_delta_volume.json
stability_charge,eV/atom,P0,full_feature_leaky_baseline_no_direct_target,266,239,0,9,0,18,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 8}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_stability_charge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_stability_charge.json
stability_charge,eV/atom,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_stability_charge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_stability_charge.json
stability_charge,eV/atom,P2,composition_plus_relaxed_structure_clean_strict,93,93,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 20}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_stability_charge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_stability_charge.json
stability_charge,eV/atom,P3,post_DFT_decision_support_clean_target_specific,105,95,0,0,0,10,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 4, ""relaxed_structure_summary"": 20, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_stability_charge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_stability_charge.json
stability_charge,eV/atom,P4,leakage_stress_test,267,239,1,9,0,18,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_stability_charge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_stability_charge.json
stability_discharge,eV/atom,P0,full_feature_leaky_baseline_no_direct_target,266,239,0,9,0,18,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 8}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_stability_discharge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_stability_discharge.json
stability_discharge,eV/atom,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_stability_discharge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_stability_discharge.json
stability_discharge,eV/atom,P2,composition_plus_relaxed_structure_clean_strict,93,93,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 20}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_stability_discharge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_stability_discharge.json
stability_discharge,eV/atom,P3,post_DFT_decision_support_clean_target_specific,105,95,0,0,0,10,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 4, ""relaxed_structure_summary"": 20, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_stability_discharge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_stability_discharge.json
stability_discharge,eV/atom,P4,leakage_stress_test,267,239,1,9,0,18,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_stability_discharge.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_stability_discharge.json
stability_worst,eV/atom,P0,full_feature_leaky_baseline_no_direct_target,266,239,0,9,0,18,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 8}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_stability_worst.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_stability_worst.json
stability_worst,eV/atom,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_stability_worst.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_stability_worst.json
stability_worst,eV/atom,P2,composition_plus_relaxed_structure_clean_strict,93,93,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 20}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_stability_worst.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_stability_worst.json
stability_worst,eV/atom,P3,post_DFT_decision_support_clean_target_specific,105,95,0,0,0,10,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 4, ""relaxed_structure_summary"": 20, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_stability_worst.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_stability_worst.json
stability_worst,eV/atom,P4,leakage_stress_test,267,239,1,9,0,18,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_stability_worst.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_stability_worst.json
