feature,n_non_missing,non_missing_pct,n_unique_values
discharge_formula_frac_I,3354,100.0,3
discharge_formula_frac_Mn,3354,100.0,105
discharge_formula_frac_Fe,3354,100.0,101
discharge_formula_frac_Co,3354,100.0,72
discharge_formula_frac_Ni,3354,100.0,78
discharge_formula_frac_Cu,3354,100.0,53
discharge_formula_frac_V,3354,100.0,89
discharge_formula_frac_Ti,3354,100.0,69
discharge_formula_frac_Cr,3354,100.0,66
discharge_formula_frac_Al,3354,100.0,9
discharge_formula_frac_Mg,3354,100.0,19
discharge_formula_frac_Ca,3354,100.0,10
discharge_formula_frac_Zn,3354,100.0,12
discharge_formula_frac_Ag,3354,100.0,12
discharge_formula_frac_As,3354,100.0,12
discharge_formula_Z_mean,3354,100.0,1256
discharge_formula_Z_min,3354,100.0,13
discharge_formula_Z_max,3354,100.0,62
discharge_formula_Z_range,3354,100.0,77
discharge_formula_Z_std,3354,100.0,2306
discharge_formula_atomic_mass_mean,3354,100.0,2371
discharge_formula_atomic_mass_min,3354,100.0,13
discharge_formula_atomic_mass_max,3354,100.0,62
discharge_formula_atomic_mass_range,3354,100.0,195
discharge_formula_atomic_mass_std,3354,100.0,2371
discharge_formula_X_mean,3354,100.0,2048
discharge_formula_X_min,3354,100.0,6
discharge_formula_X_max,3354,100.0,34
discharge_formula_X_range,3354,100.0,69
discharge_formula_X_std,3354,100.0,2352
discharge_formula_row_mean,3354,100.0,361
discharge_formula_row_min,3354,100.0,4
discharge_formula_row_max,3354,100.0,6
discharge_formula_row_range,3354,100.0,6
discharge_formula_row_std,3354,100.0,681
discharge_formula_group_mean,3354,100.0,829
discharge_formula_group_min,3354,100.0,1
discharge_formula_group_max,3354,100.0,16
discharge_formula_group_range,3354,100.0,16
discharge_formula_group_std,3354,100.0,1643
discharge_formula_has_O,3354,100.0,2
discharge_formula_has_F,3354,100.0,2
discharge_formula_has_P,3354,100.0,2
discharge_formula_has_S,3354,100.0,2
discharge_formula_has_Si,3354,100.0,2
discharge_formula_has_C,3354,100.0,2
discharge_formula_has_N,3354,100.0,2
discharge_formula_has_Cl,3354,100.0,2
discharge_formula_has_Br,3354,100.0,2
discharge_formula_has_I,3354,100.0,2
discharge_formula_n_transition_metals,3354,100.0,4
discharge_formula_frac_transition_metals,3354,100.0,187
wi_is_Li,3354,100.0,2
wi_is_Na,3354,100.0,2
wi_is_K,3354,100.0,2
wi_Z,3354,100.0,3
wi_atomic_mass,3354,100.0,3
wi_X,3354,100.0,3
wi_row,3354,100.0,3
wi_group,3354,100.0,1
stoich_wi_amount_charge,3354,100.0,17
stoich_wi_amount_discharge,3354,100.0,21
stoich_wi_amount_delta,3354,100.0,33
stoich_abs_wi_amount_delta,3354,100.0,21
stored_fracA_delta,3354,100.0,367
stored_abs_fracA_delta,3354,100.0,367
charge_summary_formation_energy_per_atom,3347,99.79129397734049,3037
charge_summary_is_metal,3345,99.73166368515206,2
charge_summary_volume,3347,99.79129397734049,3030
charge_summary_theoretical,3347,99.79129397734049,2
charge_summary_energy_above_hull,3347,99.79129397734049,2825
charge_summary_density,3347,99.79129397734049,3030
charge_summary_nsites,3347,99.79129397734049,106
charge_summary_density_atomic,3347,99.79129397734049,3030
charge_summary_band_gap,3347,99.79129397734049,1946
charge_summary_is_stable,3347,99.79129397734049,2
charge_summary_symmetry_number,3347,99.79129397734049,130
discharge_summary_formation_energy_per_atom,3350,99.88073941562314,3346
discharge_summary_is_metal,3347,99.79129397734049,2
discharge_summary_volume,3350,99.88073941562314,3337
discharge_summary_theoretical,3350,99.88073941562314,2
discharge_summary_energy_above_hull,3350,99.88073941562314,3071
discharge_summary_density,3350,99.88073941562314,3337
discharge_summary_nsites,3350,99.88073941562314,104
discharge_summary_density_atomic,3350,99.88073941562314,3337
discharge_summary_band_gap,3350,99.88073941562314,2454
discharge_summary_is_stable,3350,99.88073941562314,2
discharge_summary_symmetry_number,3350,99.88073941562314,138
charge_summary_volume_per_site,3347,99.79129397734049,3030
discharge_summary_volume_per_site,3350,99.88073941562314,3337
summary_delta_volume_fraction,3343,99.67203339296363,3334
summary_abs_delta_volume_fraction,3343,99.67203339296363,3334
summary_delta_formation_energy_per_atom,3343,99.67203339296363,3343
summary_abs_delta_formation_energy_per_atom,3343,99.67203339296363,3343
summary_delta_energy_above_hull,3343,99.67203339296363,3274
summary_abs_delta_energy_above_hull,3343,99.67203339296363,3274
summary_delta_density,3343,99.67203339296363,3334
summary_abs_delta_density,3343,99.67203339296363,3334
summary_delta_density_atomic,3343,99.67203339296363,3334
summary_abs_delta_density_atomic,3343,99.67203339296363,3334
summary_delta_band_gap,3343,99.67203339296363,2860
summary_abs_delta_band_gap,3343,99.67203339296363,2845
summary_delta_volume_per_site,3343,99.67203339296363,3334
summary_abs_delta_volume_per_site,3343,99.67203339296363,3334
summary_worst_energy_above_hull,3354,100.0,3156
