record_index,working_ion,electrode_uid,framework_uid,coarse_family,chemsys,host_chemsys_no_working_ion,mask_raw_all_records,mask_voltage_0_to_6,mask_capacity_grav_positive_le_1000,mask_capacity_vol_positive_le_10000,mask_energy_grav_nonnegative_le_6000,mask_energy_vol_nonnegative_le_50000,mask_volume_change_0_to_2,mask_stability_charge_0_to_2,mask_stability_discharge_0_to_2,mask_stability_worst_0_to_2,mask_physics_plausible_primary,mask_physics_plausible_all_targets
Li_000029,Li,el_b7ac414d1e98d7b4,Li|CoAsO4,transition_metal_oxide_like,As-Co-O,As-Co-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000030,Li,el_0fc23bdf288bfab8,Li|FeAs2O7,transition_metal_oxide_like,As-Fe-O,As-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000031,Li,el_2297c6737aa0e6bb,Li|FeAs,other_or_unclear,As-Fe,As-Fe,True,True,True,True,True,True,True,True,True,True,True,True
Li_000032,Li,el_01b0fff7fd44f3be,Li|Fe2(AsO4)3,transition_metal_oxide_like,As-Fe-O,As-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000033,Li,el_a2b8754869faed7b,Li|KTiAsO5,transition_metal_oxide_like,As-K-O-Ti,As-K-O-Ti,True,True,True,True,True,True,True,True,True,True,True,True
Li_000034,Li,el_81e69539f7266350,Li|MnAs,other_or_unclear,As-Mn,As-Mn,True,True,True,True,True,True,True,True,True,True,True,True
Li_000035,Li,el_51a57ebebe826069,Li|MnAs,other_or_unclear,As-Mn,As-Mn,True,False,True,True,False,False,True,True,True,True,False,False
Li_000036,Li,el_016559bd77a93e2d,Li|NiAsO4,transition_metal_oxide_like,As-Ni-O,As-Ni-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000037,Li,el_fa6cc83456914e92,Li|MnAsO4,transition_metal_oxide_like,As-Mn-O,As-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000038,Li,el_1e050e37835037e6,Li|VAs2O9,transition_metal_oxide_like,As-O-V,As-O-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000039,Li,el_c7b1860177eeba03,Li|VAsO5,transition_metal_oxide_like,As-O-V,As-O-V,True,True,True,True,True,True,True,True,True,True,True,True
Li_000040,Li,el_48602aa9f479d138,Li|CuAuO2,transition_metal_oxide_like,Au-Cu-O,Au-Cu-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000041,Li,el_13a4312eba562369,Li|AuC2,other_or_unclear,Au-C,Au-C,True,True,True,True,True,True,True,True,True,True,True,True
Li_000042,Li,el_60362dbebf3dbc4a,Li|AuSeClO3,transition_metal_oxide_like,Au-Cl-O-Se,Au-Cl-O-Se,True,True,True,True,True,True,True,True,True,True,True,True
Li_000043,Li,el_15ca1ac080a14f46,Li|MgSnAu,other_or_unclear,Au-Mg-Sn,Au-Mg-Sn,True,True,True,True,True,True,True,True,True,True,True,True
Li_000044,Li,el_79be5794de300165,Li|Cs7Au5O2,transition_metal_oxide_like,Au-Cs-O,Au-Cs-O,True,False,True,True,False,False,True,True,True,True,False,False
Li_000045,Li,el_56592bad436f3e38,Li|Bi(BO3)2,oxide_like_other,B-Bi-O,B-Bi-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000046,Li,el_d43a546f36a687f6,Li|SbAu,other_or_unclear,Au-Sb,Au-Sb,True,True,True,True,True,True,True,True,True,True,True,True
Li_000047,Li,el_bb425447565a4bfd,Li|CrB3(HO3)3,transition_metal_oxide_like,B-Cr-H-O,B-Cr-H-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000048,Li,el_46388e235f64dba5,Li|BC,organic_or_carbon_like,B-C,B-C,True,True,True,True,True,True,True,True,True,True,True,True
Li_000049,Li,el_2fae3837b02db4a9,Li|CuBH4ClO4,transition_metal_oxide_like,B-Cl-Cu-H-O,B-Cl-Cu-H-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000050,Li,el_0e8f4c7e0a9e3595,Li|CoBO3,transition_metal_oxide_like,B-Co-O,B-Co-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000051,Li,el_d1f112aa624efe40,Li|Mn2Fe(BO3)4,transition_metal_oxide_like,B-Fe-Mn-O,B-Fe-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000052,Li,el_616a44875b42f5b2,Li|Cr(BO3)2,transition_metal_oxide_like,B-Cr-O,B-Cr-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000053,Li,el_eaee6af9a7ce0c47,Li|CuBO3,transition_metal_oxide_like,B-Cu-O,B-Cu-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000054,Li,el_d09e1fad5e15cc6d,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000055,Li,el_060a432515703153,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000056,Li,el_7310139187485b37,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,False,True,True,True,True,True,True,True,True,False,False
Li_000057,Li,el_639722db1a5df0c9,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000058,Li,el_d21a8bc4981deaf1,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000059,Li,el_6a495c7eff511a2d,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000060,Li,el_746383e6d6d04cb0,Li|FeBO3,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000061,Li,el_cdd6054753a1c730,Li|FeBO4,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000062,Li,el_996b377ab3ae7006,Li|Fe(BO3)2,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000063,Li,el_cbf30263466466b8,Li|Fe3(BO3)4,transition_metal_oxide_like,B-Fe-O,B-Fe-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000064,Li,el_28c5a08e6b3943a9,Li|FeBPO7,polyanion_phosphate_like,B-Fe-O-P,B-Fe-O-P,True,True,True,True,True,True,True,True,True,True,True,True
Li_000065,Li,el_eeed3ef1afc1dea5,Li|Na3MnBPO7,polyanion_phosphate_like,B-Mn-Na-O-P,B-Mn-Na-O-P,True,True,True,True,True,True,True,True,True,True,True,True
Li_000066,Li,el_0c498e437a8d13dd,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000067,Li,el_779a1ed329f67972,Li|MnB4O7,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,False,True,True,False,False,True,True,True,True,False,False
Li_000068,Li,el_89b8be5c203a8aaf,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
Li_000069,Li,el_dc95a1ef4017db86,Li|MnBO3,transition_metal_oxide_like,B-Mn-O,B-Mn-O,True,True,True,True,True,True,True,True,True,True,True,True
