feature,feature_origin,default_max_leakage_level_across_targets,is_target_column,n_non_missing,non_missing_pct,n_unique_values
charge_formula_X_max,stoichiometric_window,L3,False,3354,100.0,33
charge_formula_X_mean,stoichiometric_window,L3,False,3354,100.0,1760
charge_formula_X_min,stoichiometric_window,L3,False,3354,100.0,49
charge_formula_X_range,stoichiometric_window,L3,False,3354,100.0,128
charge_formula_X_std,stoichiometric_window,L3,False,3354,100.0,1959
charge_formula_Z_max,stoichiometric_window,L3,False,3354,100.0,62
charge_formula_Z_mean,stoichiometric_window,L3,False,3354,100.0,1149
charge_formula_Z_min,stoichiometric_window,L3,False,3354,100.0,42
charge_formula_Z_range,stoichiometric_window,L3,False,3354,100.0,79
charge_formula_Z_std,stoichiometric_window,L3,False,3354,100.0,1907
charge_formula_atomic_mass_max,stoichiometric_window,L3,False,3354,100.0,62
charge_formula_atomic_mass_mean,stoichiometric_window,L3,False,3354,100.0,1990
charge_formula_atomic_mass_min,stoichiometric_window,L3,False,3354,100.0,42
charge_formula_atomic_mass_range,stoichiometric_window,L3,False,3354,100.0,228
charge_formula_atomic_mass_std,stoichiometric_window,L3,False,3354,100.0,1972
charge_formula_frac_Ag,stoichiometric_window,L3,False,3354,100.0,12
charge_formula_frac_Al,stoichiometric_window,L3,False,3354,100.0,8
charge_formula_frac_As,stoichiometric_window,L3,False,3354,100.0,14
charge_formula_frac_B,stoichiometric_window,L3,False,3354,100.0,19
charge_formula_frac_Br,stoichiometric_window,L3,False,3354,100.0,4
charge_formula_frac_C,stoichiometric_window,L3,False,3354,100.0,31
charge_formula_frac_Ca,stoichiometric_window,L3,False,3354,100.0,9
charge_formula_frac_Cl,stoichiometric_window,L3,False,3354,100.0,17
charge_formula_frac_Co,stoichiometric_window,L3,False,3354,100.0,74
charge_formula_frac_Cr,stoichiometric_window,L3,False,3354,100.0,68
charge_formula_frac_Cu,stoichiometric_window,L3,False,3354,100.0,50
charge_formula_frac_F,stoichiometric_window,L3,False,3354,100.0,71
charge_formula_frac_Fe,stoichiometric_window,L3,False,3354,100.0,111
charge_formula_frac_I,stoichiometric_window,L3,False,3354,100.0,3
charge_formula_frac_K,stoichiometric_window,L3,False,3354,100.0,30
charge_formula_frac_Li,stoichiometric_window,L3,False,3354,100.0,113
charge_formula_frac_Mg,stoichiometric_window,L3,False,3354,100.0,19
charge_formula_frac_Mn,stoichiometric_window,L3,False,3354,100.0,104
charge_formula_frac_N,stoichiometric_window,L3,False,3354,100.0,11
charge_formula_frac_Na,stoichiometric_window,L3,False,3354,100.0,42
charge_formula_frac_Ni,stoichiometric_window,L3,False,3354,100.0,81
charge_formula_frac_O,stoichiometric_window,L3,False,3354,100.0,155
charge_formula_frac_P,stoichiometric_window,L3,False,3354,100.0,60
charge_formula_frac_S,stoichiometric_window,L3,False,3354,100.0,36
charge_formula_frac_Si,stoichiometric_window,L3,False,3354,100.0,32
charge_formula_frac_Ti,stoichiometric_window,L3,False,3354,100.0,63
charge_formula_frac_V,stoichiometric_window,L3,False,3354,100.0,80
charge_formula_frac_Zn,stoichiometric_window,L3,False,3354,100.0,12
charge_formula_frac_transition_metals,stoichiometric_window,L3,False,3354,100.0,175
charge_formula_group_max,stoichiometric_window,L3,False,3354,100.0,16
charge_formula_group_mean,stoichiometric_window,L3,False,3354,100.0,797
charge_formula_group_min,stoichiometric_window,L3,False,3354,100.0,16
charge_formula_group_range,stoichiometric_window,L3,False,3354,100.0,17
charge_formula_group_std,stoichiometric_window,L3,False,3354,100.0,1561
charge_formula_has_Br,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_C,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_Cl,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_F,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_I,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_N,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_O,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_P,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_S,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_has_Si,stoichiometric_window,L3,False,3354,100.0,2
charge_formula_n_atoms,stoichiometric_window,L3,False,3354,100.0,76
charge_formula_n_elements,stoichiometric_window,L3,False,3354,100.0,6
charge_formula_n_transition_metals,stoichiometric_window,L3,False,3354,100.0,4
charge_formula_parse_ok,stoichiometric_window,L3,False,3354,100.0,1
charge_formula_row_max,stoichiometric_window,L3,False,3354,100.0,6
charge_formula_row_mean,stoichiometric_window,L3,False,3354,100.0,326
charge_formula_row_min,stoichiometric_window,L3,False,3354,100.0,6
charge_formula_row_range,stoichiometric_window,L3,False,3354,100.0,6
charge_formula_row_std,stoichiometric_window,L3,False,3354,100.0,545
discharge_formula_X_max,stoichiometric_window,L3,False,3354,100.0,34
discharge_formula_X_mean,stoichiometric_window,L3,False,3354,100.0,2048
discharge_formula_X_min,stoichiometric_window,L3,False,3354,100.0,6
discharge_formula_X_range,stoichiometric_window,L3,False,3354,100.0,69
discharge_formula_X_std,stoichiometric_window,L3,False,3354,100.0,2352
discharge_formula_Z_max,stoichiometric_window,L3,False,3354,100.0,62
discharge_formula_Z_mean,stoichiometric_window,L3,False,3354,100.0,1256
discharge_formula_Z_min,stoichiometric_window,L3,False,3354,100.0,13
discharge_formula_Z_range,stoichiometric_window,L3,False,3354,100.0,77
discharge_formula_Z_std,stoichiometric_window,L3,False,3354,100.0,2306
discharge_formula_atomic_mass_max,stoichiometric_window,L3,False,3354,100.0,62
discharge_formula_atomic_mass_mean,stoichiometric_window,L3,False,3354,100.0,2371
discharge_formula_atomic_mass_min,stoichiometric_window,L3,False,3354,100.0,13
discharge_formula_atomic_mass_range,stoichiometric_window,L3,False,3354,100.0,195
discharge_formula_atomic_mass_std,stoichiometric_window,L3,False,3354,100.0,2371
discharge_formula_frac_Ag,stoichiometric_window,L3,False,3354,100.0,12
discharge_formula_frac_Al,stoichiometric_window,L3,False,3354,100.0,9
discharge_formula_frac_As,stoichiometric_window,L3,False,3354,100.0,12
discharge_formula_frac_B,stoichiometric_window,L3,False,3354,100.0,17
discharge_formula_frac_Br,stoichiometric_window,L3,False,3354,100.0,4
discharge_formula_frac_C,stoichiometric_window,L3,False,3354,100.0,26
discharge_formula_frac_Ca,stoichiometric_window,L3,False,3354,100.0,10
discharge_formula_frac_Cl,stoichiometric_window,L3,False,3354,100.0,20
discharge_formula_frac_Co,stoichiometric_window,L3,False,3354,100.0,72
discharge_formula_frac_Cr,stoichiometric_window,L3,False,3354,100.0,66
discharge_formula_frac_Cu,stoichiometric_window,L3,False,3354,100.0,53
discharge_formula_frac_F,stoichiometric_window,L3,False,3354,100.0,70
discharge_formula_frac_Fe,stoichiometric_window,L3,False,3354,100.0,101
discharge_formula_frac_I,stoichiometric_window,L3,False,3354,100.0,3
discharge_formula_frac_K,stoichiometric_window,L3,False,3354,100.0,57
discharge_formula_frac_Li,stoichiometric_window,L3,False,3354,100.0,172
discharge_formula_frac_Mg,stoichiometric_window,L3,False,3354,100.0,19
discharge_formula_frac_Mn,stoichiometric_window,L3,False,3354,100.0,105
discharge_formula_frac_N,stoichiometric_window,L3,False,3354,100.0,13
discharge_formula_frac_Na,stoichiometric_window,L3,False,3354,100.0,86
discharge_formula_frac_Ni,stoichiometric_window,L3,False,3354,100.0,78
discharge_formula_frac_O,stoichiometric_window,L3,False,3354,100.0,154
discharge_formula_frac_P,stoichiometric_window,L3,False,3354,100.0,59
discharge_formula_frac_S,stoichiometric_window,L3,False,3354,100.0,37
discharge_formula_frac_Si,stoichiometric_window,L3,False,3354,100.0,26
discharge_formula_frac_Ti,stoichiometric_window,L3,False,3354,100.0,69
discharge_formula_frac_V,stoichiometric_window,L3,False,3354,100.0,89
discharge_formula_frac_Zn,stoichiometric_window,L3,False,3354,100.0,12
discharge_formula_frac_transition_metals,stoichiometric_window,L3,False,3354,100.0,187
discharge_formula_group_max,stoichiometric_window,L3,False,3354,100.0,16
discharge_formula_group_mean,stoichiometric_window,L3,False,3354,100.0,829
discharge_formula_group_min,stoichiometric_window,L3,False,3354,100.0,1
discharge_formula_group_range,stoichiometric_window,L3,False,3354,100.0,16
discharge_formula_group_std,stoichiometric_window,L3,False,3354,100.0,1643
discharge_formula_has_Br,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_C,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_Cl,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_F,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_I,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_N,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_O,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_P,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_S,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_has_Si,stoichiometric_window,L3,False,3354,100.0,2
discharge_formula_n_atoms,stoichiometric_window,L3,False,3354,100.0,81
discharge_formula_n_elements,stoichiometric_window,L3,False,3354,100.0,6
discharge_formula_n_transition_metals,stoichiometric_window,L3,False,3354,100.0,4
discharge_formula_parse_ok,stoichiometric_window,L3,False,3354,100.0,1
discharge_formula_row_max,stoichiometric_window,L3,False,3354,100.0,6
discharge_formula_row_mean,stoichiometric_window,L3,False,3354,100.0,361
discharge_formula_row_min,stoichiometric_window,L3,False,3354,100.0,4
discharge_formula_row_range,stoichiometric_window,L3,False,3354,100.0,6
discharge_formula_row_std,stoichiometric_window,L3,False,3354,100.0,681
fracA_charge,stoichiometric_window,L3,False,3354,100.0,120
fracA_discharge,stoichiometric_window,L3,False,3354,100.0,182
stoich_abs_wi_amount_delta,stoichiometric_window,L3,False,3354,100.0,21
stoich_wi_amount_charge,stoichiometric_window,L3,False,3354,100.0,17
stoich_wi_amount_delta,stoichiometric_window,L3,False,3354,100.0,33
stoich_wi_amount_discharge,stoichiometric_window,L3,False,3354,100.0,21
stored_fracA_delta,stoichiometric_window,L3,False,3354,100.0,367
charge_summary_band_gap,post_dft_electronic_summary,L4,False,3347,99.79129397734049,1946
charge_summary_is_metal,post_dft_electronic_summary,L4,False,3345,99.73166368515206,2
discharge_summary_band_gap,post_dft_electronic_summary,L4,False,3350,99.88073941562314,2454
discharge_summary_is_metal,post_dft_electronic_summary,L4,False,3347,99.79129397734049,2
summary_abs_delta_band_gap,post_dft_electronic_summary,L4,False,3343,99.67203339296363,2845
summary_delta_band_gap,post_dft_electronic_summary,L4,False,3343,99.67203339296363,2860
charge_summary_energy_above_hull,post_dft_energy_stability_summary,L4,False,3347,99.79129397734049,2825
charge_summary_formation_energy_per_atom,post_dft_energy_stability_summary,L4,False,3347,99.79129397734049,3037
charge_summary_is_stable,post_dft_energy_stability_summary,L4,False,3347,99.79129397734049,2
discharge_summary_energy_above_hull,post_dft_energy_stability_summary,L4,False,3350,99.88073941562314,3071
discharge_summary_formation_energy_per_atom,post_dft_energy_stability_summary,L4,False,3350,99.88073941562314,3346
discharge_summary_is_stable,post_dft_energy_stability_summary,L4,False,3350,99.88073941562314,2
summary_abs_delta_energy_above_hull,post_dft_energy_stability_summary,L4,False,3343,99.67203339296363,3274
summary_abs_delta_formation_energy_per_atom,post_dft_energy_stability_summary,L4,False,3343,99.67203339296363,3343
summary_delta_energy_above_hull,post_dft_energy_stability_summary,L4,False,3343,99.67203339296363,3274
summary_delta_formation_energy_per_atom,post_dft_energy_stability_summary,L4,False,3343,99.67203339296363,3343
summary_worst_energy_above_hull,post_dft_energy_stability_summary,L4,False,3354,100.0,3156
charge_summary_theoretical,post_dft_provenance_flag,L4,False,3347,99.79129397734049,2
discharge_summary_theoretical,post_dft_provenance_flag,L4,False,3350,99.88073941562314,2
max_voltage_step,stored_electrode_process_descriptor,L4,False,3354,100.0,538
average_voltage,stored_electrode_target,L4,True,3354,100.0,3354
capacity_grav,stored_electrode_target,L4,True,3354,100.0,2510
capacity_vol,stored_electrode_target,L4,True,3354,100.0,3345
energy_grav,stored_electrode_target,L4,True,3354,100.0,3354
energy_vol,stored_electrode_target,L4,True,3354,100.0,3354
max_delta_volume,stored_electrode_target,L4,True,3354,100.0,3345
stability_charge,stored_electrode_target,L4,True,3354,100.0,2800
stability_discharge,stored_electrode_target,L4,True,3354,100.0,3051
stability_worst,stored_electrode_target,L4,True,3354,100.0,3152
wi_is_K,domain_label_onehot,L5,False,3354,100.0,2
wi_is_Li,domain_label_onehot,L5,False,3354,100.0,2
wi_is_Na,domain_label_onehot,L5,False,3354,100.0,2
