target,model_name,leaky_protocol,clean_protocol,hard_split,interaction_mae_point,bootstrap_reps,ci95_low,ci95_high,probability_interaction_positive,ci_excludes_zero
average_voltage,Ridge,P4,P1,framework_groupkfold,0.027359608330840238,2000,-0.007326994667561838,0.058830856242704434,0.937,False
average_voltage,Ridge,P4,P1,leave_family_out,0.6867694046119129,2000,0.2532114314137425,1.1802052503135925,1.0,True
average_voltage,Ridge,P4,P1,leave_chemical_system_out,-0.02188256894921144,2000,-0.08739278022398822,0.04654087030680356,0.2585,False
average_voltage,Ridge,P4,P1,leave_working_ion_out,0.19354518548605623,2000,0.07899623821785585,0.29664506147387076,1.0,True
average_voltage,Ridge,P4,P2,framework_groupkfold,0.026390977869372237,2000,-0.006734380840194854,0.054257633227301316,0.939,False
average_voltage,Ridge,P4,P2,leave_family_out,0.7116816126524169,2000,0.30207203609168876,1.1809113223718226,1.0,True
average_voltage,Ridge,P4,P2,leave_chemical_system_out,-0.02096903977272709,2000,-0.08036573154378963,0.04223850505630181,0.2555,False
average_voltage,Ridge,P4,P2,leave_working_ion_out,0.27350626376148324,2000,0.11799810112311264,0.45879244354228665,1.0,True
average_voltage,Ridge,P4,P3,framework_groupkfold,0.019175549530356842,2000,-0.008890953637197167,0.04631315234602685,0.909,False
average_voltage,Ridge,P4,P3,leave_family_out,0.5337011576993607,2000,0.21491655453432743,0.916187639169038,1.0,True
average_voltage,Ridge,P4,P3,leave_chemical_system_out,-0.008201307505735295,2000,-0.059157201459277275,0.046475160320924705,0.374,False
average_voltage,Ridge,P4,P3,leave_working_ion_out,0.29522815062028746,2000,0.1394613667900441,0.5257553335207563,1.0,True
average_voltage,Ridge,P0,P1,framework_groupkfold,0.020680720712108025,2000,-0.01728699384780789,0.05858176655730599,0.8575,False
average_voltage,Ridge,P0,P1,leave_family_out,-0.10982523356408436,2000,-0.9913536197624685,0.6527908336935583,0.397,False
average_voltage,Ridge,P0,P1,leave_chemical_system_out,-0.006296389240027289,2000,-0.07571570360023006,0.06963104296465998,0.4385,False
average_voltage,Ridge,P0,P1,leave_working_ion_out,-1.2372090679352348,2000,-1.5399109883075628,-0.931225994632416,0.0,True
average_voltage,Ridge,P0,P2,framework_groupkfold,0.019712090250640024,2000,-0.01522842363082339,0.054342094858719804,0.863,False
average_voltage,Ridge,P0,P2,leave_family_out,-0.08491302552358038,2000,-0.9330089512916929,0.678852128787096,0.4235,False
average_voltage,Ridge,P0,P2,leave_chemical_system_out,-0.005382860063542938,2000,-0.07297562625255578,0.0630672613673354,0.4355,False
average_voltage,Ridge,P0,P2,leave_working_ion_out,-1.1572479896598078,2000,-1.4801477147975604,-0.8315781028431527,0.0,True
average_voltage,Ridge,P0,P3,framework_groupkfold,0.01249666191162463,2000,-0.019918400686685028,0.044860284988810714,0.785,False
average_voltage,Ridge,P0,P3,leave_family_out,-0.26289348047663663,2000,-1.0290112136070346,0.4139109416364926,0.256,False
average_voltage,Ridge,P0,P3,leave_chemical_system_out,0.007384872203448856,2000,-0.052067691987183244,0.06780253005644903,0.598,False
average_voltage,Ridge,P0,P3,leave_working_ion_out,-1.1355261028010035,2000,-1.4635705414876792,-0.7944406890208009,0.0,True
average_voltage,ExtraTrees,P4,P1,framework_groupkfold,0.02501951864007192,2000,-0.0018243764512593142,0.051470471947058345,0.9645,False
average_voltage,ExtraTrees,P4,P1,leave_family_out,0.34277557433233174,2000,0.15951310082744427,0.5441925085475565,1.0,True
average_voltage,ExtraTrees,P4,P1,leave_chemical_system_out,0.08997963596328512,2000,0.02523058585302233,0.15801367483105425,0.9985,True
average_voltage,ExtraTrees,P4,P1,leave_working_ion_out,0.09053704072016999,2000,-0.0374014350801104,0.17213712993960423,0.9585,False
average_voltage,ExtraTrees,P4,P2,framework_groupkfold,0.048574431921266883,2000,0.021500182864082805,0.07548911028259538,1.0,True
average_voltage,ExtraTrees,P4,P2,leave_family_out,0.40482792948936597,2000,0.2351981621242259,0.5921762082446482,1.0,True
average_voltage,ExtraTrees,P4,P2,leave_chemical_system_out,0.10600908191184527,2000,0.04529496933601289,0.16724836355946857,1.0,True
average_voltage,ExtraTrees,P4,P2,leave_working_ion_out,0.13612996685433798,2000,0.01762371635475467,0.20879199685865274,0.999,True
average_voltage,ExtraTrees,P4,P3,framework_groupkfold,0.05236992787062629,2000,0.027994053748791506,0.07472976589188186,1.0,True
average_voltage,ExtraTrees,P4,P3,leave_family_out,0.34210381516878563,2000,0.2068203381621283,0.5111321798118923,1.0,True
average_voltage,ExtraTrees,P4,P3,leave_chemical_system_out,0.09642955409656762,2000,0.05028159284408884,0.14421641512296193,1.0,True
average_voltage,ExtraTrees,P4,P3,leave_working_ion_out,0.1627404220144471,2000,0.11307787577299666,0.23756516365962208,1.0,True
average_voltage,ExtraTrees,P0,P1,framework_groupkfold,0.0023270732219135004,2000,-0.024912967637577523,0.03063788779991947,0.5655,False
average_voltage,ExtraTrees,P0,P1,leave_family_out,0.12350239766102172,2000,-0.09284629845889193,0.3379147856742493,0.86,False
average_voltage,ExtraTrees,P0,P1,leave_chemical_system_out,0.06023957582620765,2000,-0.007902671899712945,0.12997181059569746,0.952,False
average_voltage,ExtraTrees,P0,P1,leave_working_ion_out,-0.0323051101286308,2000,-0.16138218674618993,0.08569616258846484,0.3535,False
average_voltage,ExtraTrees,P0,P2,framework_groupkfold,0.025881986503108467,2000,-3.739928402947078e-05,0.05454669030565667,0.974,False
average_voltage,ExtraTrees,P0,P2,leave_family_out,0.18555475281805595,2000,-0.02147821452236816,0.4026711175436968,0.954,False
average_voltage,ExtraTrees,P0,P2,leave_chemical_system_out,0.0762690217747678,2000,0.010677097665058694,0.1425112919467621,0.987,True
average_voltage,ExtraTrees,P0,P2,leave_working_ion_out,0.01328781600553719,2000,-0.11018669319870864,0.12149859151925393,0.612,False
average_voltage,ExtraTrees,P0,P3,framework_groupkfold,0.029677482452467874,2000,0.005644680494766158,0.053433805387625655,0.991,True
average_voltage,ExtraTrees,P0,P3,leave_family_out,0.12283063849747561,2000,-0.06884457249575365,0.31990768724290697,0.903,False
average_voltage,ExtraTrees,P0,P3,leave_chemical_system_out,0.06668949395949014,2000,0.013305608840088226,0.12048164601953934,0.9915,True
average_voltage,ExtraTrees,P0,P3,leave_working_ion_out,0.039898271165646315,2000,-0.05265129759805745,0.13012621411962907,0.76,False
capacity_grav,Ridge,P4,P1,framework_groupkfold,1.7609165444066843,2000,-0.945166849028552,4.499560187466592,0.896,False
capacity_grav,Ridge,P4,P1,leave_family_out,40.921483165327,2000,15.635174384390659,67.63398772603271,1.0,True
capacity_grav,Ridge,P4,P1,leave_chemical_system_out,4.022167355839696,2000,-0.02289032772019577,8.307839630541165,0.974,False
capacity_grav,Ridge,P4,P1,leave_working_ion_out,-1.295305458526859,2000,-11.324446239265082,9.365864096909101,0.398,False
capacity_grav,Ridge,P4,P2,framework_groupkfold,0.3443996846590036,2000,-0.8987990425251986,1.6911223423313666,0.6765,False
capacity_grav,Ridge,P4,P2,leave_family_out,75.2487777664481,2000,24.649541819471818,137.18727175758247,1.0,True
capacity_grav,Ridge,P4,P2,leave_chemical_system_out,-0.0496395954689699,2000,-2.8170520610472125,3.0307970141474208,0.4855,False
capacity_grav,Ridge,P4,P2,leave_working_ion_out,15.869994724071173,2000,4.375240292732748,27.094049289529792,0.999,True
capacity_grav,Ridge,P4,P3,framework_groupkfold,1.0614475668660976,2000,-0.043316589149592244,2.1060325858617195,0.9685,False
capacity_grav,Ridge,P4,P3,leave_family_out,55.60314418420275,2000,12.152343618239616,103.87011739136085,1.0,True
capacity_grav,Ridge,P4,P3,leave_chemical_system_out,0.2697061294217964,2000,-2.1740935345663006,2.658735679174488,0.592,False
capacity_grav,Ridge,P4,P3,leave_working_ion_out,12.715409235730291,2000,1.9093312155695148,24.00365590335531,0.9855,True
capacity_grav,Ridge,P0,P1,framework_groupkfold,1.72367568359493,2000,-1.2131606922729077,4.437232815756633,0.881,False
capacity_grav,Ridge,P0,P1,leave_family_out,22.486177967240614,2000,-8.429591163353663,54.1698253741831,0.922,False
capacity_grav,Ridge,P0,P1,leave_chemical_system_out,4.438100821463452,2000,0.12102475903001997,8.643418016631106,0.978,True
capacity_grav,Ridge,P0,P1,leave_working_ion_out,-19.54656861031816,2000,-43.011596898619686,1.0501185152762644,0.036,False
capacity_grav,Ridge,P0,P2,framework_groupkfold,0.30715882384724935,2000,-0.9108329512244976,1.7451099360452582,0.675,False
capacity_grav,Ridge,P0,P2,leave_family_out,56.81347256836172,2000,0.9221801629506605,120.33440073102831,0.9755,True
capacity_grav,Ridge,P0,P2,leave_chemical_system_out,0.3662938701547862,2000,-2.64533739099352,3.4423409413131925,0.5845,False
