target,model_name,leaky_protocol,clean_protocol,hard_split,leaky_domain_penalty_mae,clean_domain_penalty_mae,leakage_domain_interaction_mae,interpretation
average_voltage,ExtraTrees,P0,P3,leave_family_out,0.2287656375720986,0.3515962760695742,0.12283063849747561,leakage_masks_domain_shift
average_voltage,ExtraTrees,P0,P3,leave_chemical_system_out,0.028733301336419492,0.09542279529590963,0.06668949395949014,leakage_masks_domain_shift
average_voltage,ExtraTrees,P0,P3,leave_working_ion_out,0.12872114712486926,0.16861941829051558,0.039898271165646315,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P1,framework_groupkfold,-0.011480993863402178,1.7494355505432821,1.7609165444066843,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P1,leave_family_out,1.1233711179661614,42.044854283293155,40.921483165327,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P1,leave_chemical_system_out,-0.09188149960906355,3.9302858562306326,4.022167355839696,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P1,leave_working_ion_out,4.2425706916882335,2.9472652331613745,-1.295305458526859,no_masking_or_reverse
capacity_grav,Ridge,P4,P2,framework_groupkfold,-0.011480993863402178,0.33291869079560144,0.3443996846590036,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P2,leave_family_out,1.1233711179661614,76.37214888441426,75.2487777664481,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P2,leave_chemical_system_out,-0.09188149960906355,-0.14152109507803345,-0.0496395954689699,no_masking_or_reverse
capacity_grav,Ridge,P4,P2,leave_working_ion_out,4.2425706916882335,20.112565415759406,15.869994724071173,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P3,framework_groupkfold,-0.011480993863402178,1.0499665730026955,1.0614475668660976,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P3,leave_family_out,1.1233711179661614,56.726515302168906,55.60314418420275,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P3,leave_chemical_system_out,-0.09188149960906355,0.17782462981273284,0.2697061294217964,leakage_masks_domain_shift
capacity_grav,Ridge,P4,P3,leave_working_ion_out,4.2425706916882335,16.957979927418524,12.715409235730291,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P1,framework_groupkfold,0.025759866948352084,1.7494355505432821,1.72367568359493,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P1,leave_family_out,19.55867631605254,42.044854283293155,22.486177967240614,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P1,leave_chemical_system_out,-0.5078149652328197,3.9302858562306326,4.438100821463452,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P1,leave_working_ion_out,22.493833843479536,2.9472652331613745,-19.54656861031816,no_masking_or_reverse
capacity_grav,Ridge,P0,P2,framework_groupkfold,0.025759866948352084,0.33291869079560144,0.30715882384724935,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P2,leave_family_out,19.55867631605254,76.37214888441426,56.81347256836172,leakage_masks_domain_shift
capacity_grav,Ridge,P0,P2,leave_chemical_system_out,-0.5078149652328197,-0.14152109507803345,0.3662938701547862,leakage_masks_domain_shift
