target,model_name,split_name,leaky_protocol,clean_protocol,effect_metric,n_paired_folds,mean_effect,median_effect,sd_effect,positive_effect_fraction
average_voltage,ExtraTrees,leave_chemical_system_out,P0,P3,spearman_leaky_minus_clean,75,0.22598485080829916,0.1868131868131867,0.2062503825009487,0.9333333333333333
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P1,mae_clean_minus_leaky,74,0.5442606109813751,0.521225110381981,0.2759419011759684,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P1,rmse_clean_minus_leaky,74,0.6639574741039181,0.658814437021163,0.2915535774594775,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P1,r2_leaky_minus_clean,74,1.5938165197930063,1.0996556830674549,2.335403822025695,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P1,spearman_leaky_minus_clean,74,0.6240222216707654,0.622509252366158,0.30664390758586174,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P2,mae_clean_minus_leaky,75,0.508640184655262,0.4865643990008298,0.2606130685351176,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P2,rmse_clean_minus_leaky,75,0.6238685734269789,0.5985381191913802,0.27973858074791536,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P2,r2_leaky_minus_clean,75,1.3800439862778031,0.9848143778879371,1.7647889533166625,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P2,spearman_leaky_minus_clean,75,0.4858705941385201,0.42368742368742385,0.2850336718032252,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P3,mae_clean_minus_leaky,75,0.3942639069106538,0.3430534930698168,0.20441903962049518,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P3,rmse_clean_minus_leaky,75,0.48713284711977745,0.40381144766583565,0.2319156185872009,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P3,r2_leaky_minus_clean,75,0.8541632803312189,0.5707003887951734,1.0048714865780226,1.0
average_voltage,ExtraTrees,leave_chemical_system_out,P4,P3,spearman_leaky_minus_clean,75,0.30475102307397794,0.22857142857142865,0.22939838898568687,0.9866666666666667
average_voltage,ExtraTrees,leave_family_out,P0,P1,mae_clean_minus_leaky,10,0.44615962734584214,0.4027362446932605,0.2625078164795411,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P1,rmse_clean_minus_leaky,10,0.5295203854185637,0.4763912522940833,0.29482476098429355,1.0
average_voltage,ExtraTrees,leave_family_out,P0,P1,r2_leaky_minus_clean,10,0.775888526881608,0.579453814503043,0.36294141337145525,1.0
