protocol,split_name,n_folds,energy_consistency_reduction_mean,energy_consistency_reduction_median,stability_consistency_reduction_mean,stability_consistency_reduction_median,negative_rate_reduction_mean,energy_improved_fraction,stability_improved_fraction
P1,framework_groupkfold,5,24.938044357299805,21.66847801208496,0.0063582314178347605,0.006877961568534402,0.025302262090483623,1.0,1.0
P1,leave_chemical_system_out,75,21.789030055999756,14.7747802734375,0.005621233435037228,0.0029965220019220994,0.0688559013466634,0.8133333333333334,0.6533333333333333
P1,leave_family_out,10,39.48140258789063,23.5754337310791,0.01121704871766271,0.00951061141677205,-0.19633342619615635,1.0,0.9
P1,leave_working_ion_out,3,50.239827473958336,27.731060028076172,0.00912931188941,0.0101574752479792,0.03238422361859438,1.0,1.0
P1,random_split,5,22.024710083007815,21.250295639038086,0.006280521675944339,0.006663875654339799,0.009984399375975022,1.0,1.0
P2,framework_groupkfold,5,23.767082595825194,24.40718078613282,0.005703919567167781,0.006723974831402302,0.0381230499219969,1.0,1.0
P2,leave_chemical_system_out,75,21.339916865030926,19.094776153564453,0.006357467044144873,0.005172176286578199,-0.011006734677012336,0.8266666666666667,0.7466666666666667
P2,leave_family_out,10,5.358254337310792,12.067686080932615,0.01236583550926298,0.010766178253106749,0.06274213546389419,0.8,1.0
P2,leave_working_ion_out,3,26.227842966715496,24.996986389160156,0.005753891232113032,0.004944149404764198,0.03501286088792766,1.0,1.0
P2,random_split,5,25.441212463378907,25.50335121154785,0.006325743533670899,0.006343058310449099,0.01934477379095164,1.0,1.0
P3,framework_groupkfold,5,21.599259185791016,19.190189361572266,0.00440178867429498,0.0041390396654606,0.04590288611544463,1.0,1.0
P3,leave_chemical_system_out,75,16.212832469940185,16.129859924316406,0.005160402332743002,0.003965952433645699,0.0265341843754891,0.84,0.8133333333333334
P3,leave_family_out,10,34.04137020111084,25.2130069732666,0.00915978043340146,0.0106448840815574,0.04329026891898566,0.9,0.9
P3,leave_working_ion_out,3,30.876635869344074,31.373561859130852,0.007579341530799867,0.005188481882214598,0.11997438426495828,1.0,1.0
P3,random_split,5,23.601887893676757,24.499258041381836,0.00493610501289366,0.003884426318108999,0.02246489859594384,1.0,1.0
