target,model_name,protocol,hard_split,random_mae,hard_split_mae,mae_delta_hard_minus_random,mae_ratio_hard_over_random
average_voltage,Ridge,P0,framework_groupkfold,0.2753179179285198,0.2820303698031732,0.006712451874653413,1.0243807301942336
average_voltage,Ridge,P0,leave_family_out,0.2753179179285198,1.0745110678758396,0.7991931499473198,3.902801081602007
average_voltage,Ridge,P0,leave_chemical_system_out,0.2753179179285198,0.25946511641473535,-0.01585280151378443,0.9424200152570518
average_voltage,Ridge,P0,leave_working_ion_out,0.2753179179285198,1.7274235232557178,1.4521056053271981,6.274286600206693
average_voltage,Ridge,P1,framework_groupkfold,0.621349333559151,0.6487425061459124,0.02739317258676144,1.0440865888273358
average_voltage,Ridge,P1,leave_family_out,0.621349333559151,1.3107172499423865,0.6893679163832355,2.1094691490766833
average_voltage,Ridge,P1,leave_chemical_system_out,0.621349333559151,0.5992001428053393,-0.02214919075381172,0.9643530787633763
average_voltage,Ridge,P1,leave_working_ion_out,0.621349333559151,0.8362458709511144,0.21489653739196335,1.3458546195921939
average_voltage,Ridge,P2,framework_groupkfold,0.5965704801765871,0.6229950223018805,0.026424542125293438,1.0442940825993798
average_voltage,Ridge,P2,leave_family_out,0.5965704801765871,1.3108506046003265,0.7142801244237394,2.1973105410986977
average_voltage,Ridge,P2,leave_chemical_system_out,0.5965704801765871,0.5753348185992597,-0.02123566157732737,0.9644037673955279
average_voltage,Ridge,P2,leave_working_ion_out,0.5965704801765871,0.8914280958439774,0.2948576156673903,1.4942544518463456
average_voltage,Ridge,P3,framework_groupkfold,0.4524767199772091,0.47168583376348716,0.019209113786278043,1.0424532643077098
average_voltage,Ridge,P3,leave_family_out,0.4524767199772091,0.9887763894478923,0.5362996694706832,2.1852536181258033
average_voltage,Ridge,P3,leave_chemical_system_out,0.4524767199772091,0.44400879066687354,-0.008467929310335576,0.9812853812440072
average_voltage,Ridge,P3,leave_working_ion_out,0.4524767199772091,0.7690562225034037,0.31657950252619455,1.6996592057645317
average_voltage,Ridge,P4,framework_groupkfold,0.0010726576163726201,0.0011062218722938202,3.3564255921200064e-05,1.0312907449766715
average_voltage,Ridge,P4,leave_family_out,0.0010726576163726201,0.0036711693876951097,0.0025985117713224898,3.4224987840107013
average_voltage,Ridge,P4,leave_chemical_system_out,0.0010726576163726201,0.0008060358117723401,-0.00026662180460028005,0.7514381098584761
average_voltage,Ridge,P4,leave_working_ion_out,0.0010726576163726201,0.02242400952227973,0.02135135190590711,20.905095139407532
average_voltage,ExtraTrees,P0,framework_groupkfold,0.1337843612816088,0.15656407490497193,0.022779713623363118,1.1702718718775587
average_voltage,ExtraTrees,P0,leave_family_out,0.1337843612816088,0.3625499988537074,0.2287656375720986,2.7099579904601807
average_voltage,ExtraTrees,P0,leave_chemical_system_out,0.1337843612816088,0.1625176626180283,0.028733301336419492,1.214773244504546
average_voltage,ExtraTrees,P0,leave_working_ion_out,0.1337843612816088,0.26250550840647807,0.12872114712486926,1.9621539161361188
average_voltage,ExtraTrees,P1,framework_groupkfold,0.4564415909664291,0.48154837781170573,0.02510678684527662,1.0550054757107425
average_voltage,ExtraTrees,P1,leave_family_out,0.4564415909664291,0.8087096261995494,0.35226803523312034,1.7717702378682432
average_voltage,ExtraTrees,P1,leave_chemical_system_out,0.4564415909664291,0.5454144681290563,0.08897287716262714,1.1949271909561174
average_voltage,ExtraTrees,P1,leave_working_ion_out,0.4564415909664291,0.5528576279626676,0.09641603699623846,1.211234118240837
average_voltage,ExtraTrees,P2,framework_groupkfold,0.4060800250191684,0.45474172514564,0.048661700126471585,1.1198327844965401
average_voltage,ExtraTrees,P2,leave_family_out,0.4060800250191684,0.820400415409323,0.41432039039015456,2.020292466664907
average_voltage,ExtraTrees,P2,leave_chemical_system_out,0.4060800250191684,0.5110823481303557,0.10500232311118729,1.2585754448429982
average_voltage,ExtraTrees,P2,leave_working_ion_out,0.4060800250191684,0.5480889881495749,0.14200896313040645,1.3497068419548663
average_voltage,ExtraTrees,P3,framework_groupkfold,0.3012832750898379,0.35374047116566887,0.05245719607583099,1.1741125393043776
average_voltage,ExtraTrees,P3,leave_family_out,0.3012832750898379,0.6528795511594121,0.3515962760695742,2.166995665340978
average_voltage,ExtraTrees,P3,leave_chemical_system_out,0.3012832750898379,0.3967060703857475,0.09542279529590963,1.3167211829712622
average_voltage,ExtraTrees,P3,leave_working_ion_out,0.3012832750898379,0.46990269338035345,0.16861941829051558,1.5596706894540893
average_voltage,ExtraTrees,P4,framework_groupkfold,0.0034489222757517002,0.0035361904809564,8.726820520469974e-05,1.0253030362030062
average_voltage,ExtraTrees,P4,leave_family_out,0.0034489222757517002,0.01294138317654027,0.00949246090078857,3.7522977155870136
average_voltage,ExtraTrees,P4,leave_chemical_system_out,0.0034489222757517002,0.0024421634750937185,-0.0010067588006579817,0.708094668373309
average_voltage,ExtraTrees,P4,leave_working_ion_out,0.0034489222757517002,0.009327918551820167,0.005878996276068467,2.7045893777896537
capacity_grav,Ridge,P0,framework_groupkfold,4.131051541224825,4.156811408173177,0.025759866948352084,1.0062356682532976
capacity_grav,Ridge,P0,leave_family_out,4.131051541224825,23.689727857277365,19.55867631605254,5.734551510885662
capacity_grav,Ridge,P0,leave_chemical_system_out,4.131051541224825,3.6232365759920055,-0.5078149652328197,0.8770736796272804
capacity_grav,Ridge,P0,leave_working_ion_out,4.131051541224825,26.62488538470436,22.493833843479536,6.445062502611692
capacity_grav,Ridge,P1,framework_groupkfold,47.15142306545331,48.90085861599659,1.7494355505432821,1.0371024973756318
capacity_grav,Ridge,P1,leave_family_out,47.15142306545331,89.19627734874646,42.044854283293155,1.8916985225436047
capacity_grav,Ridge,P1,leave_chemical_system_out,47.15142306545331,51.08170892168394,3.9302858562306326,1.083354554342396
capacity_grav,Ridge,P1,leave_working_ion_out,47.15142306545331,50.09868829861468,2.9472652331613745,1.062506389872266
capacity_grav,Ridge,P2,framework_groupkfold,33.24379160748169,33.57671029827729,0.33291869079560144,1.0100144620904397
capacity_grav,Ridge,P2,leave_family_out,33.24379160748169,109.61594049189596,76.37214888441426,3.297335688604976
capacity_grav,Ridge,P2,leave_chemical_system_out,33.24379160748169,33.102270512403656,-0.14152109507803345,0.9957429315900842
capacity_grav,Ridge,P2,leave_working_ion_out,33.24379160748169,53.356357023241095,20.112565415759406,1.6050021505739727
capacity_grav,Ridge,P3,framework_groupkfold,26.737504947070693,27.78747152007339,1.0499665730026955,1.0392694297796745
capacity_grav,Ridge,P3,leave_family_out,26.737504947070693,83.4640202492396,56.726515302168906,3.121608407907326
capacity_grav,Ridge,P3,leave_chemical_system_out,26.737504947070693,26.915329576883426,0.17782462981273284,1.0066507563127058
