target,model_name,split_name,fold_id,heldout_group,leaky_protocol,clean_protocol,mae_clean_minus_leaky,rmse_clean_minus_leaky,r2_leaky_minus_clean,spearman_leaky_minus_clean
average_voltage,ExtraTrees,leave_chemical_system_out,18,Co-O,P4,P1,0.664043979240606,0.828991791853294,1.1411614295805341,0.9429152470449985
average_voltage,ExtraTrees,leave_chemical_system_out,19,Cr-O,P4,P1,0.7060918398815111,0.8626728233952511,1.2832356519224453,0.47144999589881575
average_voltage,ExtraTrees,leave_chemical_system_out,20,Fe-O-Si,P4,P1,0.7672080136691843,0.8475775324997042,0.7426825919512168,0.3526366535161476
average_voltage,ExtraTrees,leave_chemical_system_out,21,F-Mn-O,P4,P1,0.4945969217380117,0.6898048085706375,0.8375853310062676,0.6493982575663266
average_voltage,ExtraTrees,leave_chemical_system_out,22,O-P-Sb,P4,P1,0.605998435057438,0.7019590118456083,0.8534888705309394,0.4028817743345322
average_voltage,ExtraTrees,leave_chemical_system_out,23,O-P-Sn,P4,P1,1.010535186109297,1.1633618418975624,1.8012833451914245,1.2729928916964623
average_voltage,ExtraTrees,leave_chemical_system_out,24,Co-Mn-O,P4,P1,0.3845301755452737,0.47365601275002256,0.9502724216737185,0.7269945689986614
average_voltage,ExtraTrees,leave_chemical_system_out,25,Bi-O-P,P4,P1,1.6155753877232566,1.643905357996509,18.91333010788623,0.3656994527647417
average_voltage,ExtraTrees,leave_chemical_system_out,26,O-P-W,P4,P1,0.6791616022992906,0.8645571857083314,1.1694622125874623,0.5959546014784267
average_voltage,ExtraTrees,leave_chemical_system_out,27,Cr-Mn-O,P4,P1,0.3671667202742509,0.5194828260185965,0.7476782340456305,0.27283477591011485
average_voltage,ExtraTrees,leave_chemical_system_out,28,Co-Fe-O,P4,P1,0.3053897798487484,0.5102710529143449,0.9630028443420788,0.7231590019208582
average_voltage,ExtraTrees,leave_chemical_system_out,29,O-P-Ti,P4,P1,0.6807918502201195,0.7833491586215074,1.1586550053604103,0.4840761038998278
average_voltage,ExtraTrees,leave_chemical_system_out,30,Cr-O-V,P4,P1,0.5118157492749366,0.6612091971897007,0.988253834957182,0.7508531303037788
average_voltage,ExtraTrees,leave_chemical_system_out,31,Cu-O,P4,P1,0.8389676940691144,1.0132608929438587,1.0854515799519315,0.7840903054260052
average_voltage,ExtraTrees,leave_chemical_system_out,32,O-Ti-V,P4,P1,0.3564674770291376,0.4696030756183415,0.7464285706438306,0.521891691478198
average_voltage,ExtraTrees,leave_chemical_system_out,33,Co-Ni-O,P4,P1,0.2914917566967189,0.4207875893695884,1.1831847713930015,0.9060651268923782
average_voltage,ExtraTrees,leave_chemical_system_out,34,Fe-Mn-O,P4,P1,0.4848798479108608,0.6360037765124713,0.9168507725767836,0.7314420566795278
average_voltage,ExtraTrees,leave_chemical_system_out,35,Mn-O-V,P4,P1,0.3903977798122099,0.4812812183187315,0.38959123940787654,0.21752913087585424
average_voltage,ExtraTrees,leave_chemical_system_out,36,Mn-O-Si,P4,P1,0.5183394759464494,0.5968241707483416,1.735570128162874,0.941817666019226
average_voltage,ExtraTrees,leave_chemical_system_out,37,Mn-O-Ti,P4,P1,0.40017653595233016,0.5433953916482517,1.5897548993290422,0.6757461235672175
average_voltage,ExtraTrees,leave_chemical_system_out,38,Co-O-Si,P4,P1,0.3017471843777914,0.3941557061063089,0.8229241550037895,0.7108117217768242
average_voltage,ExtraTrees,leave_chemical_system_out,39,Cr-Fe-O,P4,P1,0.7506265317712526,0.8651655734145186,1.7324714840837832,1.008658381202828
average_voltage,ExtraTrees,leave_chemical_system_out,40,Fe-Mn-O-P,P4,P1,0.12218135109343929,0.13701288446773038,0.17351334628232562,0.17476011992190887
average_voltage,ExtraTrees,leave_chemical_system_out,41,Mn-Ni-O,P4,P1,0.4449055409595876,0.7192651516889726,0.931924534709401,0.6234122390644508
average_voltage,ExtraTrees,leave_chemical_system_out,42,O-Si-V,P4,P1,0.567948331477567,0.8365633021492179,1.241765584578599,0.8913613490291666
average_voltage,ExtraTrees,leave_chemical_system_out,43,C-Fe-O-P,P4,P1,0.57712193124549,0.7056558907668485,1.0503607807788629,0.31732096527590126
average_voltage,ExtraTrees,leave_chemical_system_out,44,Fe-O-V,P4,P1,0.5241107448175127,0.611017980643453,2.1421338328050634,0.7996272373695192
average_voltage,ExtraTrees,leave_chemical_system_out,45,Co-Cr-O,P4,P1,0.2995871974692093,0.3848087386063439,0.8816529379604651,0.5491211923439532
average_voltage,ExtraTrees,leave_chemical_system_out,47,C-Mn-O-P,P4,P1,0.259595995621225,0.292897784674311,1.1587356382564367,0.5460400517104365
average_voltage,ExtraTrees,leave_chemical_system_out,48,Mn-O-P-V,P4,P1,0.23442593078380758,0.2632481037470779,0.2601390263125586,0.13640648782640186
average_voltage,ExtraTrees,leave_chemical_system_out,49,Co-O-V,P4,P1,0.5783692842131463,0.6622790737882617,0.6763567537268492,0.352849085483952
average_voltage,ExtraTrees,leave_chemical_system_out,50,C-Fe-O,P4,P1,0.3286245491819262,0.42485267009057126,0.46317167440667173,0.13185564146304973
average_voltage,ExtraTrees,leave_chemical_system_out,51,C-O-V,P4,P1,0.29295258741138414,0.4689879322973585,1.0158363950362608,0.9082105145992805
average_voltage,ExtraTrees,leave_chemical_system_out,52,Fe-Ni-O,P4,P1,0.2924068232498362,0.39232181884846173,1.1138597861829784,0.5866893836803757
average_voltage,ExtraTrees,leave_chemical_system_out,53,Fe-O-Ti,P4,P1,0.6016366395352778,0.7361412762594128,1.203850807202313,0.9034418971269425
average_voltage,ExtraTrees,leave_chemical_system_out,54,O-W,P4,P1,0.9749647807593236,1.0417119955771525,3.793710125603908,0.8792988626036831
average_voltage,ExtraTrees,leave_chemical_system_out,55,Nb-O-P,P4,P1,1.37431801025061,1.4037751133560088,6.737440523139728,0.26260233922906273
average_voltage,ExtraTrees,leave_chemical_system_out,56,F-Fe,P4,P1,0.8001482657076238,0.9388374564563813,1.3367269465629312,1.2083243269932895
average_voltage,ExtraTrees,leave_chemical_system_out,57,Mg-Mn-O,P4,P1,0.8428336439463014,1.029316853069967,0.9008649763652326,0.7275806139526023
average_voltage,ExtraTrees,leave_chemical_system_out,58,B-Fe-O,P4,P1,0.0877958326741186,0.14146843266933282,0.11424552936107302,0.9207881965618661
average_voltage,ExtraTrees,leave_chemical_system_out,59,Mn-Ni-O-P,P4,P1,0.2235467401749832,0.2590718571232099,0.3642006878613635,0.05071109493086556
average_voltage,ExtraTrees,leave_chemical_system_out,60,C-Co-O,P4,P1,0.5249323480896467,0.6564196768526255,1.5070786942637604,0.9631728537894823
average_voltage,ExtraTrees,leave_chemical_system_out,61,C-Cu-O,P4,P1,0.2817792461394817,0.4079987162128689,1.6351652205533322,0.5637974267693152
average_voltage,ExtraTrees,leave_chemical_system_out,62,Cr-Ni-O,P4,P1,0.2824084310954742,0.3821159204172664,0.7755488209532367,0.44191908162497484
average_voltage,ExtraTrees,leave_chemical_system_out,63,Mo-O,P4,P1,0.8938040425696258,1.0827264036133095,1.2579850406912167,0.8281399843509173
average_voltage,ExtraTrees,leave_chemical_system_out,64,Co-Mn-O-P,P4,P1,0.23307295790048418,0.2854395264666352,0.4035217847376138,0.26190476190476186
average_voltage,ExtraTrees,leave_chemical_system_out,65,Cr-F,P4,P1,1.197540320206466,1.360636467184433,1.0269159424834842,1.282341454280636
average_voltage,ExtraTrees,leave_chemical_system_out,66,C-Fe-Na-O-P,P4,P1,0.25364673747156485,0.2882464012570964,1.065622615832704,0.38762756430420553
average_voltage,ExtraTrees,leave_chemical_system_out,67,Cr-Mn-O-P,P4,P1,0.2489268753716579,0.3186860174227559,0.1799317350801437,0.1071428571428571
average_voltage,ExtraTrees,leave_chemical_system_out,68,Cr-O-Si,P4,P1,0.7228135395250231,0.8568215714196905,1.4921729061569837,1.3423562358243124
