protocol,split_name,fold_id,heldout_group,any_negative_prediction_rate__softconstrained_direct,any_negative_prediction_rate__unconstrained_direct,energy_consistency_mae__softconstrained_direct,energy_consistency_mae__unconstrained_direct,stability_consistency_mae__softconstrained_direct,stability_consistency_mae__unconstrained_direct,energy_consistency_reduction,stability_consistency_reduction,negative_rate_reduction
P1,leave_chemical_system_out,12,Fe-O,0.225,0.25,58.75993728637695,55.74893951416016,0.0116710010915994,0.0099789341911673,-3.0109977722167898,-0.0016920669004320994,0.024999999999999994
P1,leave_chemical_system_out,13,B-Mn-O,0.0,0.0,10.25884246826172,29.91707420349121,0.0163565389811992,0.0352637469768524,19.658231735229492,0.018907207995653205,0.0
P1,leave_chemical_system_out,14,Cu-O-P,0.0,0.0,52.50033950805664,49.31256103515625,0.012918122112751,0.0144955161958932,-3.1877784729003906,0.001577394083142199,0.0
P1,leave_chemical_system_out,15,O-Ti,0.0,0.0,45.69673538208008,108.46829223632812,0.0124982902780175,0.0159471277147531,62.77155685424805,0.003448837436735599,0.0
P1,leave_chemical_system_out,16,Ni-O,0.0294117647058823,0.4411764705882353,32.1678581237793,42.637916564941406,0.0141926351934671,0.0121314069256186,10.47005844116211,-0.0020612282678485003,0.411764705882353
P1,leave_chemical_system_out,17,F-Fe-O,0.0,0.0,33.817115783691406,154.95199584960938,0.0202719513326883,0.046141043305397,121.13488006591797,0.0258690919727087,0.0
P1,leave_chemical_system_out,18,Co-O,0.0,0.032258064516129,29.90765190124512,60.114742279052734,0.0169910062104463,0.0152087807655334,30.207090377807614,-0.0017822254449128983,0.032258064516129
P1,leave_chemical_system_out,19,Cr-O,0.1724137931034483,0.4827586206896552,45.62260055541992,50.94998550415039,0.0148346088826656,0.0536441802978515,5.327384948730469,0.0388095714151859,0.3103448275862069
P1,leave_chemical_system_out,20,Fe-O-Si,0.0,0.0,13.135522842407228,69.5389633178711,0.0130686331540346,0.0110908271744847,56.40344047546387,-0.0019778059795499004,0.0
P1,leave_chemical_system_out,21,F-Mn-O,0.0,0.6428571428571429,31.556459426879883,37.761863708496094,0.0163715798407793,0.0563580207526683,6.205404281616211,0.03998644091188899,0.6428571428571429
