target,protocol,split_name,model_name,n_folds,n_train_min,n_train_median,n_train_max,n_test_min,n_test_median,n_test_max,median_n_features,total_fit_seconds,median_fit_seconds,rmse_mean,rmse_std,rmse_ci95_lower,rmse_ci95_upper,mae_mean,mae_std,mae_ci95_lower,mae_ci95_upper,r2_mean,r2_std,r2_ci95_lower,r2_ci95_upper,spearman_mean,spearman_std,spearman_ci95_lower,spearman_ci95_upper,top10_hit_rate_mean,top10_hit_rate_std,top10_hit_rate_ci95_lower,top10_hit_rate_ci95_upper,top20_hit_rate_mean,top20_hit_rate_std,top20_hit_rate_ci95_lower,top20_hit_rate_ci95_upper,top10pct_hit_rate_mean,top10pct_hit_rate_std,top10pct_hit_rate_ci95_lower,top10pct_hit_rate_ci95_upper
average_voltage,P0,framework_groupkfold,ExtraTrees,5,2560,2561.0,2561,640,640.0,641,266.0,25.322920560836792,5.201179027557373,0.23318690680901283,0.01293721603741583,0.22184693696530203,0.24452687665272363,0.15656407490497193,0.006369049844330424,0.15098135657060105,0.16214679323934275,0.9557711980477265,0.008739651436708731,0.94811055580057,0.9634318402948834,0.9793756068592094,0.003061125894003474,0.9766924117092323,0.9820588020091866,0.54,0.15165750888103097,0.40706633233074485,0.6729336676692552,0.6900000000000001,0.20432816741702553,0.5108984645515288,0.8691015354484714,0.8629326923076924,0.006810567488237247,0.8569629666950254,0.8689024179203595
average_voltage,P0,leave_chemical_system_out,ExtraTrees,75,3048,3184.0,3194,7,17.0,153,266.0,456.8324043750763,6.057623386383057,0.2112255780789671,0.11878003583766789,0.18434312529819658,0.23810803085973764,0.1625176626180283,0.10462162733307712,0.13883955933413528,0.18619576590192133,0.7849410421741606,0.41975258673163196,0.6899420887486813,0.8799399955996401,0.9202857922219643,0.11146022122355163,0.8950599694408419,0.9455116150030864,0.92,0.1026671346660681,0.8967642400481384,0.9432357599518617,0.9660000000000001,0.06786313730889104,0.9506411261674105,0.9813588738325897,0.7512561327561327,0.3012975194876856,0.6830660847950392,0.8194461807172264
average_voltage,P0,leave_family_out,ExtraTrees,10,2027,3082.5,3191,10,118.5,1174,266.0,54.360532999038696,5.7619099617004395,0.46611307219159964,0.23949692451695453,0.3176713404721161,0.6145548039110832,0.3625499988537074,0.20713791191408693,0.23416459093541828,0.49093540677199654,0.6623598654472554,0.394068594461285,0.4181136201308361,0.9066061107636748,0.8784823971218809,0.12520659536420436,0.8008785453143917,0.9560862489293701,0.6599999999999999,0.3169297153067923,0.4635649273225941,0.8564350726774059,0.665,0.274924231986439,0.49460019561826574,0.8353998043817343,0.5734920294640264,0.25626918740462123,0.41465474150547565,0.7323293174225775
average_voltage,P0,leave_working_ion_out,ExtraTrees,3,543,2807.0,3052,149,394.0,2658,266.0,12.385894775390625,4.870263338088989,0.3499406058023547,0.10561599142086997,0.2304248604903204,0.4694563511143889,0.26250550840647807,0.07654232535355088,0.17588971339782394,0.3491213034151322,0.9019007332829666,0.07539131055999533,0.8165874341280775,0.9872140324378557,0.954690201617829,0.047360209767767454,0.9010970790955656,1.0082833241400926,0.5666666666666667,0.4163331998932266,0.09554130000603872,1.0377920333272945,0.65,0.39051248379533277,0.20809352422335636,1.0919064757766437,0.8345029239766082,0.08620327378710066,0.7369547366576295,0.9320511112955869
average_voltage,P0,random_split,ExtraTrees,5,2560,2560.0,2560,641,641.0,641,266.0,21.858216524124146,4.808546543121338,0.22004776308217466,0.014840342629088118,0.2070396292303873,0.23305589693396203,0.1337843612816088,0.006909417626081481,0.12772798970284224,0.13984073286037532,0.9594208305951228,0.003590902340793013,0.9562732659151689,0.9625683952750768,0.980717236867045,0.0014934339745225433,0.9794081842713646,0.9820262894627255,0.6599999999999999,0.15165750888103102,0.5270663323307446,0.7929336676692552,0.72,0.06708203932499371,0.6612,0.7787999999999999,0.8646153846153846,0.03335305136719811,0.8353801460906585,0.8938506231401107
average_voltage,P1,framework_groupkfold,ExtraTrees,5,2560,2561.0,2561,640,640.0,641,73.0,4.714064836502075,0.928745985031128,0.6665823879667497,0.03770373834386328,0.6335336041651942,0.6996311717683052,0.48154837781170573,0.025122203013250508,0.4595277959682919,0.5035689596551196,0.6403091760057005,0.055618604179528935,0.5915573199401407,0.68906103207126,0.7747538485382158,0.02751228076617587,0.7506382711745979,0.7988694259018337,0.32,0.10954451150103321,0.22398000208289942,0.4160199979171006,0.45999999999999996,0.02236067977499789,0.44040000000000007,0.4796000000000001,0.588798076923077,0.032059414032488326,0.5606967615176588,0.6168993923284951
average_voltage,P1,leave_chemical_system_out,ExtraTrees,75,3048,3184.0,3194,7,17.0,153,73.0,75.00927352905273,1.046628713607788,0.6685541018779807,0.2910753160227481,0.6026775563503866,0.7344306474055746,0.5454144681290563,0.27511210271660314,0.4831507378772405,0.6076781983808722,-0.5877035589976429,2.32025162058086,-1.1128259349078127,-0.06258118308747318,0.37501693152617,0.3069716206323365,0.3050748684488197,0.4449589946035203,0.7133333333333334,0.2548626197678958,0.6556524924986212,0.7710141741680455,0.8613333333333333,0.2111060533612567,0.8135555357329464,0.9091111309337202,0.30684776334776337,0.37158008347670923,0.22275127374921694,0.3909442529463098
average_voltage,P1,leave_family_out,ExtraTrees,10,2027,3082.5,3191,10,118.5,1174,73.0,9.77282428741455,0.9821488857269288,0.9956334576101632,0.3635350485215055,0.7703121001351176,1.2209548150852092,0.8087096261995494,0.3218827138761123,0.6092046532037286,1.0082145991953704,-0.11352866143435261,0.5423745153965861,-0.44969586887707447,0.22263854600836921,0.40412024691001563,0.19449893439236998,0.28356855841952844,0.5246719354005028,0.38,0.34896672875473067,0.16370818066530785,0.5962918193346922,0.45499999999999996,0.3825717071492757,0.21787959926559589,0.6921204007344043,0.31630288993737776,0.2104667433514514,0.1858542509184752,0.44675152895628034
average_voltage,P1,leave_working_ion_out,ExtraTrees,3,543,2807.0,3052,149,394.0,2658,73.0,1.9411413669586182,0.7270641326904297,0.7442435621302571,0.13004950013585498,0.5970786988638893,0.8914084253966249,0.5528576279626676,0.1137981638977843,0.42408288286571255,0.6816323730596225,0.5952134767245153,0.16455929132621733,0.4089971084806179,0.7814298449684127,0.759336997297007,0.1398957715811771,0.6010300289904762,0.9176439656035376,0.43333333333333335,0.40414518843273806,-0.02400000000000002,0.8906666666666667,0.4833333333333334,0.2081665999466133,0.24777065000301937,0.7188960166636474,0.6556182121971595,0.07551464989282433,0.5701653414481299,0.7410710829461892
average_voltage,P1,random_split,ExtraTrees,5,2560,2560.0,2560,641,641.0,641,73.0,4.748990535736084,0.9456205368041992,0.6566288574692736,0.03233211469685923,0.6282885093924226,0.6849692055461245,0.4564415909664291,0.023620896438986815,0.4357369623566227,0.47714621957623554,0.6376457619738616,0.037820970348181646,0.6044942197898346,0.6707973041578885,0.784585377305187,0.010238292712261628,0.7756111180617491,0.7935596365486248,0.32,0.08366600265340757,0.2466635152192307,0.3933364847807692,0.5700000000000001,0.04472135954999575,0.5308,0.6092000000000001,0.6584615384615384,0.042690575155420345,0.6210415994674737,0.6958814774556031
