target,protocol,model_name,split_name,random_rmse_mean,split_rmse_mean,rmse_delta_vs_random,rmse_ratio_vs_random,random_mae_mean,split_mae_mean,mae_delta_vs_random,random_r2_mean,split_r2_mean,r2_delta_vs_random,n_folds_split
average_voltage,P0,DummyMean,framework_groupkfold,1.0937852257806249,1.1198603299523873,0.026075104171762398,1.0238393274631707,0.860239931890559,0.8831516489783056,0.02291171708774653,-0.0026387503296747216,-0.005914158557477985,-0.0032754082278032633,5
average_voltage,P0,DummyMean,leave_chemical_system_out,1.0937852257806249,0.8935786767389893,-0.2002065490416356,0.8169599073723546,0.860239931890559,0.7628346977185362,-0.09740523417202285,-0.0026387503296747216,-2.7500647112963374,-2.747425960966663,75
average_voltage,P0,DummyMean,leave_family_out,1.0937852257806249,1.3731283150874478,0.27934308930682294,1.2553911707003158,0.860239931890559,1.1739831786311046,0.31374324674054554,-0.0026387503296747216,-2.183877931244174,-2.1812391809144995,10
average_voltage,P0,DummyMean,leave_working_ion_out,1.0937852257806249,1.2259619234832415,0.13217669770261664,1.1208433745375226,0.860239931890559,1.0022884933121337,0.14204856142157463,-0.0026387503296747216,-0.0596458236724303,-0.05700707334275558,3
average_voltage,P0,DummyMean,random_split,1.0937852257806249,1.0937852257806249,0.0,1.0,0.860239931890559,0.860239931890559,0.0,-0.0026387503296747216,-0.0026387503296747216,0.0,5
average_voltage,P0,ExtraTrees,framework_groupkfold,0.22004776308217466,0.23318690680901283,0.013139143726838165,1.0597104171512595,0.1337843612816088,0.15656407490497193,0.022779713623363118,0.9594208305951228,0.9557711980477265,-0.0036496325473963642,5
average_voltage,P0,ExtraTrees,leave_chemical_system_out,0.22004776308217466,0.2112255780789671,-0.008822185003207555,0.9599078632764242,0.1337843612816088,0.1625176626180283,0.028733301336419492,0.9594208305951228,0.7849410421741606,-0.17447978842096223,75
average_voltage,P0,ExtraTrees,leave_family_out,0.22004776308217466,0.46611307219159964,0.24606530910942498,2.118235903254942,0.1337843612816088,0.3625499988537074,0.2287656375720986,0.9594208305951228,0.6623598654472554,-0.2970609651478674,10
average_voltage,P0,ExtraTrees,leave_working_ion_out,0.22004776308217466,0.3499406058023547,0.12989284272018004,1.5902938566645317,0.1337843612816088,0.26250550840647807,0.12872114712486926,0.9594208305951228,0.9019007332829666,-0.05752009731215624,3
average_voltage,P0,ExtraTrees,random_split,0.22004776308217466,0.22004776308217466,0.0,1.0,0.1337843612816088,0.1337843612816088,0.0,0.9594208305951228,0.9594208305951228,0.0,5
