target,protocol,split_name,model_name,n_folds,n_train_median,n_test_median,median_n_features,rmse_mean,mae_mean,r2_mean,spearman_mean,top10_hit_rate_mean,top20_hit_rate_mean,top10pct_hit_rate_mean,total_fit_seconds
average_voltage,P0,framework_groupkfold,DummyMean,5,2561.0,640.0,266.0,1.1198603299523873,0.8831516489783056,-0.005914158557477985,,0.0,0.02,0.09975961538461538,0.1089961528778074
average_voltage,P0,framework_groupkfold,ExtraTrees,5,2561.0,640.0,266.0,0.23318690680901283,0.15656407490497193,0.9557711980477265,0.9793756068592094,0.54,0.6900000000000001,0.8629326923076924,25.322920560836792
average_voltage,P0,framework_groupkfold,Ridge,5,2561.0,640.0,266.0,0.42856535816467767,0.2820303698031732,0.8504611696787541,0.9427243813261812,0.3,0.52,0.7414903846153846,0.6882066726684569
average_voltage,P0,leave_chemical_system_out,DummyMean,75,3184.0,17.0,266.0,0.8935786767389893,0.7628346977185362,-2.7500647112963374,,0.6146666666666667,0.822,0.11282732082732082,1.5921304225921604
average_voltage,P0,leave_chemical_system_out,ExtraTrees,75,3184.0,17.0,266.0,0.2112255780789671,0.1625176626180283,0.7849410421741606,0.9202857922219643,0.92,0.9660000000000001,0.7512561327561327,456.8324043750763
average_voltage,P0,leave_chemical_system_out,Ridge,75,3184.0,17.0,266.0,0.33482954875325904,0.25946511641473535,0.5570604604621517,0.8367823719038838,0.8586666666666667,0.9339999999999999,0.6998367003367003,11.879193782806393
average_voltage,P0,leave_family_out,DummyMean,10,3082.5,118.5,266.0,1.3731283150874478,1.1739831786311046,-2.183877931244174,,0.19,0.315,0.08457213039969116,0.21299338340759238
average_voltage,P0,leave_family_out,ExtraTrees,10,3082.5,118.5,266.0,0.46611307219159964,0.3625499988537074,0.6623598654472554,0.8784823971218809,0.6599999999999999,0.665,0.5734920294640264,54.360532999038696
average_voltage,P0,leave_family_out,Ridge,10,3082.5,118.5,266.0,1.4369382788295053,1.0745110678758396,-5.128477029579918,0.7215853108347179,0.53,0.61,0.5578383115288053,1.4995164871215818
average_voltage,P0,leave_working_ion_out,DummyMean,3,2807.0,394.0,266.0,1.2259619234832415,1.0022884933121337,-0.0596458236724303,,0.03333333333333333,0.03333333333333333,0.0485380116959064,0.0637972354888915
average_voltage,P0,leave_working_ion_out,ExtraTrees,3,2807.0,394.0,266.0,0.3499406058023547,0.26250550840647807,0.9019007332829666,0.954690201617829,0.5666666666666667,0.65,0.8345029239766082,12.385894775390625
average_voltage,P0,leave_working_ion_out,Ridge,3,2807.0,394.0,266.0,1.994268902427665,1.7274235232557178,-1.924622612683681,0.7539348977534802,0.19999999999999998,0.3333333333333333,0.5106934001670843,0.37899565696716286
average_voltage,P0,random_split,DummyMean,5,2560.0,641.0,266.0,1.0937852257806249,0.860239931890559,-0.0026387503296747216,,0.0,0.030000000000000006,0.07999999999999996,0.1669957637786863
average_voltage,P0,random_split,ExtraTrees,5,2560.0,641.0,266.0,0.22004776308217466,0.1337843612816088,0.9594208305951228,0.980717236867045,0.6599999999999999,0.72,0.8646153846153846,21.858216524124146
average_voltage,P0,random_split,Ridge,5,2560.0,641.0,266.0,0.43433900419869104,0.2753179179285198,0.841166912685557,0.9461130753641361,0.32,0.51,0.7907692307692308,0.6825568675994871
average_voltage,P1,framework_groupkfold,DummyMean,5,2561.0,640.0,73.0,1.1198603299523873,0.8831516489783056,-0.005914158557477985,,0.0,0.02,0.09975961538461538,0.1056013107299803
average_voltage,P1,framework_groupkfold,ExtraTrees,5,2561.0,640.0,73.0,0.6665823879667497,0.48154837781170573,0.6403091760057005,0.7747538485382158,0.32,0.45999999999999996,0.588798076923077,4.714064836502075
average_voltage,P1,framework_groupkfold,Ridge,5,2561.0,640.0,73.0,0.8355230220162234,0.6487425061459124,0.43646822704734484,0.6238421435234982,0.27999999999999997,0.39,0.4329807692307693,0.2592706680297849
average_voltage,P1,leave_chemical_system_out,DummyMean,75,3184.0,17.0,73.0,0.8935786767389893,0.7628346977185362,-2.7500647112963374,,0.6146666666666667,0.822,0.11282732082732082,1.5660257339477508
average_voltage,P1,leave_chemical_system_out,ExtraTrees,75,3184.0,17.0,73.0,0.6685541018779807,0.5454144681290563,-0.5877035589976429,0.37501693152617,0.7133333333333334,0.8613333333333333,0.30684776334776337,75.00927352905273
average_voltage,P1,leave_chemical_system_out,Ridge,75,3184.0,17.0,73.0,0.7247749406052683,0.5992001428053393,-0.7658460679483218,0.3012377940696174,0.6893333333333334,0.8579999999999999,0.30116522366522364,4.348884820938108
average_voltage,P1,leave_family_out,DummyMean,10,3082.5,118.5,73.0,1.3731283150874478,1.1739831786311046,-2.183877931244174,,0.19,0.315,0.08457213039969116,0.2075428962707516
average_voltage,P1,leave_family_out,ExtraTrees,10,3082.5,118.5,73.0,0.9956334576101632,0.8087096261995494,-0.11352866143435261,0.40412024691001563,0.38,0.45499999999999996,0.31630288993737776,9.77282428741455
average_voltage,P1,leave_family_out,Ridge,10,3082.5,118.5,73.0,1.6222087136616419,1.3107172499423865,-4.773561833347392,0.29778742411264897,0.4,0.465,0.2860532049625638,0.5546889305114744
average_voltage,P1,leave_working_ion_out,DummyMean,3,2807.0,394.0,73.0,1.2259619234832415,1.0022884933121337,-0.0596458236724303,,0.03333333333333333,0.03333333333333333,0.0485380116959064,0.0629999637603759
average_voltage,P1,leave_working_ion_out,ExtraTrees,3,2807.0,394.0,73.0,0.7442435621302571,0.5528576279626676,0.5952134767245153,0.759336997297007,0.43333333333333335,0.4833333333333334,0.6556182121971595,1.9411413669586182
average_voltage,P1,leave_working_ion_out,Ridge,3,2807.0,394.0,73.0,1.0562131224830487,0.8362458709511144,0.20089157705943408,0.526005795238441,0.2333333333333333,0.19999999999999998,0.26493316624895574,0.1520006656646728
average_voltage,P1,random_split,DummyMean,5,2560.0,641.0,73.0,1.0937852257806249,0.860239931890559,-0.0026387503296747216,,0.0,0.030000000000000006,0.07999999999999996,0.1039958000183104
average_voltage,P1,random_split,ExtraTrees,5,2560.0,641.0,73.0,0.6566288574692736,0.4564415909664291,0.6376457619738616,0.784585377305187,0.32,0.5700000000000001,0.6584615384615384,4.748990535736084
average_voltage,P1,random_split,Ridge,5,2560.0,641.0,73.0,0.8139756018724669,0.621349333559151,0.4444630840712585,0.6337505727701719,0.4,0.42000000000000004,0.48923076923076925,0.2585651874542233
average_voltage,P2,framework_groupkfold,DummyMean,5,2561.0,640.0,93.0,1.1198603299523873,0.8831516489783056,-0.005914158557477985,,0.0,0.02,0.09975961538461538,0.1055555343627928
average_voltage,P2,framework_groupkfold,ExtraTrees,5,2561.0,640.0,93.0,0.6283628985608827,0.45474172514564,0.6804294009733939,0.8060112147674147,0.34,0.43,0.6295192307692308,5.369770288467407
average_voltage,P2,framework_groupkfold,Ridge,5,2561.0,640.0,93.0,0.8147300473117373,0.6229950223018805,0.4644722219351937,0.6551301978796815,0.28,0.37,0.4672596153846154,0.3119983673095701
average_voltage,P2,leave_chemical_system_out,DummyMean,75,3184.0,17.0,93.0,0.8935786767389893,0.7628346977185362,-2.7500647112963374,,0.6146666666666667,0.822,0.11282732082732082,1.5816609859466528
average_voltage,P2,leave_chemical_system_out,ExtraTrees,75,3184.0,17.0,93.0,0.627907262628337,0.5110823481303557,-0.3801382898082639,0.5131813703491228,0.7493333333333334,0.8866666666666667,0.3601943241943242,94.71201848983765
average_voltage,P2,leave_chemical_system_out,Ridge,75,3184.0,17.0,93.0,0.7012283412210738,0.5753348185992597,-0.689313936530123,0.3683513443203613,0.7013333333333334,0.8693333333333334,0.3414716209716209,5.1380476951599094
average_voltage,P2,leave_family_out,DummyMean,10,3082.5,118.5,93.0,1.3731283150874478,1.1739831786311046,-2.183877931244174,,0.19,0.315,0.08457213039969116,0.2092409133911127
average_voltage,P2,leave_family_out,ExtraTrees,10,3082.5,118.5,93.0,1.00161380952511,0.820400415409323,-0.13685127080307327,0.4013761807187115,0.37,0.45499999999999996,0.23466399333901172,11.818400144577026
average_voltage,P2,leave_family_out,Ridge,10,3082.5,118.5,93.0,1.6137033158686531,1.3108506046003265,-4.853528277028196,0.42618741590872034,0.36,0.425,0.4113066702396105,0.6475825309753414
average_voltage,P2,leave_working_ion_out,DummyMean,3,2807.0,394.0,93.0,1.2259619234832415,1.0022884933121337,-0.0596458236724303,,0.03333333333333333,0.03333333333333333,0.0485380116959064,0.061999559402465695
average_voltage,P2,leave_working_ion_out,ExtraTrees,3,2807.0,394.0,93.0,0.7357326028985534,0.5480889881495749,0.6075706470093682,0.7698450925867583,0.5,0.43333333333333335,0.6455931495405179,2.7737741470336914
average_voltage,P2,leave_working_ion_out,Ridge,3,2807.0,394.0,93.0,1.1474615497072613,0.8914280958439774,0.07137439984369837,0.495627892324908,0.16666666666666666,0.15,0.24091478696741853,0.1711020469665526
average_voltage,P2,random_split,DummyMean,5,2560.0,641.0,93.0,1.0937852257806249,0.860239931890559,-0.0026387503296747216,,0.0,0.030000000000000006,0.07999999999999996,0.1059932708740233
average_voltage,P2,random_split,ExtraTrees,5,2560.0,641.0,93.0,0.5862063072402938,0.4060800250191684,0.7117414512208982,0.832383861008646,0.44000000000000006,0.5700000000000001,0.6553846153846153,5.419427394866943
average_voltage,P2,random_split,Ridge,5,2560.0,641.0,93.0,0.7888031991746829,0.5965704801765871,0.4781809326309034,0.6695062566521354,0.32,0.39,0.5076923076923077,0.3110010623931883
average_voltage,P3,framework_groupkfold,DummyMean,5,2561.0,640.0,108.0,1.1198603299523873,0.8831516489783056,-0.005914158557477985,,0.0,0.02,0.09975961538461538,0.1069989204406737
average_voltage,P3,framework_groupkfold,ExtraTrees,5,2561.0,640.0,108.0,0.48430649032512074,0.35374047116566887,0.8097510143802384,0.8976333535999071,0.44000000000000006,0.5599999999999999,0.6885576923076923,6.409733295440674
average_voltage,P3,framework_groupkfold,Ridge,5,2561.0,640.0,108.0,0.642949580635585,0.47168583376348716,0.6659918055106103,0.8115398562796534,0.36,0.41,0.610625,0.3350000381469725
average_voltage,P3,leave_chemical_system_out,DummyMean,75,3184.0,17.0,108.0,0.8935786767389893,0.7628346977185362,-2.7500647112963374,,0.6146666666666667,0.822,0.11282732082732082,1.5118741989135704
average_voltage,P3,leave_chemical_system_out,ExtraTrees,75,3184.0,17.0,108.0,0.4911715363211355,0.3967060703857475,0.14574241613832042,0.694300941413665,0.8,0.9026666666666667,0.5278191438191439,113.77686810493469
average_voltage,P3,leave_chemical_system_out,Ridge,75,3184.0,17.0,108.0,0.5431046849745157,0.44400879066687354,0.0027191128080542746,0.6535261942642092,0.776,0.8893333333333334,0.529603896103896,5.588216066360471
average_voltage,P3,leave_family_out,DummyMean,10,3082.5,118.5,108.0,1.3731283150874478,1.1739831786311046,-2.183877931244174,,0.19,0.315,0.08457213039969116,0.2089934349060055
average_voltage,P3,leave_family_out,ExtraTrees,10,3082.5,118.5,108.0,0.8101981393461118,0.6528795511594121,0.1458613598947077,0.6754078966854016,0.48,0.51,0.36600467034807493,13.989949703216553
average_voltage,P3,leave_family_out,Ridge,10,3082.5,118.5,108.0,1.2659812478504944,0.9887763894478923,-2.3209853815297685,0.6688160560952532,0.5700000000000001,0.595,0.5712741373095095,0.7114119529724117
average_voltage,P3,leave_working_ion_out,DummyMean,3,2807.0,394.0,108.0,1.2259619234832415,1.0022884933121337,-0.0596458236724303,,0.03333333333333333,0.03333333333333333,0.0485380116959064,0.0629074573516844
average_voltage,P3,leave_working_ion_out,ExtraTrees,3,2807.0,394.0,108.0,0.5992234029202713,0.46990269338035345,0.7315432023955851,0.8692493356543695,0.43333333333333335,0.4666666666666666,0.6575814536340853,3.3369860649108887
average_voltage,P3,leave_working_ion_out,Ridge,3,2807.0,394.0,108.0,0.98954617969844,0.7690562225034037,0.31393980243312164,0.7033071755214156,0.20000000000000004,0.2333333333333333,0.3848370927318296,0.1950056552886961
average_voltage,P3,random_split,DummyMean,5,2560.0,641.0,108.0,1.0937852257806249,0.860239931890559,-0.0026387503296747216,,0.0,0.030000000000000006,0.07999999999999996,0.1059942245483397
average_voltage,P3,random_split,ExtraTrees,5,2560.0,641.0,108.0,0.43039553701455313,0.3012832750898379,0.8447222854261985,0.9172879700234742,0.5199999999999999,0.64,0.7630769230769231,6.21055269241333
average_voltage,P3,random_split,Ridge,5,2560.0,641.0,108.0,0.6051106217341845,0.4524767199772091,0.6925726300673867,0.8206724853106275,0.3,0.4,0.676923076923077,0.3381576538085935
