protocol,split_name,fold_id,heldout_group,model_variant,n_test,energy_consistency_mae,energy_consistency_rmse,stability_consistency_mae,stability_consistency_rmse,any_negative_prediction_rate,mean_negative_outputs_per_record
P1,framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,unconstrained_direct,640,46.33294677734375,61.83315658569336,0.0201398190110921,0.0264577306807041,0.0640625,0.0796875
P1,framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,unconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.053125,0.0671875
P1,framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,softconstrained_direct,640,18.75040054321289,25.423816680908203,0.0122881587594747,0.0149790132418274,0.0421875,0.0453125
P1,framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,softconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.0390625,0.0421875
P1,framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,unconstrained_direct,640,41.13815307617188,56.088844299316406,0.0166356023401021,0.0229099318385124,0.1328125,0.203125
P1,framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,unconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.1203125,0.175
P1,framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,softconstrained_direct,640,23.311771392822266,32.645118713378906,0.0110928118228912,0.0135928587988018,0.0796875,0.1078125
P1,framework_groupkfold,2,K|BiPCO7|K|CePCO7|K|CoO2|K|CrF6|K|Cs2AgF6|K|Cs2MoBr6|K|Cs2SbCl6|K|FeF3|K|FeH12(SO7)2|K|FePO4F|K|LiSbF6|K|Mn2P2O7F2|K|MnH8(SO6)2|K|Mo3S4|K|Na2NiO2|K|Nb3Se4|K|NdNb4O12|K|NiF6|K|PrNb4O12|K|Rb2MnF6,softconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.0734375,0.1125
P1,framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,unconstrained_direct,640,38.439552307128906,49.27658081054688,0.0145036112517118,0.0187497660517692,0.1453125,0.196875
P1,framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,unconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.1421875,0.19375
P1,framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,softconstrained_direct,640,19.12038230895996,25.72331047058105,0.0108921686187386,0.0131171559914946,0.175,0.209375
P1,framework_groupkfold,3,K|Bi(PO3)4|K|Cd2Cu(SO)2|K|CoH8(CO5)2|K|CrF3|K|CrPO4F|K|CrS2|K|Cs2MnF6|K|Cs2SbBr6|K|Fe11O17|K|FePO4|K|LiNbF6|K|Mn(PO3)3|K|MnH6(S2O9)2|K|Mo2O3|K|Na2FeO3|K|Nb3S4|K|NbSe2|K|Ni4P4O15|K|P(W3O10)4|K|Rb2CuF6,softconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.171875,0.2
P1,framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,unconstrained_direct,640,41.489990234375,54.04791641235352,0.0180648975074291,0.0233949311077594,0.1125,0.1375
P1,framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,unconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.1,0.121875
P1,framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,softconstrained_direct,640,19.82151222229004,26.58447265625,0.0101575953885912,0.0122623685747385,0.0640625,0.0796875
P1,framework_groupkfold,4,K|AgO|K|Ca9Mn(PO4)7|K|CoF6|K|Cr3O8|K|CrPCO7|K|Cs2CuF6|K|Cs2PdF6|K|CuPCO7|K|FePCO7|K|LiMnF6|K|MgMn2O4|K|MnF6|K|Mo15Se19|K|MoS|K|NaSbF6|K|NbS2|K|Ni4(PO4)3|K|NiPCO7|K|Rb2CrF6|K|RbSb,softconstrained_hardderived,640,0.0,0.0,0.0,0.0,0.0609375,0.075
P1,leave_family_out,0,polyanion_phosphate_like,unconstrained_direct,1174,150.64695739746094,156.98162841796875,0.0229965839534997,0.0256650764495134,0.0255536626916524,0.0332197614991482
P1,leave_family_out,0,polyanion_phosphate_like,unconstrained_hardderived,1174,0.0,0.0,0.0,0.0,0.0238500851788756,0.0315161839863713
P1,leave_family_out,0,polyanion_phosphate_like,softconstrained_direct,1174,75.50308990478516,89.80765533447266,0.0266689229756593,0.0294490586966276,0.9310051107325384,1.004258943781942
P1,leave_family_out,0,polyanion_phosphate_like,softconstrained_hardderived,1174,0.0,0.0,0.0,0.0,0.9310051107325384,1.004258943781942
P1,leave_family_out,1,transition_metal_oxide_like,unconstrained_direct,1173,75.54682922363281,101.93496704101562,0.0320449061691761,0.0418768525123596,0.2762148337595907,0.3495311167945439
P1,leave_family_out,1,transition_metal_oxide_like,unconstrained_hardderived,1173,0.0,0.0,0.0,0.0,0.2540494458653026,0.3026427962489343
P1,leave_family_out,1,transition_metal_oxide_like,softconstrained_direct,1173,48.02276611328125,63.56991195678711,0.0217968393117189,0.0272346828132867,0.3606138107416879,0.4944586530264279
P1,leave_family_out,1,transition_metal_oxide_like,softconstrained_hardderived,1173,0.0,0.0,0.0,0.0,0.3537936913895993,0.4492753623188406
P1,leave_family_out,2,halide_or_fluoride_like,unconstrained_direct,246,58.86238098144531,75.3876953125,0.0255388412624597,0.0325712226331234,0.1422764227642276,0.1829268292682926
P1,leave_family_out,2,halide_or_fluoride_like,unconstrained_hardderived,246,0.0,0.0,0.0,0.0,0.1178861788617886,0.1260162601626016
