protocol,split_name,model_variant,target,target_unit,n_folds,n_test_min,n_test_median,n_features,rmse_mean,rmse_sd,rmse_ci95_low,rmse_ci95_high,mae_mean,mae_sd,mae_ci95_low,mae_ci95_high,r2_mean,r2_sd,r2_ci95_low,r2_ci95_high,spearman_mean,spearman_sd,spearman_ci95_low,spearman_ci95_high
P1,framework_groupkfold,softconstrained_direct,average_voltage,V,5,640,640.0,73.0,0.7982944915341557,0.023827737558827587,0.7774085586889828,0.8191804243793285,0.6057987923916679,0.02001419976461657,0.5882555728056023,0.6233420119777335,0.48536468333613775,0.06084964516929715,0.432027617678064,0.5387017489942114,0.6623183119367858,0.03131120095862314,0.6348728342069357,0.6897637896666359
P1,framework_groupkfold,softconstrained_direct,capacity_grav,mAh/g,5,640,640.0,73.0,66.40219423200953,6.033042672166877,61.11399916976966,71.6903892942494,47.03061418517444,3.2700944855982703,44.16424998861763,49.89697838173126,0.22984887579715457,0.08327265712485825,0.1568571735738542,0.30284057802045494,0.5391967936848951,0.04798663426632167,0.49713465420237607,0.5812589331674142
P1,framework_groupkfold,softconstrained_direct,energy_grav,Wh/kg,5,640,640.0,73.0,228.16015569415768,15.942558273846796,214.18588723221302,242.13442415610234,165.890837078921,8.804460916959219,158.17338681762112,173.6082873402209,0.34143498816415513,0.08050951104320425,0.27086529026922823,0.412004686059082,0.6159314711698907,0.054380014258557464,0.5682652870380701,0.6635976553017112
P1,framework_groupkfold,softconstrained_direct,max_delta_volume,database_volume_change,5,640,640.0,73.0,0.07565511115005583,0.02499688004371116,0.053744379732822575,0.09756584256728908,0.04214909401599119,0.0031815668005001274,0.039360327756768274,0.04493786027521411,0.10033658970954809,0.057678426630403914,0.049779219659467716,0.15089395975962847,0.3597659658787467,0.048917280531061993,0.3168880789783291,0.4026438527791643
P1,framework_groupkfold,softconstrained_direct,stability_charge,eV/atom,5,640,640.0,73.0,0.1074742744626063,0.01490885290825394,0.094406088703401,0.12054246022181159,0.050693584341684736,0.005751532766396415,0.04565214359141665,0.05573502509195282,0.0008847721561063227,0.20169665995442862,-0.1759101453010564,0.17767968961326905,0.3429500437174357,0.11510641045788814,0.24205482641294213,0.4438452610219293
P1,framework_groupkfold,softconstrained_direct,stability_discharge,eV/atom,5,640,640.0,73.0,0.08064096138838747,0.013795857015537002,0.0685483595433011,0.09273356323347384,0.038386288867325216,0.0023488924052121316,0.03632739389608939,0.04044518383856104,0.01312523265225946,0.09936504992308573,-0.07397207378428708,0.10022253908880599,0.3694528103111331,0.07076162562595242,0.30742751071270896,0.4314781099095572
P1,framework_groupkfold,softconstrained_direct,stability_worst,eV/atom,5,640,640.0,73.0,0.10594892669074789,0.013620862285830176,0.09400971448930234,0.11788813889219343,0.048718216222002994,0.004415855395172475,0.044847548307776375,0.05258888413622961,0.026491947878232357,0.16208164574034212,-0.11557887861170177,0.1685627743681665,0.3568148675637304,0.06757980223173728,0.297578559138837,0.41605117598862373
P1,framework_groupkfold,softconstrained_hardderived,average_voltage,V,5,640,640.0,73.0,0.7982944915341557,0.023827737558827587,0.7774085586889828,0.8191804243793285,0.6057987923916679,0.02001419976461657,0.5882555728056023,0.6233420119777335,0.48536468333613775,0.06084964516929715,0.432027617678064,0.5387017489942114,0.6623183119367858,0.03131120095862314,0.6348728342069357,0.6897637896666359
P1,framework_groupkfold,softconstrained_hardderived,capacity_grav,mAh/g,5,640,640.0,73.0,66.40219423200953,6.033042672166877,61.11399916976966,71.6903892942494,47.03061418517444,3.2700944855982703,44.16424998861763,49.89697838173126,0.22984887579715457,0.08327265712485825,0.1568571735738542,0.30284057802045494,0.5391967936848951,0.04798663426632167,0.49713465420237607,0.5812589331674142
P1,framework_groupkfold,softconstrained_hardderived,energy_grav,Wh/kg,5,640,640.0,73.0,228.49273630452572,16.934125158292627,213.6493211471005,243.33615146195095,165.18754598231675,9.642415554144259,156.73559609694055,173.63949586769294,0.3390755369361346,0.08766804144420308,0.2622311104877199,0.41591996338454934,0.616180619660382,0.057134694123889204,0.5660998521659897,0.6662613871547742
P1,framework_groupkfold,softconstrained_hardderived,max_delta_volume,database_volume_change,5,640,640.0,73.0,0.07565511115005583,0.02499688004371116,0.053744379732822575,0.09756584256728908,0.04214909401599119,0.0031815668005001274,0.039360327756768274,0.04493786027521411,0.10033658970954809,0.057678426630403914,0.049779219659467716,0.15089395975962847,0.3597659658787467,0.048917280531061993,0.3168880789783291,0.4026438527791643
P1,framework_groupkfold,softconstrained_hardderived,stability_charge,eV/atom,5,640,640.0,73.0,0.1074742744626063,0.01490885290825394,0.094406088703401,0.12054246022181159,0.050693584341684736,0.005751532766396415,0.04565214359141665,0.05573502509195282,0.0008847721561063227,0.20169665995442862,-0.1759101453010564,0.17767968961326905,0.3429500437174357,0.11510641045788814,0.24205482641294213,0.4438452610219293
P1,framework_groupkfold,softconstrained_hardderived,stability_discharge,eV/atom,5,640,640.0,73.0,0.08064096138838747,0.013795857015537002,0.0685483595433011,0.09273356323347384,0.038386288867325216,0.0023488924052121316,0.03632739389608939,0.04044518383856104,0.01312523265225946,0.09936504992308573,-0.07397207378428708,0.10022253908880599,0.3694528103111331,0.07076162562595242,0.30742751071270896,0.4314781099095572
P1,framework_groupkfold,softconstrained_hardderived,stability_worst,eV/atom,5,640,640.0,73.0,0.10607107229307397,0.013979539313400149,0.09381746581510773,0.1183246787710402,0.04794213867150198,0.003535614155005475,0.044843036223123314,0.05104124111988065,0.026154247770582294,0.14709743112055548,-0.1027823355074705,0.15509083104863508,0.35882276735545904,0.06898603422253936,0.2983538422437269,0.41929169246719117
P1,framework_groupkfold,unconstrained_direct,average_voltage,V,5,640,640.0,73.0,0.7938213468184226,0.030845510020639275,0.766784065193357,0.8208586284434883,0.5945686559328506,0.025446785552999156,0.5722635649491472,0.6168737469165539,0.4897602380112668,0.07870107970399583,0.4207757000759274,0.5587447759466061,0.6701595957394402,0.06368604800519505,0.6143363133767312,0.7259828781021491
P1,framework_groupkfold,unconstrained_direct,capacity_grav,mAh/g,5,640,640.0,73.0,67.71835387086546,6.443034395478946,62.070785218118665,73.36592252361226,48.026288258380234,3.0508205720432526,45.35212612137278,50.70045039538769,0.19947328001500308,0.08663307445375824,0.12353604213226876,0.2754105178977374,0.5295204621779904,0.04454843195474364,0.49047203989839283,0.568568884457588
P1,framework_groupkfold,unconstrained_direct,energy_grav,Wh/kg,5,640,640.0,73.0,231.0502867609608,14.813190861010202,218.065952483233,244.0346210386886,169.1930061316262,9.979294136348335,160.44576914954095,177.94024311371143,0.3250673001833908,0.07380233786099026,0.2603766987960032,0.3897579015707784,0.6056564206854553,0.04481460116282884,0.5663746908082817,0.6449381505626289
P1,framework_groupkfold,unconstrained_direct,max_delta_volume,database_volume_change,5,640,640.0,73.0,0.07630330854455888,0.02593939344132967,0.05356642770882815,0.09904018938028962,0.04183245514048104,0.002439227106326823,0.03969437831253674,0.04397053196842534,0.08800018921529569,0.07213358142918869,0.02477231733311222,0.15122806109747916,0.36531321708766534,0.02950602427378078,0.3394500464870677,0.39117638768826296
P1,framework_groupkfold,unconstrained_direct,stability_charge,eV/atom,5,640,640.0,73.0,0.10930606020503009,0.012395122416848215,0.09844125637013648,0.12017086403992369,0.05061845567566161,0.003667685359328379,0.04740358771251432,0.0538333236388089,-0.031000956929315836,0.14882263195203504,-0.1614497454103074,0.09944783155167572,0.34462318898687705,0.09553460502665094,0.2608834155379487,0.4283629624358054
