protocol,split_name,fold_id,target,mae__softconstrained_direct,mae__softconstrained_hardderived,mae__unconstrained_direct,mae__unconstrained_hardderived,r2__softconstrained_direct,r2__softconstrained_hardderived,r2__unconstrained_direct,r2__unconstrained_hardderived,rmse__softconstrained_direct,rmse__softconstrained_hardderived,rmse__unconstrained_direct,rmse__unconstrained_hardderived,spearman__softconstrained_direct,spearman__softconstrained_hardderived,spearman__unconstrained_direct,spearman__unconstrained_hardderived
P1,framework_groupkfold,0,average_voltage,0.6033925801043593,0.6033925801043593,0.6319177459021449,0.6319177459021449,0.4122239301705898,0.4122239301705898,0.3641547454144423,0.3641547454144423,0.8106494375391863,0.8106494375391863,0.8431461331865318,0.8431461331865318,0.6354891547060998,0.6354891547060998,0.56297477482967,0.56297477482967
P1,framework_groupkfold,0,capacity_grav,48.29983816611014,48.29983816611014,48.9371620347445,48.9371620347445,0.2788368984277639,0.2788368984277639,0.2781813143012077,0.2781813143012077,64.38003823976717,64.38003823976717,64.40929441169457,64.40929441169457,0.5266213258554986,0.5266213258554986,0.5378603744166625,0.5378603744166625
P1,framework_groupkfold,0,energy_grav,168.85633112235658,167.39120446018146,171.38066340746116,168.25043461805396,0.3093395064713385,0.3153842079961002,0.2978265127614267,0.3232832256524092,231.9408812011192,230.923670476468,233.86606543965388,229.5876202253368,0.5576523749898142,0.5605300129270395,0.5616120321324143,0.5703246904633326
P1,framework_groupkfold,0,max_delta_volume,0.0382537815903375,0.0382537815903375,0.0393063559165973,0.0393063559165973,0.0714620118826929,0.0714620118826929,0.0496484372862428,0.0496484372862428,0.05806403918815,0.05806403918815,0.0587421113883416,0.0587421113883416,0.403805356978014,0.403805356978014,0.3329085596906295,0.3329085596906295
P1,framework_groupkfold,0,stability_charge,0.0524781601629146,0.0524781601629146,0.0496893736148064,0.0496893736148064,-0.0163827609159017,-0.0163827609159017,0.0038259166509309,0.0038259166509309,0.1281136189769405,0.1281136189769405,0.1268335866227244,0.1268335866227244,0.4325018347843815,0.4325018347843815,0.4151346406129679,0.4151346406129679
P1,framework_groupkfold,0,stability_discharge,0.0395241139959503,0.0395241139959503,0.0423895618433808,0.0423895618433808,0.055583137960501,0.055583137960501,0.0386089795804385,0.0386089795804385,0.10048143866296,0.10048143866296,0.1013804019950511,0.1013804019950511,0.4078635740451007,0.4078635740451007,0.3301985302662935,0.3301985302662935
P1,framework_groupkfold,0,stability_worst,0.0501751214513371,0.0502769237601884,0.0501036598456493,0.0488926124621157,0.0112546611608836,-0.0087375261161626,0.0133104377035705,-0.0018926390283608,0.1260248136937095,0.1272925328710799,0.1258937315770689,0.1268599197749271,0.4078950367437025,0.3962362354067653,0.374276324509517,0.3822391301605227
P1,framework_groupkfold,1,average_voltage,0.5857283410087917,0.5857283410087917,0.5756004331921982,0.5756004331921982,0.5758220546762975,0.5758220546762975,0.5637984673345311,0.5637984673345311,0.7614618549463678,0.7614618549463678,0.7721784977697279,0.7721784977697279,0.7082492283807951,0.7082492283807951,0.7188482859228951,0.7188482859228951
P1,framework_groupkfold,1,capacity_grav,43.00809823375401,43.00809823375401,43.82338569616882,43.82338569616882,0.2060593438668718,0.2060593438668718,0.192681059607792,0.192681059607792,64.93147804473487,64.93147804473487,65.47625610171045,65.47625610171045,0.5491872392864139,0.5491872392864139,0.5390648411813334,0.5390648411813334
P1,framework_groupkfold,1,energy_grav,156.31240152715753,155.19062732697284,153.7915763350963,158.669263899158,0.3881879201261559,0.3884716758958744,0.3722876358329736,0.3455433162821317,207.825453727966,207.7772538698585,210.5087028182573,214.94639574515028,0.6514687068551792,0.6474778772166425,0.6373508065236773,0.6218434977662552
P1,framework_groupkfold,1,max_delta_volume,0.0438359659749177,0.0438359659749177,0.0442491400873607,0.0442491400873607,0.1433190155447367,0.1433190155447367,0.112990374764423,0.112990374764423,0.1195715868604605,0.1195715868604605,0.1216697443789468,0.1216697443789468,0.3880369379700017,0.3880369379700017,0.3684622104374181,0.3684622104374181
P1,framework_groupkfold,1,stability_charge,0.0456899078941518,0.0456899078941518,0.0458417746294103,0.0458417746294103,0.1147904658461224,0.1147904658461224,0.0787570290509152,0.0787570290509152,0.0915380813777687,0.0915380813777687,0.093382577649549,0.093382577649549,0.3984017400984141,0.3984017400984141,0.4304732993702241,0.4304732993702241
P1,framework_groupkfold,1,stability_discharge,0.0367679498546247,0.0367679498546247,0.034818319796045,0.034818319796045,0.079109365930985,0.079109365930985,0.0740043705487014,0.0740043705487014,0.0680354473473894,0.0680354473473894,0.0682237653814156,0.0682237653814156,0.250363625442398,0.250363625442398,0.3440815000921673,0.3440815000921673
P1,framework_groupkfold,1,stability_worst,0.0440675413478076,0.0452634290163329,0.0474228421353831,0.0458703604746584,0.11463138823259,0.0874254569807857,0.0544622557823333,0.0385367336065073,0.0923138269053622,0.0937214220034103,0.095399067468366,0.096199107470596,0.4059116832339154,0.413172242044355,0.3367694161999455,0.4094737967601913
P1,framework_groupkfold,2,average_voltage,0.6143006851804916,0.6143006851804916,0.5715048390884286,0.5715048390884286,0.4693170561086908,0.4693170561086908,0.5222419513302201,0.5222419513302201,0.8067686405703655,0.8067686405703655,0.7654828232278549,0.7654828232278549,0.6400160135001846,0.6400160135001846,0.6982621814977225,0.6982621814977225
P1,framework_groupkfold,2,capacity_grav,49.73795584800725,49.73795584800725,50.39500864609231,50.39500864609231,0.1414732683983882,0.1414732683983882,0.1122747452113597,0.1122747452113597,68.20853361956257,68.20853361956257,69.35872315692889,69.35872315692889,0.5048034274932783,0.5048034274932783,0.4691169283482188,0.4691169283482188
P1,framework_groupkfold,2,energy_grav,175.07452822949523,176.70312536436526,180.4087870790666,182.51605983092665,0.312799455963048,0.2937340712860679,0.2794715392643735,0.2228713883541931,232.49039603113624,235.69338723160675,238.0613214472092,247.2348675564016,0.5915850596769232,0.5876906438889817,0.5750384391422071,0.571016071172212
P1,framework_groupkfold,2,max_delta_volume,0.0451152126567643,0.0451152126567643,0.041402930288275,0.041402930288275,0.0537632658349088,0.0537632658349088,0.1080014873461757,0.1080014873461757,0.0652352695041815,0.0652352695041815,0.0633380405958336,0.0633380405958336,0.277803025278681,0.277803025278681,0.3859842833676887,0.3859842833676887
P1,framework_groupkfold,2,stability_charge,0.059939143126286,0.059939143126286,0.0559403272687166,0.0559403272687166,-0.333541082074831,-0.333541082074831,-0.2921409770864691,-0.2921409770864691,0.1137804987893867,0.1137804987893867,0.1120004024489657,0.1120004024489657,0.1495098929222817,0.1495098929222817,0.2028480747234936,0.2028480747234936
P1,framework_groupkfold,2,stability_discharge,0.0420176783484565,0.0420176783484565,0.042046250347533,0.042046250347533,-0.1489847654906797,-0.1489847654906797,-0.200131521861526,-0.200131521861526,0.0872215200186455,0.0872215200186455,0.0891417051217532,0.0891417051217532,0.4345763778167149,0.4345763778167149,0.4407064945437506,0.4407064945437506
P1,framework_groupkfold,2,stability_worst,0.0555912951770313,0.0530295384962877,0.0564436426586362,0.0510016709242383,-0.2399979434519639,-0.1985243883525016,-0.3369049760322429,-0.1926532610588065,0.1084256043712834,0.1065969569747282,0.112582694605795,0.1063355469285368,0.2449709147731859,0.2427551989501431,0.2682591867754265,0.2603261229920139
P1,framework_groupkfold,3,average_voltage,0.5901617374967068,0.5901617374967068,0.5848166835799253,0.5848166835799253,0.4621439093191652,0.4621439093191652,0.4655402390665857,0.4655402390665857,0.7895348687646735,0.7895348687646735,0.7870381346115862,0.7870381346115862,0.6467488666763804,0.6467488666763804,0.6617678398391282,0.6617678398391282
P1,framework_groupkfold,3,capacity_grav,50.02442702314352,50.02442702314352,51.00774981051088,51.00774981051088,0.1749341062116854,0.1749341062116854,0.1175051984897489,0.1175051984897489,75.45074051852734,75.45074051852734,78.03245436319926,78.03245436319926,0.4981615700673692,0.4981615700673692,0.5106236894756763,0.5106236894756763
P1,framework_groupkfold,3,energy_grav,172.41215764065413,171.31305711795443,173.9712633726058,175.0210604168207,0.2440365734904721,0.2359938277227423,0.2472987784546981,0.2029166237470707,250.010604124522,251.33702530841688,249.47058619366007,256.7201234661915,0.5871879642672674,0.5844082209473804,0.5869635100998887,0.5837316081401486
P1,framework_groupkfold,3,max_delta_volume,0.0443572972001787,0.0443572972001787,0.0444734276876288,0.0444734276876288,0.0536014971237207,0.0536014971237207,-0.0109636861004374,-0.0109636861004374,0.071322194962375,0.071322194962375,0.0737149297415078,0.0737149297415078,0.3587452147467203,0.3587452147467203,0.3383141173681825,0.3383141173681825
P1,framework_groupkfold,3,stability_charge,0.048159715039757,0.048159715039757,0.0517409347976081,0.0517409347976081,0.1881209564947431,0.1881209564947431,0.0404355301658578,0.0404355301658578,0.0945946579200644,0.0945946579200644,0.1028390425717586,0.1028390425717586,0.3264781930283801,0.3264781930283801,0.2928396767700902,0.2928396767700902
P1,framework_groupkfold,3,stability_discharge,0.0368583740314672,0.0368583740314672,0.0397308280533051,0.0397308280533051,-0.0130374694366723,-0.0130374694366723,-0.1203451097123924,-0.1203451097123924,0.0678162296782496,0.0678162296782496,0.0713176128358034,0.0713176128358034,0.3793696460647294,0.3793696460647294,0.2975740668929009,0.2975740668929009
P1,framework_groupkfold,3,stability_worst,0.0465322286132692,0.0452213686334287,0.0507301015486021,0.0493081540672858,0.1838090990934403,0.2009254190249065,0.052540893813772,0.0828983171544016,0.0941669487150384,0.0931743306807463,0.1014571972819885,0.0998185757728089,0.3809692254219463,0.3923715849323087,0.3563313283062698,0.308609185013546
P1,framework_groupkfold,4,average_voltage,0.6354106181679897,0.6354106181679897,0.6090035779015557,0.6090035779015557,0.5073164664059453,0.5073164664059453,0.5330657869105544,0.5330657869105544,0.8230576558501846,0.8230576558501846,0.8012611452964127,0.8012611452964127,0.6810882964204691,0.6810882964204691,0.708944896607785,0.708944896607785
P1,framework_groupkfold,4,capacity_grav,44.08275165485726,44.08275165485726,45.96813510438469,45.96813510438469,0.3479407620810637,0.3479407620810637,0.2967240824649071,0.2967240824649071,59.04018073745577,59.04018073745577,61.315041320794194,61.315041320794194,0.6172104057219158,0.6172104057219158,0.5909364774680611,0.5909364774680611
P1,framework_groupkfold,4,energy_grav,156.79876687494146,155.3397156421097,166.41274046390103,164.2124694831119,0.4528114847697611,0.4617939017798883,0.428452034603482,0.4283055938276892,218.533443386045,216.7323446362785,223.3447579060237,223.373368527398,0.6917632500602692,0.7007963433218656,0.6673173155290891,0.669454457865519
P1,framework_groupkfold,4,max_delta_volume,0.0391832126577578,0.0391832126577578,0.0397304217225434,0.0397304217225434,0.1795371581616813,0.1795371581616813,0.1803243327800743,0.1803243327800743,0.0640824652351121,0.0640824652351121,0.0640517166181646,0.0640517166181646,0.3704392944203166,0.3704392944203166,0.4008969145744079,0.4008969145744079
P1,framework_groupkfold,4,stability_charge,0.0472009954853143,0.0472009954853143,0.0498798680677666,0.0498798680677666,0.0514362814303988,0.0514362814303988,0.014117716572186,0.014117716572186,0.1093445152488711,0.1093445152488711,0.1114746917321527,0.1114746917321527,0.4078585577537213,0.4078585577537213,0.3818202534576095,0.3818202534576095
P1,framework_groupkfold,4,stability_discharge,0.0367633281061274,0.0367633281061274,0.0386124590136266,0.0386124590136266,0.0929558942971633,0.0929558942971633,0.0528768644943514,0.0528768644943514,0.0796501712346929,0.0796501712346929,0.0813908780532334,0.0813908780532334,0.3750908281867225,0.3750908281867225,0.3388233641442047,0.3388233641442047
P1,framework_groupkfold,4,stability_worst,0.0472248945205698,0.0459194334512722,0.0535256413710338,0.0482163500731174,0.0627625343562118,0.0496822773158835,-0.0088395882307041,0.0178285811939539,0.1088134397683459,0.1095701189354052,0.1128934582347941,0.1113913236819323,0.3443274776459017,0.3495785754437231,0.2769470834268572,0.3393280038682513
P1,leave_chemical_system_out,0,average_voltage,0.5802533210214884,0.5802533210214884,1.1232706040405047,1.1232706040405047,0.0151467829344217,0.0151467829344217,-1.8190681693626976,-1.8190681693626976,0.7547603476958695,0.7547603476958695,1.2769565228391642,1.2769565228391642,0.1919950565376049,0.1919950565376049,0.3781667845775357,0.3781667845775357
P1,leave_chemical_system_out,0,capacity_grav,74.12351313578796,74.12351313578796,56.766328435903205,56.766328435903205,-0.1143424133676278,-0.1143424133676278,0.2137635115840861,0.2137635115840861,90.35253935027669,90.35253935027669,75.89403270307109,75.89403270307109,0.4361753787636077,0.4361753787636077,0.4622373520076829,0.4622373520076829
